Mouse_ID,Cohort,Sex,Diet,Treatment,Legend,corticosterone,ALT_serum,AST_serum,protein_serum,glucose_serum,cholesterol_serum,HDL_serum,LDL_serum,LDL_HDL_ratio_serum,triglycerides_serum,ALT_liver,AST_liver,protein_liver,glucose_liver,cholesterol_liver,triglycerides_liver,gonWAT,MesWAT,BAT,Liver,Caecum,SmallIntestine,Colon,BW,gonWAT_BW,MesWAT_BW,BAT_BW,Liver_BW,Caecum_BW,SmallIntestine_BW,Colon_BW
104,1,F,Control,Vehicle,Control Vehicle,195.9305,16,115.2,4.06,91.88,75.94,1.72,0.26,0.151,35.36,30000,30000,269,39746,1082,20129,0.0553,0.0449,0.0464,1.1905,0.2567,37,7,22.8,0.002425439,0.001969298,0.002035088,0.052214912,0.011258772,,0.307017544
105,1,F,Control,Vehicle,Control Vehicle,140.5979,38,157.6,3.64,85.44,70.22,0.99,0.12,0.121,31.29,27730,30000,256,45849,1029,20278,0.162,0.2798,0.0633,1.2917,0.2578,35,7,24.9,0.006506024,,0.002542169,0.051875502,0.010353414,1.40562249,0.281124498
113,4,F,Control,Vehicle,Control Vehicle,108.3413,16.8,118,3.42,77.48,61.28,1.22,0.18,0.148,34.38,26322,30000,252,34879,2319,27394,0.1283,0.0994,0.0431,1.2913,0.1667,37,7,27.1,0.004734317,0.003667897,0.001590406,0.047649446,0.006151292,1.365313653,0.258302583
117,2,F,Control,Vehicle,Control Vehicle,64.56875,48.3,,3.66,70.38,124.32,1.98,0.52,0.263,57.12,26048,30000,251,33139,2070,22691,0.0758,0.054,0.0431,1.3734,0.2132,35,6.2,24.4,0.003106557,0.002213115,0.001766393,0.056286885,0.008737705,1.43442623,0.254098361
122,2,F,Control,Vehicle,Control Vehicle,79.42985,25.2,108,3.62,67.3,81.42,1.84,0.28,0.152,25.6,27390,30000,241,36894,1730,25111,0.2838,0.098,0.0525,1.2179,0.1938,36,7.5,24.7,0.011489879,0.003967611,0.002125506,0.049307692,0.007846154,1.457489879,0.303643725
129,4,F,Control,Vehicle,Control Vehicle,54.85305,40,144,,,48.7,0.96,0.04,0.042,17.67,25132,30000,241,30495,,25183,0.1833,0.1402,0.0464,1.5084,0.2322,39,7,28,0.006546429,0.005007143,0.001657143,0.053871429,0.008292857,1.392857143,0.25
131,6,F,Control,Vehicle,Control Vehicle,110.8793,26.7,93.2,3.14,77.12,88.12,1.9,0.36,0.189,34.18,23340,30000,239,33790,1320,19821,0.2968,0.2049,0.0539,1.2596,0.3463,39,6.8,30,0.009893333,0.00683,0.001796667,0.041986667,0.011543333,1.3,0.226666667
107,1,F,HFHS,Vehicle,HFHS Vehicle,95.04815,37.8,107.7,3.62,75.94,85.92,1.6,0.51,0.319,54.96,20456,30000,211,26911,3876,40376,0.7264,0.2966,0.0466,1.2909,,34,7,27.5,0.026414545,0.010785455,0.001694545,0.046941818,0.004836364,1.236363636,0.254545455
110,1,F,HFHS,Vehicle,HFHS Vehicle,32.08915,28.8,,3.5,110.68,83.3,1.72,0.36,0.209,54.3,21724,30000,201,35371,503,15558,0.2968,0.2398,0.0475,1.2978,0.317,39,6.5,23.4,0.012683761,0.010247863,0.002029915,0.055461538,0.013547009,1.666666667,0.277777778
121,2,F,HFHS,Vehicle,HFHS Vehicle,14.57295,21.9,75.2,3.62,88.74,83.4,1.86,0.28,0.151,35.4,24036,30000,226,31486,2286,30403,0.714,0.3779,0.0598,1.3553,0.2611,40,7.5,30,0.0238,0.012596667,0.001993333,0.045176667,0.008703333,1.333333333,0.25
