Mouse_ID,Cohort,Diet,Treatment,Legend,PND0_5,PND1,PND1_5,PND2,PND2_5,PND3,PND3_5,PND4,PND4_5,PND5,PND5_5,PND6,PND6_5,PND7,PND7_5,PND8,PND8_5,PND9,PND9_5,PND10,PND10_5,PND11,PND11_5,PND12,PND12_5,PND13,PND13_5,PND14,PND14_5,PND15,PND15_5,PND16,PND16_5,PND17,PND17_5,PND18,PND18_5,PND19,PND19_5,PND20,PND20_5,PND21,PND21_5,PND22,PND22_5,PND23
105,1,Control,Vehicle,Control Vehicle,4.2,5.9,5,1.5,6.5,5.5,6.5,7,7.2,6.8,9.2,5.8,11,5,6,8.5,7,9,7.5,10,7.5,9.5,6.5,8.5,9,9,8,8,6,7,7.5,6.5,10,7,11,6,8,5.5,8,7,6.5,8,4.5,3,4,4.5
104,1,Control,Vehicle,Control Vehicle,1.1,4.1,4.5,4,2,6,4,1,6,4,1.8,9.2,1,9,3,6,3,8,3,1,3.5,5.5,7,8,3,8,5,6,7,6.5,8,6.5,9,9,7,8,8.5,9,7.5,8.5,7.5,7.5,4,3.5,2.5,2.5
117,2,Control,Vehicle,Control Vehicle,5,4,7,5.5,6.5,5,6,7,5,,6,4,5.5,6,6.5,6.5,5,4,4.5,4,5,1,5,6.5,1,5,5,6,4,4,4,8,4.5,6.5,5,8.5,2.5,6,4,4,4,5.5,4,4,1,
122,2,Control,Vehicle,Control Vehicle,10,3,6,4.5,6,5.5,6,7.5,6.5,,6.5,7,5.5,8,14,6.5,8.5,5,9,4.5,9.5,5,7.5,6,10,5.5,9.5,6,8.5,5.5,8.5,10,8,9,8.5,8,10,7,9.5,8,12,4,4,3.5,1.5,
129,2,Control,Vehicle,Control Vehicle,3,6,4,7,4,7,4.5,8.5,5,8,5,9,5,9,4,8,6,7.5,14,2,8,8,5.5,7,8,7,9.5,8,9,6.5,8.5,5.5,8.5,9.5,8,9,7,8,10,8.5,9.5,11.5,5,4.5,4,2
113,4,Control,Vehicle,Control Vehicle,2.5,3,2.5,5,4.5,5.5,5,7,1.5,8.5,3.5,6.5,2,7,5,6,7.5,16.5,14,7,4.5,6.5,7.5,6.5,12,6,8,9,9,7,9,10,7.5,7.5,9,8,10.5,10.5,10,9,8,7,6.5,3.5,3.5,
131,6,Control,Vehicle,Control Vehicle,8,4.5,6,5,7,4,9.5,4,12,5,12,5,11,5,12,8,11.5,5,12,5,12,5.5,12.5,6.5,12.5,7,13.5,6,15,6,15,6.5,14,6,18,8,16.5,8,12,7,13,3.5,5.5,3.5,,
110,1,HFHS,Vehicle,HFHS Vehicle,3.8,5.2,5.2,2.3,5.8,4.2,4,4,6,5.2,6,6,6,7.5,4.5,7.5,5,8,7,8.5,6,9,5.5,8.5,8,10,7.5,10,8,10.5,9.5,10,8,7.5,7.5,8,6,7.5,6.5,9.5,5.5,11,2,5.5,2.5,5
107,1,HFHS,Vehicle,HFHS Vehicle,2.5,3.5,4,2,4.2,3.9,6,4,6,5.2,6.2,3.8,4,4.5,5.5,4,5,5,4.5,3.5,3,5,5.5,4,4,5,4.5,3.5,5,4.5,4.5,2.5,5,4,4,3.5,5,8,5,9,6,5,3,2,2.5,1.5
123,2,HFHS,Vehicle,HFHS Vehicle,4,4.5,4.5,4,4.5,5,5,6,5,16,4.5,6,5.5,5.5,7,5,7.5,4,7.5,5.5,7.5,5.5,9.5,5,8.5,6,10.5,9,10,7,9,8.5,10,9.5,11.5,8.5,12.5,10,13,8,13.5,5,4,2.5,3.5,5
121,2,HFHS,Vehicle,HFHS Vehicle,4.5,3.5,5,4,13,4,6.5,3.5,5.5,5.5,5.5,6,3.5,6.5,4,6,4,9,5,8,5.5,8.5,6.5,9,5.5,9,7,8,7,10,7.5,10,6,10.5,7.5,12.5,5,13,5.5,11.5,6.5,13.5,4,3,4,1.5
125,3,HFHS,Vehicle,HFHS Vehicle,5,5,5.5,6,5,7,4,9,6,9.5,6,11,6,11,6,11,8,10.5,7,12,6.5,12.5,,,7,13.5,6.5,14.5,5.5,11.5,7.5,11.5,7,11,7,14.5,6,12,8,14,4,4.5,3,,,
126,4,HFHS,Vehicle,HFHS Vehicle,1,4,4.5,4,4,4,6.5,4.5,6,5,5,6,4,6.5,3,7,6,6.5,7,8,5.5,9.5,6,9,8,12,7,13,7,13.5,8,13,8.5,12,8,11.5,9,12,8.5,16.5,8,16,2.5,4.5,2.5,
133,6,HFHS,Vehicle,HFHS Vehicle,3.5,4.5,3.5,6.5,3.5,6.5,5,8,4.5,9.5,3.5,9.5,4.5,10.5,4,12,4.5,12.5,5.5,12.5,6,13,7.5,14,7,16,3,23,8,18,10,18,10,17.5,9,19,9.5,20.5,9,23,6,14,2,8,2.5,
106,1,HFHS,FOS+GOS,HFHS FOS+GOS,3.5,6,4.2,3.8,3.5,5.5,5,4.8,4,5,6,6,5,3.8,4,5,5,7,4.5,7,6,7,4,7.5,5,5.5,5.5,6.5,6.5,7,9,7,6,8,6,7,4.5,8.5,6,8,5.5,9,2,5,3,2
124,2,HFHS,FOS+GOS,HFHS FOS+GOS,4.5,5.5,5,4,4.5,5,5,4,5.5,5.5,5,6,5,5.5,5,6,4.5,8.5,5.5,8,5.5,8.5,5.5,9.5,6,9,7,9.5,7.5,8.5,9,10,8.5,10.5,6,12,7,12,12,10,7,14,3,5,3,
119,2,HFHS,FOS+GOS,HFHS FOS+GOS,4,4.5,4,5.5,5,5,5,5.5,5.5,6,5.5,5.5,4,6.5,5,5.5,5,8.5,6,7,5,8,7.5,8.5,6.5,9,8,10.5,8.5,11,7,11,7.5,11.5,9,13,6.5,11.5,7,14,8,16,9,6,3,
128,2,HFHS,FOS+GOS,HFHS FOS+GOS,6,3.5,4.5,4.5,5.5,5,4.5,5,5,4.5,6.5,5.5,6.5,5,8,5,7,6,8,7,8.5,5.5,9.5,7.5,9,7,13,9,10.5,9,11,8.5,11.5,8,10,7,12,4,14,13,6.5,5,6,4,3,
114,3,HFHS,FOS+GOS,HFHS FOS+GOS,5,6,4,5,4,5,5,5.5,5,5,3,4.5,7,4,5,6,6.5,4.5,6,6,6,7,,,6,7,7,2,7,7,6,9,7,8,7,8,5,1,4,1,3,2,2.5,,,
118,6,HFHS,FOS+GOS,HFHS FOS+GOS,5,5,4,4.5,5,3.5,6,4,5.5,4.5,5.5,4,7,5,6.5,5.5,7.5,6,7,6.5,7.5,6,8,6.5,8.5,6,8,7,10,8,9.5,8,11,7,12,8,11,7.5,11.5,7,12,4,5,3,,
136,6,HFHS,FOS+GOS,HFHS FOS+GOS,5.5,4.5,3,5,3.5,5.5,4.5,5.5,5,7,5.5,6.5,4.5,6.5,5,7,5.5,7.5,4.5,7,5,8.5,7.5,7.5,6.5,7.5,8,9,6.5,9.5,6,10,8,10,7,10,5,10,9,11,4.5,4.5,4,,,
115,1,HFHS,1472,HFHS 1472,4.8,5.7,6,0,5.5,8,5,11,5,12.5,4,12,5,11.5,4,13,6,10.5,6.5,10,4,10,5.5,8,7,11.5,7,12,9,13,6.5,11.5,9.5,12,10,13,9.5,12,6.5,12,5,12,2.5,11,2,9
111,1,HFHS,1472,HFHS 1472,3.5,2,4.5,2,5,8,5,12.5,4.5,11.5,3.5,11.5,4.5,13.5,5.5,9,5,10.5,4,10.5,4,11,6,12.5,6.5,12,6,10.5,4.5,12,7,12,7,14,6.5,10,5,13,4.5,13,4.5,12,2.5,11,2,9.5
120,2,HFHS,1472,HFHS 1472,2,5,5,7.5,4,4.5,4.5,8.5,5,4,4.5,7,4.5,5,4,9,5,9,5,10,4,10,4,12,5.5,11,5.5,12,6.5,11,5.5,12,5.5,11,7,14,6,14,5,14,4,14.25,3,8,3,
