Mouse_ID,Cohort,Diet,Treatment,Legend,Age,food_intake,energy_intake
105,1,Control,Vehicle,Control Vehicle,PND1,6.4,23.232
104,1,Control,Vehicle,Control Vehicle,PND1,4.7,17.061
117,2,Control,Vehicle,Control Vehicle,PND1,8,29.04
122,2,Control,Vehicle,Control Vehicle,PND1,3.8,13.794
129,2,Control,Vehicle,Control Vehicle,PND1,7,25.41
113,4,Control,Vehicle,Control Vehicle,PND1,4.6,16.698
131,6,Control,Vehicle,Control Vehicle,PND1,2.1,7.623
110,1,HFHS,Vehicle,HFHS Vehicle,PND1,6.6,30.459
107,1,HFHS,Vehicle,HFHS Vehicle,PND1,5.5,25.3825
123,2,HFHS,Vehicle,HFHS Vehicle,PND1,5.7,26.3055
121,2,HFHS,Vehicle,HFHS Vehicle,PND1,5.7,26.3055
125,3,HFHS,Vehicle,HFHS Vehicle,PND1,7.3,33.6895
126,4,HFHS,Vehicle,HFHS Vehicle,PND1,4.9,22.6135
133,6,HFHS,Vehicle,HFHS Vehicle,PND1,6,27.69
106,1,HFHS,FOS+GOS,HFHS FOS+GOS,PND1,5.7,26.3055
124,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND1,4.9,22.6135
119,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND1,4.2,19.383
128,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND1,6.5,29.9975
114,3,HFHS,FOS+GOS,HFHS FOS+GOS,PND1,6.5,29.9975
118,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND1,2.7,12.4605
136,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND1,4.4,20.306
115,1,HFHS,1472,HFHS 1472,PND1,6.1,28.1515
111,1,HFHS,1472,HFHS 1472,PND1,6.6,30.459
120,2,HFHS,1472,HFHS 1472,PND1,6.1,28.1515
127,2,HFHS,1472,HFHS 1472,PND1,6.2,28.613
116,4,HFHS,1472,HFHS 1472,PND1,15.5,71.5325
130,5,HFHS,1472,HFHS 1472,PND1,5.7,26.3055
135,6,HFHS,1472,HFHS 1472,PND1,5.6,25.844
105,1,Control,Vehicle,Control Vehicle,PND2,6.1,22.143
104,1,Control,Vehicle,Control Vehicle,PND2,4.5,16.335
117,2,Control,Vehicle,Control Vehicle,PND2,3.5,12.705
122,2,Control,Vehicle,Control Vehicle,PND2,2.9,10.527
129,2,Control,Vehicle,Control Vehicle,PND2,5.4,19.602
113,4,Control,Vehicle,Control Vehicle,PND2,5.8,21.054
131,6,Control,Vehicle,Control Vehicle,PND2,3.5,12.705
110,1,HFHS,Vehicle,HFHS Vehicle,PND2,5.3,24.4595
107,1,HFHS,Vehicle,HFHS Vehicle,PND2,11,50.765
123,2,HFHS,Vehicle,HFHS Vehicle,PND2,4.2,19.383
121,2,HFHS,Vehicle,HFHS Vehicle,PND2,5.3,24.4595
125,3,HFHS,Vehicle,HFHS Vehicle,PND2,3.1,14.3065
126,4,HFHS,Vehicle,HFHS Vehicle,PND2,5.1,23.5365
133,6,HFHS,Vehicle,HFHS Vehicle,PND2,5.7,26.3055
106,1,HFHS,FOS+GOS,HFHS FOS+GOS,PND2,5.4,24.921
124,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND2,4.6,21.229
119,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND2,4,18.46
128,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND2,5.5,25.3825
114,3,HFHS,FOS+GOS,HFHS FOS+GOS,PND2,5.6,25.844
118,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND2,4.7,21.6905
136,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND2,5.6,25.844
115,1,HFHS,1472,HFHS 1472,PND2,5.7,26.3055
111,1,HFHS,1472,HFHS 1472,PND2,5.9,27.2285
120,2,HFHS,1472,HFHS 1472,PND2,3.5,16.1525
127,2,HFHS,1472,HFHS 1472,PND2,5.1,23.5365
116,4,HFHS,1472,HFHS 1472,PND2,13.3,61.3795
130,5,HFHS,1472,HFHS 1472,PND2,5.3,24.4595
135,6,HFHS,1472,HFHS 1472,PND2,5.6,25.844
