"sex","metabolite","statistic_diet","p.adj_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","restoration_FOSGOS","restoration_1472"
"F","Acetate",-3.18666369157482,0.03,-4.81559905701302,0.003,7.94929684623127,0.002,"not restored","restored"
"F","Butyrate",-2.99490799044403,0.017,-0.903510490182517,0.396,13.5356816324825,1.25e-05,"not restored","restored"
"F","IsoButyrate",-2.05837078937371,0.07,0.418410134435637,0.686,11.2643777206995,9.6e-05,"not restored","not restored"
"F","IsoValerate",-2.13080967621763,0.065,0.327191366891017,0.752,11.0025238404664,7.47e-06,"not restored","not restored"
"F","Propionate",-2.40514817560126,0.041,-1.69001693124702,0.133,12.2430697577241,0.000118,"not restored","restored"
"F","Total",-5.08558382093315,0.001,-3.50185713198481,0.014,14.5698068950268,7.05e-06,"not restored","restored"
"F","Valerate",-2.29354095059931,0.048,0.654181669883108,0.53,10.2383989757634,1.42e-05,"not restored","restored"
"M","Acetate",-2.71273974532795,0.041,-0.926392387663623,0.756,0.260699092154885,0.805,"not restored","not restored"
"M","Butyrate",-2.31960688946125,0.053,-0.750751370458288,0.482,-12.7972524173705,4.2e-06,"not restored","not restored"
"M","IsoButyrate",-1.68124612546637,0.125,0.930591462569541,0.377,-14.1381503368402,2.54e-06,"not restored","not restored"
"M","IsoValerate",-9.75303308345659,1.63e-05,5.38484912397412,0.002,-7.19771037920329,0.002,"restored","not restored"
"M","Propionate",-3.04206958828117,0.023,-0.754645012493569,0.474,-7.84985446692143,0.000177,"not restored","not restored"
"M","Total",-2.75622305233435,0.04,-0.866347073776438,0.818,-1.90729688990144,0.318,"not restored","not restored"
"M","Valerate",0.419853748605421,0.685,-0.0826433399562828,0.937,-10.1960711094738,1.21e-05,"not restored","not restored"
