"sex","metabolite","statistic_diet","p.adj_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","restoration_FOSGOS","restoration_1472"
"F","Acetate",-1.58240974129843,0.141,-0.917341828959807,0.746,0.220701991376401,0.829,"not restored","not restored"
"F","Butyrate",-0.0315059611554866,0.976,0.185327632462799,0.857,-2.04979676767821,0.178,"not restored","not restored"
"F","IsoButyrate",-0.661692007242214,0.534,7.19594510241852,4.26e-06,-3.39719333152699,0.004,"not restored","not restored"
"F","IsoValerate",0.355082263844697,0.734,1.64915875846461,0.128,-2.51488891056942,0.058,"not restored","not restored"
"F","Propionate",0.0643461007672179,0.951,0.951282284308152,0.357,-3.41502384592703,0.008,"not restored","not restored"
"F","Total",-0.92531728105519,0.379,-0.202674808359025,1,-0.655424788333772,1,"not restored","not restored"
"F","Valerate",0.580489446768983,0.578,4.582678654024,0.004,-1.50261187140085,0.155,"not restored","not restored"
"M","Acetate",3.79891787402317,0.002,-4.67197353721206,0.000369,-2.51435809620829,0.021,"restored","restored"
"M","Butyrate",2.15036788196185,0.045,0.280232278926764,1,-0.137337492626871,1,"not restored","not restored"
"M","IsoButyrate",2.56253959392726,0.02,2.93914538160356,0.016,-0.443163296740066,0.663,"not restored","not restored"
"M","IsoValerate",3.92818729370985,0.001,1.71483634538496,0.202,-0.857539317937308,0.403,"not restored","not restored"
"M","Propionate",2.26482164626475,0.036,1.11585134997906,0.552,-0.402917447208325,0.692,"not restored","not restored"
"M","Total",3.67568998730531,0.003,-2.68195083150607,0.038,-1.60259317435741,0.252,"restored","not restored"
"M","Valerate",3.33760348113167,0.005,2.82732253082219,0.028,0.593053344010388,0.563,"not restored","not restored"
