symbol,sex,statistic_diet,p.adj_diet
1110059E24Rik,F,1.7596308,0.134
1110059G10Rik,F,1.434733538,0.195
1700066M21Rik,F,1.661134245,0.146
2210408I21Rik,F,1.516960791,0.179
2300009A05Rik,F,1.824560316,0.107
2310022A10Rik,F,1.746631491,0.127
2310034G01Rik,F,-1.432192548,0.194
2510009E07Rik,F,1.683032359,0.14
2610008E11Rik,F,1.68646686,0.138
2610021A01Rik,F,1.784476505,0.114
2700097O09Rik,F,1.623001695,0.151
3110082I17Rik,F,-1.474731574,0.183
4632415L05Rik,F,-1.460662883,0.18
4930447C04Rik,F,1.875687148,0.108
4930524B15Rik,F,1.574484449,0.164
4930562C15Rik,F,-1.518881517,0.17
4930563E22Rik,F,1.523607821,0.181
4933424G06Rik,F,1.389782592,0.195
4933434E20Rik,F,1.645043282,0.146
5730409E04Rik,F,1.467473017,0.177
5730455P16Rik,F,1.59115845,0.168
5730480H06Rik,F,1.678061174,0.14
6030458C11Rik,F,1.642739696,0.137
6820408C15Rik,F,-1.84018891,0.109
9130023H24Rik,F,1.38026164,0.198
9130230L23Rik,F,1.377276572,0.199
9330159F19Rik,F,1.86633615,0.116
9530068E07Rik,F,1.717428033,0.139
A630001G21Rik,F,-1.609619945,0.139
A930007A09Rik,F,1.397780561,0.193
A930017M01Rik,F,-1.8571988,0.109
AI593442,F,1.643012714,0.153
AI597479,F,1.815411827,0.124
AU041133,F,1.853792176,0.104
AW146154,F,1.559376628,0.168
AW551984,F,1.449490662,0.199
Abcb1a,F,1.48322476,0.177
Abcb4,F,1.393218501,0.196
Abcb7,F,1.83326593,0.123
Abcc2,F,1.813065428,0.105
Abcc9,F,1.603671165,0.149
Abcd3,F,1.941456872,0.104
Abce1,F,1.711302422,0.143
Abcg2,F,1.865363375,0.114
Abhd10,F,1.701395243,0.148
Abhd17b,F,1.528919538,0.181
Abhd18,F,1.844097725,0.107
Abhd3,F,1.577403801,0.156
Abi1,F,1.535795568,0.181
Abi2,F,1.74744441,0.137
Abitram,F,1.704480847,0.129
Acad9,F,1.580851931,0.147
Acat1,F,1.664755966,0.155
Acat3,F,1.648777941,0.13
Acbd4,F,-1.559484156,0.178
Acbd5,F,1.643312836,0.158
Accsl,F,-1.697320103,0.128
Acer3,F,1.750848331,0.121
Acot4,F,1.733087121,0.117
Acsl4,F,1.802914276,0.126
Acsl5,F,1.425415093,0.185
Acsl6,F,1.922046182,0.101
Acsm2,F,-1.447596157,0.184
Acta2,F,-1.694378163,0.122
Actg1,F,1.784543074,0.123
Actr10,F,1.905945796,0.112
Actr2,F,1.488160618,0.194
Actr3,F,1.688850617,0.142
Adam10,F,1.747347476,0.138
Adam1a,F,1.438909337,0.181
Adam23,F,1.92643771,0.101
Adamts12,F,1.553596339,0.153
Adamts14,F,-1.541367518,0.158
Adamts18,F,1.399426844,0.195
Adamts6,F,1.732557194,0.134
Adamts9,F,1.786491685,0.105
Adat1,F,1.45785479,0.192
Adat3,F,-1.637812441,0.162
Adcy1,F,1.612271864,0.139
Adcy4,F,-1.44204642,0.182
Adcy7,F,1.826590355,0.111
Adgrd1,F,-1.928991253,0.1
Adgrf4,F,1.783601033,0.115
Adgrg3,F,-1.423353174,0.196
Adi1,F,1.855387321,0.11
Adora2b,F,1.788412234,0.125
Adpgk,F,1.802031585,0.128
Aff1,F,1.459329973,0.182
Agap1,F,1.768877003,0.113
Agbl2,F,1.532490391,0.173
Agbl3,F,1.909953193,0.103
Aggf1,F,1.430323221,0.198
Agpat2,F,-1.424498033,0.185
Agps,F,1.639878638,0.154
Ahcyl2,F,1.731046927,0.14
Ahi1,F,1.950802951,0.105
Ahsa2,F,1.532008294,0.173
Ak4,F,1.430137565,0.187
Akr1b8,F,1.477051899,0.171
Aktip,F,1.683744354,0.147
Alcam,F,1.928580191,0.11
Aldh4a1,F,-1.51365518,0.172
Alg10b,F,1.726124005,0.125
Alg14,F,1.542091769,0.162
Alg6,F,1.671305868,0.144
Alg9,F,1.645463118,0.131
Alk,F,-1.807692284,0.12
Alkbh3,F,1.674475191,0.128
Alkbh8,F,1.490262885,0.182
Alms1-ps2,F,-1.676870854,0.122
Alpk1,F,1.542493946,0.155
Als2,F,1.814983358,0.104
Amacr,F,1.68675311,0.123
Amd1,F,1.702682753,0.145
Amotl2,F,-1.758360824,0.11
Amy1,F,1.876554116,0.114
Anapc11,F,1.701773872,0.138
Anapc16,F,1.448465295,0.192
Angel1,F,-1.454180005,0.177
Angptl2,F,-1.554134212,0.169
Angptl4,F,1.477361982,0.172
Angptl6,F,1.431636865,0.189
Ank3,F,1.726013737,0.115
Ankfy1,F,1.740250992,0.128
Ankhd1,F,1.483723562,0.169
Ankmy2,F,1.688938398,0.139
Ankrd12,F,1.583867699,0.15
Ankrd13c,F,1.83014998,0.123
Ankrd40,F,1.504677894,0.181
Ankrd42,F,1.483668083,0.172
Ankrd44,F,1.701384537,0.131
Ankrd50,F,1.54030788,0.16
Ankrd61,F,1.536685851,0.157
Ano3,F,1.625194956,0.152
Ano5,F,1.444590126,0.186
Anxa7,F,1.577170397,0.152
Ap1s2,F,1.880583416,0.118
Ap2a2,F,1.44127289,0.197
Ap2m1,F,1.487752807,0.186
Ap3s1,F,1.539073987,0.174
Ap4s1,F,1.788401366,0.131
Ap5m1,F,1.656928873,0.154
Apbb2,F,1.562509739,0.165
Apbb3,F,-1.422539544,0.192
Aph1b,F,1.498774012,0.182
Api5,F,1.663323699,0.147
Apobec3,F,1.811338308,0.102
Appbp2,F,1.892550873,0.112
Ar,F,1.861734981,0.11
Arel1,F,1.679842793,0.132
Arhgap21,F,1.39515015,0.193
