Symbol,sex,statistic_treatment_FOSGOS,p.adj_treatment_FOSGOS,restoration_FOSGOS
9930012K11Rik,F,2.562844814,0.058,restored
Abhd5,F,-2.333745657,0.129,restored
Acat3,F,-2.500564517,0.1,restored
Acot3,F,2.484799527,0.101,restored
Akr1b8,F,-2.212098016,0.131,restored
Ano4,F,-2.67194704,0.076,restored
Apoa2,F,2.238112045,0.149,restored
Arhgap42,F,-2.110621843,0.185,restored
Arl16,F,2.303276648,0.089,restored
Atp8b5,F,-2.1181085,0.121,restored
Bbs7,F,-2.297293996,0.107,restored
Ccdc86,F,-2.893868073,0.051,restored
Ccl21d,F,-2.339914553,0.124,restored
Ccnjl,F,2.641432293,0.098,restored
Cdc42ep1,F,2.059831615,0.141,restored
Cdh12,F,-2.695199462,0.091,restored
Cdhr4,F,3.225009719,0.029,restored
Cftr,F,-2.745994788,0.08,restored
Chmp4c,F,-2.202516704,0.127,restored
Chrna5,F,-2.971591741,0.043,restored
Chrnb4,F,3.734893875,0.025,restored
Cldn14,F,2.535402556,0.063,restored
Clec4a2,F,-2.315082183,0.152,restored
Clmp,F,-3.018315599,0.039,restored
Cobl,F,-2.24072811,0.147,restored
Coil,F,2.702773775,0.068,restored
Colec12,F,-2.576123842,0.083,restored
Cryzl1,F,-2.018374664,0.144,restored
Csrp2,F,2.243745456,0.18,restored
Dct,F,2.833721833,0.054,restored
Defb1,F,-3.031818123,0.038,restored
Dera,F,-2.182994911,0.152,restored
Disp1,F,2.676788059,0.05,restored
Dpp4,F,-3.909073812,0.009,restored
Dpysl3,F,-1.88951686,0.191,restored
Dus4l,F,-2.375354177,0.117,restored
Ecel1,F,2.14887111,0.174,restored
Enpp3,F,-5.942721499,0.002,restored
Ermap,F,-2.244150083,0.15,restored
Espl1,F,-3.582012298,0.017,restored
Fam111a,F,-2.498470089,0.109,restored
Fam114a1,F,-2.521599821,0.091,restored
Fam210b,F,-2.416340214,0.138,restored
Fan1,F,-2.174543053,0.127,restored
Fgd2,F,-2.695536436,0.078,restored
Fmnl3,F,1.884065456,0.191,restored
Galr1,F,-2.641946784,0.059,restored
Gask1a,F,-2.340150705,0.129,restored
Gbp2,F,-1.984476559,0.152,restored
Gdpd3,F,-2.3315137,0.126,restored
Gm29427,F,3.491198093,0.021,restored
Gm38699,F,-2.655973514,0.105,restored
Gm43540,F,-4.05080235,0.014,restored
Gm48348,F,-2.332738923,0.182,restored
Gm6756,F,-2.201487662,0.16,restored
Gm9512,F,2.073567479,0.198,restored
Gpr182,F,-3.685076892,0.013,restored
Gtf2a1l,F,-2.530238427,0.091,restored
Gypc,F,-2.841023596,0.053,restored
H2-Q1,F,-2.443729061,0.133,restored
Harbi1,F,-1.85669396,0.186,restored
Hcar1,F,-2.678477834,0.091,restored
Hhat,F,1.961443378,0.176,restored
Hivep3,F,-2.563745485,0.089,restored
Hmgb2,F,2.946479243,0.032,restored
Ifitm7,F,-2.914117887,0.046,restored
Irx3,F,2.025371214,0.161,restored
Itm2a,F,-2.192452124,0.16,restored
Jdp2,F,2.593908889,0.081,restored
Kcnn2,F,-2.30124019,0.144,restored
Klc3,F,2.229389528,0.16,restored
Klhdc1,F,-2.579157659,0.086,restored
Klhl9,F,-2.173099315,0.173,restored
Kmo,F,-2.616662073,0.111,restored
L3hypdh,F,-3.321415485,0.043,restored
Larp7,F,4.184837384,0.006,restored
Lax1,F,2.221397527,0.158,restored
Ldlrad4,F,-3.102303826,0.034,restored
Lmbr1,F,-2.324586068,0.085,restored
Lmntd1,F,-2.114829812,0.186,restored
Lpxn,F,-2.362484779,0.124,restored
Lrat,F,-2.608137577,0.095,restored
Ltbp1,F,-3.084480582,0.043,restored
Lum,F,-2.887499356,0.063,restored
Maml3,F,-2.450216132,0.104,restored
Mcm2,F,2.211935575,0.103,restored
Mettl15,F,-2.772050802,0.055,restored
Mettl4,F,-2.10052843,0.134,restored
Mical1,F,1.982613263,0.152,restored
Mmp28,F,-2.088709913,0.197,restored
Mppe1,F,-1.713776834,0.151,restored
Mrpl2,F,2.355776458,0.105,restored
Mrpl45,F,-2.470148986,0.105,restored
Ms4a6c,F,-2.317712011,0.089,restored
Mx1,F,-2.556361048,0.069,restored
Mx2,F,-4.752601448,0.002,restored
Nat1,F,-1.384762019,0.199,restored
Nckap1l,F,-2.744785913,0.079,restored
Nipa1,F,-1.980867564,0.161,restored
Nlrc4,F,-2.14921886,0.168,restored
Nox4,F,-3.256939444,0.038,restored
Npffr1,F,-2.204515279,0.169,restored
Npy,F,3.712292865,0.015,restored
Nsdhl,F,2.219804237,0.103,restored
Nudt16,F,-2.056769186,0.134,restored
Nupr1l,F,1.987663517,0.179,restored
Nxpe3,F,-2.344403932,0.128,restored
Ogn,F,-2.30958212,0.132,restored
Oip5,F,1.873382043,0.182,restored
Olfml3,F,-2.309216721,0.158,restored
Or10d5,F,-2.978479512,0.048,restored
Or14j4,F,-2.658837032,0.104,restored
Padi2,F,-2.985857661,0.055,restored
Parp12,F,-2.298930773,0.18,restored
Pcdhb1,F,-2.1241863,0.186,restored
Pde11a,F,-2.453864599,0.119,restored
Phex,F,-2.856739117,0.06,restored
Pigv,F,-3.038843375,0.059,restored
Pld1,F,-2.900039388,0.054,restored
Poglut2,F,-2.791382381,0.058,restored
Ppie,F,3.926073273,0.009,restored
Prdm5,F,-4.56588165,0.009,restored
Prokr2,F,-2.673500191,0.047,restored
Prrg3,F,-1.952531087,0.17,restored
Rab33a,F,-2.124116621,0.186,restored
Rab3il1,F,-2.801612706,0.057,restored
Rarres1,F,-2.36299635,0.136,restored
Rbmx2,F,2.981272185,0.043,restored
Recql4,F,3.291334309,0.054,restored
Rfc1,F,-2.783976864,0.058,restored
Rnf183,F,-2.195890092,0.112,restored
Robo4,F,3.207599059,0.032,restored
Ror1,F,-3.042509662,0.044,restored
Rrm2b,F,-2.284318285,0.145,restored
Scube2,F,-2.418721482,0.123,restored
Sema3a,F,-2.864445837,0.051,restored
Serpind1,F,-2.487055511,0.117,restored
Sfmbt2,F,-2.289497686,0.118,restored
Sft2d2,F,-2.334152182,0.128,restored
Shisa6,F,-3.09265888,0.047,restored
Shroom2,F,-2.084804262,0.174,restored
Slc13a3,F,-2.702312427,0.093,restored
Slc2a12,F,-2.938885304,0.043,restored
Slc2a5,F,-2.242053886,0.147,restored
Slc35f6,F,2.181158015,0.188,restored
Slc7a11,F,-2.524454055,0.106,restored
Socs5,F,-2.285002983,0.154,restored
Sox5,F,-2.043101066,0.145,restored
Spata31f3,F,-3.35857507,0.023,restored
Spats2l,F,-2.10427917,0.138,restored
Sptssb,F,-5.341485205,0.003,restored
Srgap1,F,-4.026714802,0.016,restored
Srgap2,F,-2.267996692,0.141,restored
Svep1,F,-2.765665379,0.082,restored
Syne3,F,-3.672657438,0.015,restored
Tal2,F,1.875736508,0.188,restored
Tasor,F,-2.206441455,0.104,restored
