Symbol,sex,statistic_treatment_FOSGOS,p.adj_treatment_FOSGOS,restoration_FOSGOS
1700028K03Rik,M,2.986501813,0.066,restored
Acaa1b,M,3.352297965,0.022,restored
Aen,M,-2.404080091,0.138,restored
Ahrr,M,2.039713616,0.191,restored
Ak8,M,-2.713926562,0.067,restored
Aldh8a1,M,2.056093737,0.199,restored
Alx4,M,2.179946684,0.182,restored
Angptl1,M,-2.111001376,0.129,restored
Ankrd33b,M,2.395809415,0.163,restored
Ankrd55,M,-2.20004199,0.157,restored
Apol8,M,3.17164171,0.03,restored
Arhgap10,M,2.224716514,0.154,restored
Arhgap25,M,-2.350100399,0.124,restored
Atp2a3,M,3.474108703,0.028,restored
Bcl6b,M,2.086668244,0.136,restored
Bmp8b,M,2.133546197,0.176,restored
Btbd16,M,-2.604128503,0.081,restored
Btnl4,M,-2.523094825,0.124,restored
Btnl9,M,-2.077415886,0.141,restored
C8g,M,-2.745017401,0.041,restored
Cacng5,M,2.414426034,0.11,restored
Car15,M,4.53741952,0.004,restored
Ccdc113,M,-3.113120132,0.034,restored
Cfap20,M,2.226812347,0.171,restored
Cgas,M,2.275009542,0.122,restored
Clca3a2,M,2.073310043,0.13,restored
Cntnap5c,M,-1.445806261,0.179,restored
Col28a1,M,-2.121680093,0.14,restored
Creb5,M,2.425108033,0.109,restored
Cspg4b,M,-2.611662062,0.054,restored
Ctf1,M,2.979435164,0.043,restored
Ctsh,M,2.191326712,0.162,restored
Cyp4f13,M,-2.229477435,0.163,restored
D130040H23Rik,M,2.589878604,0.118,restored
Dcaf11,M,3.211619684,0.032,restored
Dctn5,M,-2.805950559,0.078,restored
Dhx30,M,2.570969791,0.108,restored
Dnajb12,M,-2.341416207,0.11,restored
Dtl,M,2.219006108,0.153,restored
Erg28,M,2.368695303,0.119,restored
Esam,M,4.536997309,0.009,restored
Fancf,M,2.591967364,0.077,restored
Fen1,M,2.892948921,0.033,restored
Fgd1,M,-1.931608484,0.176,restored
Fkbp7,M,2.450078025,0.102,restored
Flvcr2,M,-3.392619161,0.031,restored
Fzd6,M,2.662849147,0.102,restored
G6pdx,M,-2.854888027,0.071,restored
Gdf9,M,3.121249664,0.036,restored
Gins4,M,-2.867704682,0.069,restored
Gipc2,M,2.745521016,0.096,restored
Glyctk,M,1.894185849,0.175,restored
Gm19001,M,-2.17010386,0.17,restored
Gm20517,M,2.265827557,0.114,restored
Gm32742,M,-2.566160205,0.074,restored
Gm42957,M,2.251611685,0.134,restored
Gm44984,M,2.198758392,0.165,restored
Gm45038,M,2.228466477,0.157,restored
Gm47932,M,2.797491365,0.076,restored
Gm49863,M,-2.224591771,0.172,restored
Gm6092,M,2.720164774,0.079,restored
Gm7599,M,4.437346952,0.009,restored
Gng7,M,2.522962114,0.134,restored
Golgb1,M,-1.526222171,0.158,restored
Gpr68,M,-1.876442403,0.183,restored
H2-DMb1,M,2.282582149,0.166,restored
H2-K2,M,2.552342974,0.108,restored
H2-Q7,M,2.821566718,0.06,restored
Hadha,M,-1.953926224,0.18,restored
Hcar1,M,3.742104862,0.021,restored
Hmmr,M,1.976392942,0.171,restored
Hpse2,M,-2.832904209,0.082,restored
Hrct1,M,2.368142544,0.141,restored
Hs3st3b1,M,2.160888568,0.189,restored
Hyls1,M,2.70627954,0.07,restored
Id3,M,2.569513568,0.072,restored
Ifi208,M,-2.080693982,0.192,restored
Ift43,M,-4.685110034,0.003,restored
Il10ra,M,3.160557739,0.044,restored
Irf1,M,3.401817112,0.047,restored
Ism2,M,4.537179366,0.003,restored
Jtb,M,2.442690253,0.107,restored
Kank4,M,-2.289991815,0.137,restored
Klhl41,M,-2.097637391,0.195,restored
Lad1,M,2.853457642,0.053,restored
Letmd1,M,2.61287592,0.064,restored
Lmbr1l,M,2.098957534,0.187,restored
