Symbol,sex,statistic_treatment_1472,p.adj_treatment_1472,restoration_1472
2010315B03Rik,F,-2.254185768,0.172,restored
2700049A03Rik,F,-2.106339164,0.196,restored
3110082I17Rik,F,1.971983331,0.189,restored
4921536K21Rik,F,2.190025716,0.161,restored
4933402D24Rik,F,-2.442197909,0.106,restored
9330159F19Rik,F,-2.171494837,0.176,restored
9930012K11Rik,F,4.206132921,0.011,restored
Abhd5,F,-1.897178253,0.183,restored
Acadsb,F,-3.117000211,0.026,restored
Acsm2,F,2.357172675,0.137,restored
Adam10,F,-2.125628644,0.179,restored
Adgrd1,F,4.656762318,0.003,restored
Agbl2,F,-2.333059522,0.187,restored
Agfg1,F,-2.454208729,0.103,restored
Ahcyl2,F,-2.316926419,0.142,restored
Akr1b8,F,-2.309224982,0.131,restored
Ano10,F,-2.334088509,0.125,restored
Ap1g1,F,-4.407051658,0.004,restored
Appl2,F,-2.437825129,0.124,restored
Arl16,F,2.630993133,0.087,restored
Astn1,F,-2.196464943,0.162,restored
Atp13a4,F,-2.3881965,0.115,restored
Atp13a5,F,-2.764851089,0.071,restored
Atp8b5,F,-3.47128624,0.043,restored
Atpsckmt,F,-2.454358209,0.111,restored
Avil,F,2.70567099,0.067,restored
B3galnt1,F,-3.151083809,0.036,restored
Bag2,F,-3.092061261,0.048,restored
Bbs7,F,-3.067791357,0.036,restored
Bcl2,F,-1.916971277,0.171,restored
Bhlhb9,F,-3.38638191,0.022,restored
Bhlhe41,F,2.237316034,0.098,restored
Bicd2,F,-3.107563589,0.033,restored
Btc,F,-2.439347318,0.152,restored
Btf3l4b,F,2.409314615,0.114,restored
C1galt1c1,F,-2.270993479,0.14,restored
C1ql3,F,-2.764856321,0.074,restored
C2cd2,F,-2.503360566,0.106,restored
C2cd5,F,-2.545553585,0.105,restored
Caprin1,F,-2.242588448,0.156,restored
Caprin2,F,-2.740920046,0.089,restored
Caskin2,F,2.236952492,0.171,restored
Ccdc186,F,-2.068787737,0.196,restored
Ccdc188,F,3.795463367,0.027,restored
Ccnjl,F,1.99382999,0.179,restored
Cd46,F,-3.521641422,0.024,restored
Cdc42ep1,F,4.000462691,0.008,restored
Cdhr4,F,2.364173935,0.079,restored
Cep170,F,-2.271685602,0.176,restored
Cep72,F,-2.582935806,0.084,restored
Cfap300,F,-2.441777173,0.088,restored
Cfap69,F,-2.353534647,0.122,restored
Cfap99,F,-2.483446119,0.099,restored
Chmp1b2,F,-2.582842253,0.088,restored
Chmp4c,F,-3.217144935,0.032,restored
Chordc1,F,-2.903995415,0.049,restored
Chrnb4,F,2.063794991,0.133,restored
Chst9,F,-2.664533411,0.073,restored
Cldn14,F,3.03671686,0.055,restored
Clec4a2,F,-2.426357015,0.152,restored
Clxn,F,-2.127395196,0.179,restored
Cntln,F,-1.990254485,0.171,restored
Cobl,F,-1.966272254,0.156,restored
Col4a5,F,-2.338894241,0.124,restored
Creb1,F,-2.580713056,0.093,restored
Crem,F,-2.216911206,0.155,restored
Crxos,F,-2.755792878,0.065,restored
Cryzl1,F,-2.419568336,0.112,restored
Ctu2,F,2.425930161,0.096,restored
Cyb561a3,F,-2.337534866,0.139,restored
D130043K22Rik,F,-2.36468153,0.124,restored
Ddit3,F,6.576192932,0.000191,restored
Dgkk,F,-2.565853681,0.084,restored
Dhrs11,F,3.321550828,0.025,restored
Disp1,F,3.568780715,0.023,restored
Dnajc15,F,-2.237738154,0.15,restored
Dnajc24,F,-4.228260786,0.006,restored
Dpyd,F,-2.207291231,0.156,restored
Dpysl3,F,-2.163442421,0.191,restored
Dsn1,F,2.345443459,0.13,restored
Dtna,F,-2.264668615,0.16,restored
Dusp11,F,-2.277113972,0.141,restored
Dzip1,F,-2.296961776,0.138,restored
E130114P18Rik,F,-2.051896944,0.142,restored
Edar,F,2.748007477,0.082,restored
Eif4ebp1,F,-2.842448667,0.067,restored
Elavl2,F,-2.158962594,0.169,restored
Ell,F,2.157048163,0.182,restored
Enpp3,F,-2.364837155,0.04,restored
Epha8,F,4.058497193,0.018,restored
Erich3,F,-3.081357191,0.035,restored
Espl1,F,-3.017949016,0.032,restored
Eva1c,F,3.040840661,0.042,restored
Exd2,F,-2.850061154,0.08,restored
Exo5,F,-2.400064514,0.161,restored
Exosc5,F,2.589494503,0.1,restored
Fabp7,F,-1.901909219,0.176,restored
Fam111a,F,-2.438639076,0.109,restored
Fam114a2,F,-2.172106936,0.178,restored
Fam13b,F,-2.53837498,0.111,restored
Fan1,F,-2.447027056,0.127,restored
Fastkd2,F,-2.520275015,0.093,restored
Fem1b,F,-2.495789659,0.097,restored
Fen1,F,2.264071795,0.141,restored
Fer,F,-2.394631499,0.142,restored
Fgfr1op2,F,-2.25291077,0.151,restored
Fmnl3,F,2.411281619,0.127,restored
Fmo1,F,-2.643703653,0.051,restored
Fnbp1l,F,-3.909427513,0.01,restored
Folh1,F,-2.537617128,0.109,restored
Foxk1,F,2.644545173,0.094,restored
Foxr1,F,-2.876592198,0.064,restored
Fubp1,F,-2.485415134,0.101,restored
Fyco1,F,-2.306649454,0.137,restored
Gadl1,F,-2.153102194,0.191,restored
Galr1,F,-4.300971504,0.005,restored
