Symbol,sex,statistic_treatment_1472,p.adj_treatment_1472,restoration_1472
Abl2,M,-2.942321469,0.044,restored
Acaa1b,M,2.498510165,0.094,restored
Acaca,M,-3.055892318,0.037,restored
Adamts7,M,3.253568097,0.027,restored
Adcy10,M,-1.796095233,0.108,restored
Adora2b,M,-2.063492491,0.198,restored
Adra1a,M,-4.132049444,0.007,restored
Ago2,M,-2.658667749,0.072,restored
Aldh8a1,M,2.062798707,0.199,restored
Ank2,M,-2.130551846,0.188,restored
Ank3,M,-2.844253449,0.053,restored
Ap4m1,M,2.086236878,0.191,restored
Arhgef12,M,-2.313658523,0.088,restored
Atf7,M,-2.167692182,0.128,restored
Atp2a3,M,2.106914626,0.161,restored
Bcl6b,M,2.555312758,0.094,restored
Bfsp2,M,2.24012107,0.168,restored
Bpifb1,M,2.321661094,0.174,restored
Bptf,M,-3.539204939,0.019,restored
Btbd16,M,-2.627355967,0.081,restored
Btnl9,M,-2.890601601,0.05,restored
C8g,M,-3.643482686,0.015,restored
Car15,M,2.524831529,0.094,restored
Carlr,M,2.523471518,0.102,restored
Cd300a,M,-2.972731957,0.035,restored
Cdnf,M,-2.43059255,0.071,restored
Cfap210,M,-2.198183977,0.19,restored
Cfap46,M,-2.672680669,0.07,restored
Cfap97d2,M,-2.562149899,0.089,restored
Cgas,M,3.175414727,0.034,restored
Chd6,M,-2.162928891,0.14,restored
Chd7,M,-2.711625003,0.114,restored
Cntnap5c,M,-4.161444452,0.01,restored
Cplane1,M,-2.488004526,0.098,restored
Creb5,M,2.285812165,0.109,restored
Cspg4b,M,-3.103294601,0.034,restored
Ctsh,M,1.980154828,0.166,restored
Cubn,M,-2.345739805,0.131,restored
Ddx17,M,-1.896167124,0.177,restored
Ddx4,M,-3.220936245,0.034,restored
Dgki,M,-3.308746751,0.024,restored
Dhx30,M,2.388663857,0.108,restored
Dnah12,M,-2.266676465,0.141,restored
Dnai7,M,-2.124381228,0.138,restored
Dync1h1,M,-3.172272598,0.034,restored
Ect2l,M,-2.721886507,0.079,restored
Ep400,M,-2.503586756,0.063,restored
Epg5,M,-2.284144521,0.092,restored
Ephx3,M,2.672028662,0.124,restored
Ermap,M,-1.986976339,0.166,restored
Esam,M,2.392942007,0.113,restored
Fancf,M,3.073848537,0.036,restored
Fat1,M,-3.38596398,0.03,restored
Fat4,M,-2.699325426,0.064,restored
Fen1,M,3.505587674,0.029,restored
Fgd1,M,-2.410691289,0.11,restored
Fkbp11,M,2.301598288,0.132,restored
Flnb,M,-3.875173716,0.027,restored
Fry,M,-2.703216193,0.075,restored
Gdf9,M,2.615360202,0.06,restored
Glra1,M,-3.091941161,0.061,restored
Glyctk,M,2.206077838,0.156,restored
Gm20517,M,2.52601274,0.091,restored
Gm32742,M,-4.387889097,0.004,restored
Gm4294,M,3.174319735,0.073,restored
Gm42957,M,2.492356581,0.134,restored
Gm47924,M,-6.737899075,0.000387,restored
Gm48976,M,-2.631584501,0.079,restored
Gm49405,M,2.551119798,0.136,restored
Gm5831,M,2.164771644,0.184,restored
Gm7599,M,2.053699809,0.168,restored
Golgb1,M,-4.170870792,0.013,restored
Gpr68,M,-2.249593832,0.145,restored
Gpr84,M,3.231913827,0.023,restored
H1f4,M,4.241323503,0.006,restored
H2-T24,M,-2.571523645,0.087,restored
Hectd4,M,-2.681536896,0.069,restored
Helz,M,-2.514512407,0.073,restored
Herc2,M,-2.63657104,0.055,restored
Hes1,M,2.276306502,0.143,restored
Hipk2,M,-4.488302657,0.01,restored
Hmbox1,M,-3.707593858,0.017,restored
Hmmr,M,3.372860936,0.023,restored
Hsh2d,M,2.279188871,0.141,restored
Htr1d,M,2.521461475,0.105,restored
Htt,M,-3.098517392,0.041,restored
Id3,M,2.973019218,0.067,restored
Igsf9b,M,-3.113034173,0.064,restored
Inka2,M,2.104311833,0.186,restored
Irf1,M,3.300914942,0.047,restored
Ism2,M,2.249959192,0.129,restored
Itpr2,M,-2.32662374,0.112,restored
Kcna2,M,-2.533521931,0.095,restored
Kcnb1,M,-2.130214747,0.121,restored
Kif1b,M,-2.193526374,0.137,restored
Kif20a,M,2.916383394,0.067,restored
Kmt2a,M,-2.835378156,0.054,restored
Krt80,M,-2.482550569,0.103,restored
Lad1,M,2.392436023,0.09,restored
Lcor,M,-6.11502678,0.001,restored
Letmd1,M,2.857153204,0.053,restored
Lrrc4,M,-2.553566345,0.103,restored
Mknk1,M,-2.911589607,0.05,restored
Myof,M,-3.988282368,0.007,restored
Nav1,M,-2.718503504,0.065,restored
Nipal4,M,2.165265917,0.187,restored
Nod2,M,3.219923478,0.027,restored
Nsun5,M,2.956921671,0.03,restored
Oprm1,M,-2.864040331,0.069,restored
Or4f56,M,2.260372807,0.143,restored
Or5p78,M,-2.982803214,0.041,restored
Pabpc1l,M,1.935678396,0.165,restored
Pcdha3,M,-3.925178083,0.009,restored
Piezo2,M,-2.375695075,0.081,restored
Ppargc1b,M,-2.885121657,0.049,restored
Prrc2c,M,-3.869382944,0.009,restored
Ptprt,M,-2.489373131,0.115,restored
Reln,M,-2.563548291,0.085,restored
Rhobtb1,M,2.953303315,0.044,restored
Rhpn2,M,-2.88683846,0.062,restored
Rilpl2,M,2.533157226,0.094,restored
Rrp8,M,-3.018753657,0.042,restored
Rskr,M,-1.876477668,0.182,restored
Shcbp1l,M,-2.343238425,0.143,restored
Shroom4,M,-2.192103504,0.187,restored
Slc13a3,M,2.078672244,0.194,restored
Slc22a3,M,2.503315191,0.11,restored
Slc31a2,M,-2.762217159,0.065,restored
Slc38a8,M,-2.540984631,0.139,restored
Slc45a2,M,-2.607694682,0.088,restored
Slc4a8,M,-2.816564873,0.074,restored
Smpdl3b,M,2.590072992,0.102,restored
Sorl1,M,-2.296269419,0.111,restored
Spg11,M,-2.944784273,0.045,restored
Sstr2,M,-2.314734457,0.15,restored
Sstr4,M,-2.242372652,0.148,restored
Stard8,M,3.604234298,0.015,restored
Syne1,M,-3.741081307,0.012,restored
Tap1,M,2.719442242,0.044,restored
Tbc1d2b,M,-2.608346888,0.106,restored
Tbx15,M,2.437308032,0.108,restored
Tcam1,M,2.809812653,0.06,restored
Tcf7,M,2.351654389,0.122,restored
Tcp11l1,M,-4.734877159,0.003,restored
Tenm3,M,-2.974512329,0.038,restored
Tmc4,M,2.355058375,0.128,restored
Tmem178b,M,-2.435898338,0.097,restored
Tmem234,M,1.729077732,0.149,restored
Tmem30c,M,2.605890854,0.1,restored
Tnr,M,-2.158433896,0.174,restored
Tomm34,M,2.718132627,0.051,restored
Tpk1,M,-2.338283723,0.137,restored
Trarg1,M,2.555605659,0.117,restored
Trrap,M,-2.517510854,0.092,restored
Tspan15,M,1.861559336,0.185,restored
Ttc12,M,2.330256236,0.175,restored
Ttc23,M,-3.068222222,0.037,restored
Ubr4,M,-3.340714999,0.023,restored
Umodl1,M,-1.724368308,0.196,restored
Usp50,M,3.321490419,0.032,restored
Ust,M,3.195694379,0.041,restored
Vmn1r198,M,-2.65006177,0.073,restored
Vmn2r28,M,-3.996903208,0.014,restored
Wdfy3,M,-2.342077285,0.083,restored
Zbed6,M,-5.703334512,0.001,restored
Zfp647,M,2.770019881,0.051,restored
Zfp750,M,3.083443902,0.055,restored
Zfp791,M,-2.358380248,0.089,restored
Zkscan16,M,-3.854731341,0.013,restored
Zzef1,M,-2.078884199,0.135,restored
