Name,Cage/Litter,Mouse_ID,Cohort,Sex,Diet,Treatment,BW(g),Basal_Glucose,IpGTT_0min,IpGTT_15min,IpGTT_30min,IpGTT_60min,IpGTT_90min,IpGTT_120min,IpGTT_basal_0min,IpGTT_basal_15min,IpGTT_basal_30min,IpGTT_basal_60min,IpGTT_basal_90min,IpGTT_basal_120min,AUC_crude,AUC_vs_basal,AUC%
CT_CT_C1_L105_P101_F,105,101,1,F,Control,Vehicle,20.9,7.8,7.8,10.4,8.7,8.4,7.3,6.3,0,2.6,0.9,0.6,-0.5,-1.5,975.8,12040,12510
CT_CT_C1_L105_P102_F,105,102,1,F,Control,Vehicle,17.2,7.3,7.3,11.5,10.9,9.7,7.9,7,0,4.2,3.6,2.4,0.6,-0.3,1106,12230,15144
CT_CT_C1_L104_P113_F,104,113,1,F,Control,Vehicle,20,6.6,6.6,11.6,10.1,8.8,6.8,6.7,0,5,3.5,2.2,0.2,0.1,1019,12227,15443
CT_CT_C1_L104_P115_F,104,115,1,F,Control,Vehicle,16.4,7.2,7.2,13.5,10.9,8.7,6.8,6.7,0,6.3,3.7,1.5,-0.4,-0.5,1067,12203,14823
CT_CT_C2_L117_P201_F,117,201,2,F,Control,Vehicle,16.9,6.7,6.7,15.7,14.2,11.3,8.8,6.5,0,9,7.5,,2.1,-0.2,1306,12502,19489
CT_CT_C2_L117_P202_F,117,202,2,F,Control,Vehicle,16.2,7.1,7.1,16.3,11.8,9.2,7.8,6.9,0,9.2,4.7,2.1,0.7,-0.2,1177,12325,16574
CT_CT_C2_L122_P207_F,122,207,2,F,Control,Vehicle,21,7.6,7.6,17,13.2,10.7,7.3,7.2,0,9.4,5.6,3.1,-0.3,-0.4,1257,12345,16539
CT_CT_C2_L122_P208_F,122,208,2,F,Control,Vehicle,19.6,7.5,7.5,17.4,11.1,9,8.2,6.7,0,9.9,3.6,1.5,0.7,-0.8,1184,12284,15780
CT_CT_C4_L129_P401_F,129,401,4,F,Control,Vehicle,18.2,7.4,7.4,16.8,13.6,10.1,9.8,6.6,0,9.4,6.2,2.7,2.4,-0.8,1310,12422,17696
CT_CT_C4_L129_P402_F,129,402,4,F,Control,Vehicle,17.9,6.6,6.6,14.4,12,8.9,6.9,6.1,0,7.8,5.4,2.3,0.3,-0.5,1101,12309,16682
CT_CT_C4_L113_P408_F,113,408,4,F,Control,Vehicle,17.6,7.8,7.8,13.7,10,9.1,5.7,5.6,0,5.9,2.2,1.3,-2.1,,1017,12081,13038
CT_CT_C4_L113_P409_F,113,409,4,F,Control,Vehicle,17.6,7.5,7.5,13.5,12,9.9,8.2,6.4,0,6,4.5,2.4,0.7,-1.1,1168,12268,15570
HFHS_CT_C2_L123_P211_F,123,211,2,F,HFHS,Vehicle,18,7.7,7.7,18,12.3,9.3,6.7,5.7,0,10.3,4.6,1.6,-1,-2,1170,12246,15195
HFHS_CT_C2_L123_P212_F,123,212,2,F,HFHS,Vehicle,18.3,7.3,7.3,17.1,13.4,9.3,7.5,6.8,0,9.8,6.1,2,0.2,-0.5,1219,12343,16695
HFHS_CT_C2_L123_P213_F,123,213,2,F,HFHS,Vehicle,17.2,7.8,7.8,13.7,9.5,8.2,7,5.6,0,5.9,1.7,0.4,-0.8,-2.2,1018,12082,13048
HFHS_CT_C2_L123_P218_F,123,218,2,F,HFHS,Vehicle,20.7,9.5,9.5,20.1,16.1,10.2,8.2,7.7,0,10.6,6.6,0.7,-1.3,-1.8,1403,12263,14763
HFHS_CT_C3_L125.1_P302_F,125.1,302,3,F,HFHS,Vehicle,20.5,7.3,7.3,11.9,12.7,9.7,9,6.8,0,4.6,5.4,2.4,1.7,-0.5,1182,12306,16192
HFHS_CT_C3_L125.2_P303_F,125.2,303,3,F,HFHS,Vehicle,18.6,7.9,7.9,13.2,12.2,8.8,6,4.4,0,5.3,4.3,0.9,-1.9,,1042,12094,13187
HFHS_CT_C3_L125.2_P304_F,125.2,304,3,F,HFHS,Vehicle,20.4,7.9,7.9,12,11.3,10.8,8.9,6.5,0,4.1,3.4,2.9,1,-1.4,1182,12234,14962
HFHS_CT_C3_L125.1_P305_F,125.1,305,3,F,HFHS,Vehicle,19.4,7.8,7.8,12.3,10.5,9,8.3,6.4,0,4.5,2.7,1.2,0.5,-1.4,1094,12158,14029
HFHS_CT_C3_L125.2_P306_F,125.2,306,3,F,HFHS,Vehicle,18.4,7.2,7.2,15.5,12.3,10,8.4,6.5,0,8.3,5.1,2.8,1.2,-0.7,1213,12349,16844
HFHS_CT_C4_L126_P419_F,126,419,4,F,HFHS,Vehicle,16.5,6.7,6.7,7.7,,7.8,5.8,5.6,0,1,-0.3,1.1,-0.9,-1.1,,11998,11966
HFHS_CT_C4_L126_P420_F,126,420,4,F,HFHS,Vehicle,18.4,7.9,7.9,15.1,12.1,9.5,6.8,7.3,0,7.2,4.2,1.6,-1.1,-0.6,1157,12209,14639
HFHS_CT_C4_L126_P421_F,126,421,4,F,HFHS,Vehicle,16.8,8.8,8.8,12.9,11.9,10,9.2,8.3,0,4.1,3.1,1.2,0.4,-0.5,1228,12172,13952
HFHS_FOS+GOS_C1_L106_P122_F,106,122,1,F,HFHS,FOS+GOS,18.6,8,8,12.9,11.5,9.6,7.8,6.8,0,4.9,3.5,1.6,-0.2,-1.2,1136,12176,14203
HFHS_FOS+GOS_C1_L106_P124_F,106,124,1,F,HFHS,FOS+GOS,21.6,7.6,7.6,15.4,11.8,10.7,9.3,7.7,0,7.8,4.2,3.1,1.7,0.1,1269,12357,16697
HFHS_FOS+GOS_C2_L124_P223_F,124,223,2,F,HFHS,FOS+GOS,21.4,7.8,7.8,20.7,15.2,11.2,8.9,7.2,0,12.9,7.4,3.4,1.1,-0.6,1422,12486,18231
HFHS_FOS+GOS_C2_L124_P224_F,124,224,2,F,HFHS,FOS+GOS,19.6,7.8,7.8,12.2,10.6,9.4,8.9,7.5,0,4.4,2.8,1.6,1.1,-0.3,1142,12206,14635
HFHS_FOS+GOS_C2_L124_P225_F,124,225,2,F,HFHS,FOS+GOS,19.3,8.8,8.8,14.7,12.7,11.2,9,7.6,0,5.9,3.9,2.4,0.2,-1.2,1292,12236,14685
HFHS_FOS+GOS_C2_L119_P231_F,119,231,2,F,HFHS,FOS+GOS,19.5,7.5,7.5,14.5,10.4,8.3,6.4,6.1,0,7,2.9,0.8,-1.1,-1.4,1040,12140,13870
HFHS_FOS+GOS_C2_L119_P232_F,119,232,2,F,HFHS,FOS+GOS,18.1,7.2,7.2,15.3,12.3,9.5,6.8,6,0,8.1,5.1,2.3,-0.4,-1.2,1139,12275,15823
HFHS_FOS+GOS_C2_L119_P233_F,119,233,2,F,HFHS,FOS+GOS,18.1,,,12.6,10.7,8.1,6,4.8,0,7.1,5.2,2.6,0.5,-0.7,966,12306,17564
HFHS_FOS+GOS_C2_L128_P236_F,128,236,2,F,HFHS,FOS+GOS,21.4,8.5,8.5,18.3,13.3,11.9,8.8,7.3,0,9.8,4.8,3.4,0.3,-1.2,1368,12348,16094
HFHS_FOS+GOS_C2_L128_P237_F,128,237,2,F,HFHS,FOS+GOS,21.3,8.4,8.4,10.2,9,8.1,7.2,6.1,0,1.8,0.6,-0.3,-1.2,-2.3,969,11961,11536
HFHS_FOS+GOS_C2_L128_P238_F,128,238,2,F,HFHS,FOS+GOS,19.7,9,9,9.2,7.5,6,5.8,6.5,0,0.2,-1.5,,,-2.5,825.8,,9175
HFHS_FOS+GOS_C3_L114_P311_F,114,311,3,F,HFHS,FOS+GOS,20.8,8.3,8.3,15.4,12.7,10.3,8.9,8.2,0,7.1,4.4,2,0.6,-0.1,1278,12282,15398
HFHS_1472_C1_L115_P128_F,115,128,1,F,HFHS,1472,17.4,6.9,6.9,14.2,14.3,10.7,7.4,6.3,0,7.3,7.4,3.8,0.5,-0.6,1224,12396,17739
HFHS_1472_C1_L115_P130_F,115,130,1,F,HFHS,1472,19.5,6.1,6.1,14.9,8.3,8,8.1,7.1,0,8.8,2.2,1.9,2,1,1046,12314,17139
HFHS_1472_C1_L115_P131_F,115,131,1,F,HFHS,1472,15.9,7.1,7.1,,9.1,8,7,6.4,0,,2,0.9,-0.1,-0.7,930,12078,13099
HFHS_1472_C1_L111_P134_F,111,134,1,F,HFHS,1472,19.4,7.3,7.3,13.7,11.4,11,8,7.9,0,6.4,4.1,3.7,0.7,0.6,1205,12329,16510
HFHS_1472_C1_L111_P135_F,111,135,1,F,HFHS,1472,18,8,8,15.8,12.5,11,8.3,8.3,0,7.8,4.5,3,0.3,0.3,1282,12322,16022
HFHS_1472_C2_L120_P245_F,120,245,2,F,HFHS,1472,17.1,7,7,17.4,17.9,11.4,7.5,5.6,0,10.4,,4.4,0.5,-1.4,1367,12527,19532
HFHS_1472_C2_L120_P246_F,120,246,2,F,HFHS,1472,18,6.8,6.8,17.6,10.7,8.3,6.9,5.6,0,10.8,3.9,1.5,0.1,-1.2,1096,12280,16114
HFHS_1472_C2_L127_P247_F,127,247,2,F,HFHS,1472,20.8,7.9,7.9,15.5,11.9,9.6,8.1,7,0,7.6,4,1.7,0.2,-0.9,1196,12248,15133
HFHS_1472_C2_L127_P248_F,127,248,2,F,HFHS,1472,18.4,8.3,8.3,15.5,11.1,9.9,8.4,6.6,0,7.2,2.8,1.6,0.1,-1.7,1193,12197,14367
HFHS_1472_C4_L116_P435_F,116,435,4,F,HFHS,1472,18.9,7,7,13.7,10.9,10.2,8.1,7.1,0,6.7,3.9,3.2,1.1,0.1,1159,12319,16554
