"","name","term","statistic","df","p.value","p.adjusted"
"1","DrinkIntake.ml.","Sex",0.37808163629448,1,0.538631704409008,0.538631704409008
"2","DrinkIntake.ml.","Legend",0.11918532560686,1,0.72991975461159,0.72991975461159
"3","DrinkIntake.ml.","Time",1.25105978299504,1,0.263350160979591,0.263350160979591
"4","DrinkIntake.ml.","Age",55.7014741265563,67,0.836098404565003,0.836098404565003
"5","DrinkIntake.ml.","Sex:Legend",0.00301482256773358,1,0.956212236478166,0.956212236478166
"6","DrinkIntake.ml.","Sex:Time",0.0859267349691661,1,0.769420781496519,0.769420781496519
"7","DrinkIntake.ml.","Legend:Time",0.364588287231985,1,0.545968995027459,0.545968995027459
"8","DrinkIntake.ml.","Sex:Age",27.4872300128904,67,0.999995316687377,0.999995316687377
"9","DrinkIntake.ml.","Legend:Age",19.9979525572533,67,0.999999996019994,0.999999996019994
"10","DrinkIntake.ml.","Time:Age",78.2568053808541,67,0.163634191841033,0.163634191841033
"11","DrinkIntake.ml.","Sex:Legend:Time",0.37725866613529,1,0.539074015546541,0.539074015546541
"12","DrinkIntake.ml.","Sex:Legend:Age",29.3139585137563,65,0.999960525805596,0.999960525805596
"13","DrinkIntake.ml.","Sex:Time:Age",44.7278353214664,67,0.98349662934498,0.98349662934498
"14","DrinkIntake.ml.","Legend:Time:Age",27.3045603320449,65,0.999989785613099,0.999989785613099
"15","DrinkIntake.ml.","Sex:Legend:Time:Age",25.6036893301994,61,0.999981578921499,0.999981578921499
