"","name","term","statistic","df","p.value","p.adjusted"
"1","DrinkIntake.ml.","Sex",0.932636001784359,1,0.334178897140594,0.334178897140594
"2","DrinkIntake.ml.","Legend",0.375639065877195,1,0.539946425074439,0.539946425074439
"3","DrinkIntake.ml.","Time",0.551581883606382,1,0.457672056811013,0.457672056811013
"4","DrinkIntake.ml.","Age",78.69667758172,67,0.155333416816927,0.155333416816927
"5","DrinkIntake.ml.","Sex:Legend",0.00828384360765811,1,0.927480177319822,0.927480177319822
"6","DrinkIntake.ml.","Sex:Time",1.05216824808952,1,0.305008247858931,0.305008247858931
"7","DrinkIntake.ml.","Legend:Time",0.0688018224441797,1,0.793089379595857,0.793089379595857
"8","DrinkIntake.ml.","Sex:Age",41.1558177365707,67,0.994601929767859,0.994601929767859
"9","DrinkIntake.ml.","Legend:Age",24.715764897143,67,0.99999949950083,0.99999949950083
"10","DrinkIntake.ml.","Time:Age",102.525776330994,67,0.00341070566717835,0.00341070566717835
"11","DrinkIntake.ml.","Sex:Legend:Time",0.220490670277278,1,0.638666306326585,0.638666306326585
"12","DrinkIntake.ml.","Sex:Legend:Age",35.7128120920987,65,0.998831658644819,0.998831658644819
"13","DrinkIntake.ml.","Sex:Time:Age",68.541807347466,66,0.391142636395671,0.391142636395671
"14","DrinkIntake.ml.","Legend:Time:Age",41.0435481002955,65,0.991204187962199,0.991204187962199
"15","DrinkIntake.ml.","Sex:Legend:Time:Age",34.9668801953415,61,0.997019142367998,0.997019142367998
