"","name","term","statistic","df","p.value","p.adjusted"
"1","DrinkIntake.ml.","Sex",0.907081261466977,1,0.340890033812868,0.340890033812868
"2","DrinkIntake.ml.","Legend",0.648903173154492,1,0.420505096888361,0.420505096888361
"3","DrinkIntake.ml.","Time",1.40327528508351,1,0.23617595008178,0.23617595008178
"4","DrinkIntake.ml.","Age",90.8244911781362,67,0.02800271389567,0.02800271389567
"5","DrinkIntake.ml.","Sex:Legend",0.00326981542782064,1,0.954399977679498,0.954399977679498
"6","DrinkIntake.ml.","Sex:Time",0.462760195353444,1,0.496336809686588,0.496336809686588
"7","DrinkIntake.ml.","Legend:Time",0.302793061690378,1,0.582136697185859,0.582136697185859
"8","DrinkIntake.ml.","Sex:Age",53.2913144384,67,0.888313212985348,0.888313212985348
"9","DrinkIntake.ml.","Legend:Age",35.0853331574166,67,0.999550280492917,0.999550280492917
"10","DrinkIntake.ml.","Time:Age",123.913378648319,67,2.92648898807872e-05,2.92648898807872e-05
"11","DrinkIntake.ml.","Sex:Legend:Time",0.635092829800896,1,0.425493361008253,0.425493361008253
"12","DrinkIntake.ml.","Sex:Legend:Age",60.0962673380012,65,0.648960439452456,0.648960439452456
"13","DrinkIntake.ml.","Sex:Time:Age",90.8184155595468,66,0.0231243202771733,0.0231243202771733
"14","DrinkIntake.ml.","Legend:Time:Age",51.4939094495014,65,0.888514786470556,0.888514786470556
"15","DrinkIntake.ml.","Sex:Legend:Time:Age",55.0227250600769,61,0.69111268278614,0.69111268278614
