"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Dilated cardiomyopathy",106,9.6273,23,6.1317e-05,4.2124,0.021277,0.01956,0.016328
"Hypertrophic cardiomyopathy",103,9.3549,22,0.00011274,3.9479,0.039007,0.01956,0.0036284
"Arrhythmogenic right ventricular cardiomyopathy",88,7.9925,19,0.0002801,3.5527,0.096635,0.032398,5.176e-05
"Cytoskeleton in muscle cells",232,21.071,37,0.00048368,3.3154,0.16639,0.041959,0
"Human T-cell leukemia virus 1 infection",252,22.888,39,0.00063366,3.1981,0.21734,0.043976,0.0090638
"Motor proteins",198,17.983,32,0.00090292,3.0443,0.3088,0.052219,0
"Viral myocarditis",94,8.5375,18,0.0017663,2.7529,0.60229,0.077577,0.0014225
"Adrenergic signaling in cardiomyocytes",166,15.077,27,0.0020032,2.6983,0.68109,0.077577,0.019993
"AMPK signaling pathway",150,13.624,25,0.0020531,2.6876,0.69601,0.077577,0.05636
"Vasopressin-regulated water reabsorption",46,4.1779,11,0.0022357,2.6506,0.75565,0.077577,0.059829
"Human papillomavirus infection",362,32.878,49,0.0028247,2.549,0.95191,0.088305,0.0052542
"Insulin resistance",130,11.807,22,0.0030538,2.5152,1,0.088305,0.0089052
"cAMP signaling pathway",249,22.615,36,0.0033544,2.4744,1,0.089538,0.54062
"Cocaine addiction",56,5.0861,12,0.0038376,2.4159,1,0.095118,0.014198
"Calcium signaling pathway",265,24.068,37,0.005339,2.2725,1,0.11953,0.014819
"Focal adhesion",204,18.528,30,0.0055116,2.2587,1,0.11953,0.76267
"Fanconi anemia pathway",52,4.7228,11,0.0061318,2.2124,1,0.12516,0.0083275
"ECM-receptor interaction",90,8.1742,16,0.0066123,2.1796,1,0.12747,0
"Axon guidance",182,16.53,27,0.0072963,2.1369,1,0.13325,0.0050932
"Cholinergic synapse",125,11.353,20,0.0086771,2.0616,1,0.15055,0.05082
"Human cytomegalovirus infection",260,23.614,35,0.011506,1.9391,1,0.19012,0.012327
"Oxytocin signaling pathway",165,14.986,24,0.013863,1.8581,1,0.21866,0.017368
"Phagosome",184,16.712,26,0.015284,1.8158,1,0.22598,0
"Hippo signaling pathway",158,14.35,23,0.01563,1.806,1,0.22598,0.0073772
"Cardiac muscle contraction",93,8.4466,15,0.019848,1.7023,1,0.26549,0.0083056
"Insulin signaling pathway",144,13.079,21,0.019893,1.7013,1,0.26549,0.092492
"Growth hormone synthesis, secretion and action",121,10.99,18,0.024736,1.6067,1,0.30357,0.050595
"Amphetamine addiction",79,7.1751,13,0.024865,1.6044,1,0.30357,0.0090553
"Glucagon signaling pathway",130,11.807,19,0.02537,1.5957,1,0.30357,0.050617
"beta-Alanine metabolism",64,5.8127,11,0.027958,1.5535,1,0.31558,0.242
"Synaptic vesicle cycle",89,8.0833,14,0.029073,1.5365,1,0.31558,0
"Prion disease",278,25.249,35,0.029103,1.5361,1,0.31558,0.0078312
"Cell adhesion molecules",179,16.257,24,0.033761,1.4716,1,0.35501,3.2653e-05
"Neurotrophin signaling pathway",126,11.444,18,0.035446,1.4504,1,0.36175,0.069507
"FoxO signaling pathway",138,12.534,19,0.043456,1.362,1,0.4227,0.0094304
"Bacterial invasion of epithelial cells",77,6.9934,12,0.04399,1.3566,1,0.4227,0.01938
"Cushing syndrome",175,15.894,23,0.045072,1.3461,1,0.4227,0.020287
