"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"DNA replication",36,0.50562,4,0.0015471,2.8105,0.53686,0.53686,0
"ErbB signaling pathway",88,1.236,5,0.0078372,2.1058,1,0.89295,0.0063939
"Hedgehog signaling pathway",59,0.82865,4,0.0093295,2.0301,1,0.89295,0.0084325
"Viral life cycle - HIV-1",63,0.88483,4,0.011698,1.9319,1,0.89295,0
"Human papillomavirus infection",362,5.0843,11,0.012867,1.8905,1,0.89295,0.00019654
"Measles",146,2.0506,6,0.016809,1.7745,1,0.97214,0.00025536
"Base excision repair",47,0.66011,3,0.028037,1.5523,1,1,0
"Pantothenate and CoA biosynthesis",51,0.71629,3,0.034589,1.4611,1,1,0.064141
"Mismatch repair",23,0.32303,2,0.040867,1.3886,1,1,0
"Virion - Adenovirus",4,0.05618,1,0.055016,1.2595,1,1,0
"Caffeine metabolism",28,0.39326,2,0.058363,1.2339,1,1,0.018391
"beta-Alanine metabolism",64,0.89888,3,0.060778,1.2163,1,1,0.026631
"mTOR signaling pathway",162,2.2753,5,0.077798,1.109,1,1,0.010184
"Circadian rhythm",36,0.50562,2,0.090542,1.0431,1,1,0
"Neurotrophin signaling pathway",126,1.7697,4,0.10122,0.99475,1,1,0.016862
"Protein processing in endoplasmic reticulum",181,2.5421,5,0.11119,0.95395,1,1,0.0010782
"EGFR tyrosine kinase inhibitor resistance",84,1.1798,3,0.11412,0.94263,1,1,0.0083916
"Polycomb repressive complex",87,1.2219,3,0.12328,0.90909,1,1,0
"Signaling pathways regulating pluripotency of stem cells",140,1.9663,4,0.13417,0.87234,1,1,0.001578
"Taurine and hypotaurine metabolism",46,0.64607,2,0.13613,0.86604,1,1,0.080981
"Folate transport and metabolism",47,0.66011,2,0.14094,0.85098,1,1,0
"African trypanosomiasis",47,0.66011,2,0.14094,0.85098,1,1,0
"Insulin signaling pathway",144,2.0225,4,0.14431,0.8407,1,1,0.024197
"GnRH signaling pathway",96,1.3483,3,0.15226,0.8174,1,1,0.012026
"Longevity regulating pathway",98,1.3764,3,0.15898,0.79866,1,1,0.01747
"AMPK signaling pathway",150,2.1067,4,0.16006,0.79571,1,1,0.0039474
"Non-homologous end-joining",13,0.18258,1,0.16806,0.77454,1,1,0
"Glycerolipid metabolism",101,1.4185,3,0.16922,0.77156,1,1,0.088281
"Neuroactive ligand-receptor interaction",445,6.25,9,0.17351,0.76068,1,1,0
"Nucleotide excision repair",58,0.81461,2,0.19577,0.70826,1,1,0
"AGE-RAGE signaling pathway in diabetic complications",110,1.5449,3,0.20099,0.69682,1,1,0.0011307
"Hepatitis B",165,2.3174,4,0.20196,0.69473,1,1,0.00071863
"Adrenergic signaling in cardiomyocytes",166,2.3315,4,0.20487,0.68853,1,1,0
"Virion - Ebolavirus, Lyssavirus and Morbillivirus",17,0.23876,1,0.21389,0.66981,1,1,0
"Notch signaling pathway",64,0.89888,2,0.22669,0.64456,1,1,0.064706
"Basal cell carcinoma",64,0.89888,2,0.22669,0.64456,1,1,0.083333
"Cytoskeleton in muscle cells",232,3.2584,5,0.22722,0.64356,1,1,0
"Sulfur relay system",19,0.26685,1,0.23586,0.62735,1,1,0
"Vitamin digestion and absorption",68,0.95506,2,0.24751,0.60641,1,1,0
"Axon guidance",182,2.5562,4,0.25285,0.59714,1,1,0.00049217
"Cholinergic synapse",125,1.7556,3,0.2566,0.59074,1,1,0.0010929
"Arginine and proline metabolism",125,1.7556,3,0.2566,0.59074,1,1,0.0041058
"Regulation of lipolysis in adipocytes",71,0.99719,2,0.26317,0.57976,1,1,0
"Acute myeloid leukemia",71,0.99719,2,0.26317,0.57976,1,1,0.001773
"Insulin resistance",130,1.8258,3,0.27562,0.55969,1,1,0.00035403
"Human T-cell leukemia virus 1 infection",252,3.5393,5,0.28015,0.55261,1,1,0.0036374
"HIF-1 signaling pathway",132,1.8539,3,0.28327,0.5478,1,1,0.0014693
"p53 signaling pathway",75,1.0534,2,0.28405,0.5466,1,1,0.00011307
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",75,1.0534,2,0.28405,0.5466,1,1,0.033165
"Chemical carcinogenesis - receptor activation",257,3.6096,5,0.29378,0.53198,1,1,0
"Salmonella infection",257,3.6096,5,0.29378,0.53198,1,1,0.001808
"Relaxin signaling pathway",136,1.9101,3,0.29863,0.52487,1,1,0.0037453
"Apoptosis",139,1.9522,3,0.31018,0.50839,1,1,0.0040131
"Focal adhesion",204,2.8652,4,0.322,0.49214,1,1,0.10789
"Arrhythmogenic right ventricular cardiomyopathy",88,1.236,2,0.35129,0.45433,1,1,0
"Breast cancer",150,2.1067,3,0.35258,0.45274,1,1,0.0017857
"ECM-receptor interaction",90,1.264,2,0.36147,0.44192,1,1,0
"RNA polymerase",32,0.44944,1,0.36451,0.43829,1,1,0
"Apoptosis - multiple species",32,0.44944,1,0.36451,0.43829,1,1,0.0016807
"Riboflavin metabolism",32,0.44944,1,0.36451,0.43829,1,1,0.018519
"Th1 and Th2 cell differentiation",91,1.2781,2,0.36654,0.43588,1,1,0.0028169
"Fructose and mannose metabolism",91,1.2781,2,0.36654,0.43588,1,1,0.041441
"Ubiquitin mediated proteolysis",154,2.1629,3,0.36796,0.4342,1,1,0
"Fluid shear stress and atherosclerosis",156,2.191,3,0.37562,0.42525,1,1,0.0010531
"Renin secretion",93,1.3062,2,0.37663,0.42408,1,1,0.0055195
"NOD-like receptor signaling pathway",222,3.118,4,0.37963,0.42064,1,1,0
"Drug metabolism - other enzymes",158,2.2191,3,0.38327,0.41649,1,1,0.016138
"Thyroid hormone synthesis",95,1.3343,2,0.38666,0.41267,1,1,0.00055991
"Small cell lung cancer",97,1.3624,2,0.39662,0.40163,1,1,0
"Gap junction",97,1.3624,2,0.39662,0.40163,1,1,0.0037707
"Viral carcinogenesis",228,3.2022,4,0.3988,0.39925,1,1,0
"Nicotinate and nicotinamide metabolism",98,1.3764,2,0.40157,0.39624,1,1,0.059647
"PI3K-Akt signaling pathway",371,5.2107,6,0.42188,0.37481,1,1,0.010198
"Hepatitis C",169,2.3736,3,0.42491,0.3717,1,1,0
"Endocrine resistance",103,1.4466,2,0.42603,0.37056,1,1,0
"Hypertrophic cardiomyopathy",103,1.4466,2,0.42603,0.37056,1,1,0
"Tight junction",171,2.4017,3,0.43239,0.36413,1,1,0.0028192
"Dilated cardiomyopathy",106,1.4888,2,0.44046,0.35609,1,1,0
"Melanogenesis",106,1.4888,2,0.44046,0.35609,1,1,0.00026427
"Homologous recombination",42,0.58989,1,0.44863,0.34811,1,1,0
"Glycosphingolipid biosynthesis - globo and isoglobo series",42,0.58989,1,0.44863,0.34811,1,1,0.12429
"Choline metabolism in cancer",109,1.5309,2,0.45469,0.34229,1,1,0
"Human immunodeficiency virus 1 infection",246,3.4551,4,0.45558,0.34143,1,1,0.00095388
"Serotonergic synapse",178,2.5,3,0.45827,0.33888,1,1,0.001554
"NF-kappa B signaling pathway",110,1.5449,2,0.45939,0.33782,1,1,0.0009705
"Prostate cancer",111,1.559,2,0.46406,0.33342,1,1,0.0010929
"Glutathione metabolism",111,1.559,2,0.46406,0.33342,1,1,0.011582
"Phenylalanine, tyrosine and tryptophan biosynthesis",44,0.61798,1,0.46408,0.33341,1,1,0
"cAMP signaling pathway",249,3.4972,4,0.4649,0.33264,1,1,0.07774
"Vasopressin-regulated water reabsorption",46,0.64607,1,0.47909,0.31958,1,1,0
"Efferocytosis",184,2.5843,3,0.48005,0.31871,1,1,0.0011688
"Necroptosis",187,2.6264,3,0.4908,0.3091,1,1,0.012422
"TNF signaling pathway",118,1.6573,2,0.49611,0.30442,1,1,0.0021978
"Mucin type O-glycan biosynthesis",49,0.6882,1,0.50084,0.3003,1,1,0.1367
"Growth hormone synthesis, secretion and action",121,1.6994,2,0.50948,0.29288,1,1,0.011161
"Pyrimidine metabolism",122,1.7135,2,0.51388,0.28914,1,1,0.13411
"Various types of N-glycan biosynthesis",51,0.71629,1,0.51483,0.28833,1,1,0
"Leukocyte transendothelial migration",123,1.7275,2,0.51826,0.28546,1,1,0
"Fanconi anemia pathway",52,0.73034,1,0.52169,0.28259,1,1,0.01747
"Ribosome biogenesis in eukaryotes",125,1.7556,2,0.52693,0.27824,1,1,0
"Taste transduction",125,1.7556,2,0.52693,0.27824,1,1,0
"Phosphatidylinositol signaling system",125,1.7556,2,0.52693,0.27824,1,1,0.00017088
"Aldosterone synthesis and secretion",125,1.7556,2,0.52693,0.27824,1,1,0.0038444
"Virion - Hepatitis viruses",53,0.74438,1,0.52844,0.277,1,1,0
"Type II diabetes mellitus",54,0.75843,1,0.5351,0.27157,1,1,0
