"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Arginine and proline metabolism",36,0.32642,3,0.0035541,2.4493,0.28433,0.17905,0.21512
"Pyrimidine metabolism",39,0.35363,3,0.0044762,2.3491,0.35362,0.17905,0.13619
"Glycine, serine and threonine metabolism",34,0.30829,2,0.036303,1.4401,1,0.96807,0
"Tryptophan metabolism",41,0.37176,2,0.051178,1.2909,1,1,0.23722
"Arginine biosynthesis",14,0.12694,1,0.1202,0.92008,1,1,0.07979
"Selenocompound metabolism",20,0.18135,1,0.16749,0.77601,1,1,0
"Pantothenate and CoA biosynthesis",20,0.18135,1,0.16749,0.77601,1,1,0.0068
"beta-Alanine metabolism",21,0.19041,1,0.17514,0.75662,1,1,0
"Pyruvate metabolism",23,0.20855,1,0.19024,0.7207,1,1,0
"Glycolysis or Gluconeogenesis",26,0.23575,1,0.21241,0.67283,1,1,0
"One carbon pool by folate",26,0.23575,1,0.21241,0.67283,1,1,0
"Alanine, aspartate and glutamate metabolism",28,0.25389,1,0.22687,0.64422,1,1,0
"Glutathione metabolism",28,0.25389,1,0.22687,0.64422,1,1,0.00719
"Glycerophospholipid metabolism",36,0.32642,1,0.2823,0.54929,1,1,0.02569
"Arachidonic acid metabolism",43,0.3899,1,0.32775,0.48446,1,1,0
"Purine metabolism",71,0.64378,1,0.48414,0.31503,1,1,0.0189
