"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Arginine and proline metabolism",36,0.39637,4,0.00047808,3.3205,0.038246,0.038246,0.06628
"beta-Alanine metabolism",21,0.23122,2,0.021196,1.6737,1,0.84784,0.10448
"Lysine degradation",30,0.33031,2,0.041429,1.3827,1,1,0
"Tryptophan metabolism",41,0.45142,2,0.072766,1.1381,1,1,0.24798
"Thiamine metabolism",7,0.077073,1,0.074713,1.1266,1,1,0
"Taurine and hypotaurine metabolism",8,0.088083,1,0.084948,1.0708,1,1,0
"Primary bile acid biosynthesis",46,0.50648,2,0.088951,1.0508,1,1,0.02285
"Butanoate metabolism",15,0.16516,1,0.15366,0.81344,1,1,0
"Histidine metabolism",16,0.17617,1,0.16307,0.78763,1,1,0.12295
"Citrate cycle (TCA cycle)",20,0.22021,1,0.19973,0.69955,1,1,0.03273
"Pantothenate and CoA biosynthesis",20,0.22021,1,0.19973,0.69955,1,1,0.04082
"Propanoate metabolism",22,0.24223,1,0.21749,0.66255,1,1,0
"Galactose metabolism",27,0.29728,1,0.26028,0.58455,1,1,0.35614
"Alanine, aspartate and glutamate metabolism",28,0.30829,1,0.26857,0.57094,1,1,0
"Glutathione metabolism",28,0.30829,1,0.26857,0.57094,1,1,0.00719
"Pyrimidine metabolism",39,0.4294,1,0.35417,0.45079,1,1,0.01284
"Purine metabolism",71,0.78174,1,0.55271,0.2575,1,1,0.01916
"Steroid hormone biosynthesis",79,0.86982,1,0.59247,0.22733,1,1,0.00678
