Sample,sex,timepoint,Cage/Litter,Cohort,Diet,Treatment,legend
101w10,F,w10,105,1,Control,Vehicle,Control Vehicle
101w5,F,w5,105,1,Control,Vehicle,Control Vehicle
102w10,F,w10,105,1,Control,Vehicle,Control Vehicle
102w5,F,w5,105,1,Control,Vehicle,Control Vehicle
103w10,M,w10,105,1,Control,Vehicle,Control Vehicle
103w5,M,w5,105,1,Control,Vehicle,Control Vehicle
104w10,M,w10,105,1,Control,Vehicle,Control Vehicle
104w5,M,w5,105,1,Control,Vehicle,Control Vehicle
105w10,M,w10,105,1,Control,Vehicle,Control Vehicle
105w5,M,w5,105,1,Control,Vehicle,Control Vehicle
106w10,M,w10,105,1,Control,Vehicle,Control Vehicle
106w5,M,w5,105,1,Control,Vehicle,Control Vehicle
109w10,M,w10,110,1,HFHS,Vehicle,HFHS Vehicle
109w5,M,w5,110,1,HFHS,Vehicle,HFHS Vehicle
110w10,M,w10,110,1,HFHS,Vehicle,HFHS Vehicle
110w5,M,w5,110,1,HFHS,Vehicle,HFHS Vehicle
113w10,F,w10,104,1,Control,Vehicle,Control Vehicle
113w5,F,w5,104,1,Control,Vehicle,Control Vehicle
115w10,F,w10,104,1,Control,Vehicle,Control Vehicle
116w10,M,w10,104,1,Control,Vehicle,Control Vehicle
116w5,M,w5,104,1,Control,Vehicle,Control Vehicle
117w10,M,w10,104,1,Control,Vehicle,Control Vehicle
117w5,M,w5,104,1,Control,Vehicle,Control Vehicle
119w10,M,w10,107,1,HFHS,Vehicle,HFHS Vehicle
119w5,M,w5,107,1,HFHS,Vehicle,HFHS Vehicle
121w10,M,w10,107,1,HFHS,Vehicle,HFHS Vehicle
121w5,M,w5,107,1,HFHS,Vehicle,HFHS Vehicle
122w10,F,w10,106,1,HFHS,FOS+GOS,HFHS FOS+GOS
122w5,F,w5,106,1,HFHS,FOS+GOS,HFHS FOS+GOS
124w10,F,w10,106,1,HFHS,FOS+GOS,HFHS FOS+GOS
124w5,F,w5,106,1,HFHS,FOS+GOS,HFHS FOS+GOS
125w10,M,w10,106,1,HFHS,FOS+GOS,HFHS FOS+GOS
125w5,M,w5,106,1,HFHS,FOS+GOS,HFHS FOS+GOS
126w10,M,w10,106,1,HFHS,FOS+GOS,HFHS FOS+GOS
126w5,M,w5,106,1,HFHS,FOS+GOS,HFHS FOS+GOS
128w10,F,w10,115,1,HFHS,1472,HFHS B. longum APC1472
128w5,F,w5,115,1,HFHS,1472,HFHS B. longum APC1472
130w10,F,w10,115,1,HFHS,1472,HFHS B. longum APC1472
130w5,F,w5,115,1,HFHS,1472,HFHS B. longum APC1472
131w10,F,w10,115,1,HFHS,1472,HFHS B. longum APC1472
131w5,F,w5,115,1,HFHS,1472,HFHS B. longum APC1472
132w10,M,w10,115,1,HFHS,1472,HFHS B. longum APC1472
132w5,M,w5,115,1,HFHS,1472,HFHS B. longum APC1472
133w10,M,w10,115,1,HFHS,1472,HFHS B. longum APC1472
133w5,M,w5,115,1,HFHS,1472,HFHS B. longum APC1472
134w10,F,w10,111,1,HFHS,1472,HFHS B. longum APC1472
134w5,F,w5,111,1,HFHS,1472,HFHS B. longum APC1472
135w10,F,w10,111,1,HFHS,1472,HFHS B. longum APC1472
135w5,F,w5,111,1,HFHS,1472,HFHS B. longum APC1472
136w10,M,w10,111,1,HFHS,1472,HFHS B. longum APC1472
136w5,M,w5,111,1,HFHS,1472,HFHS B. longum APC1472
137w10,M,w10,111,1,HFHS,1472,HFHS B. longum APC1472
137w5,M,w5,111,1,HFHS,1472,HFHS B. longum APC1472
201w10,F,w10,117,2,Control,Vehicle,Control Vehicle
201w5,F,w5,117,2,Control,Vehicle,Control Vehicle
202w10,F,w10,117,2,Control,Vehicle,Control Vehicle
202w5,F,w5,117,2,Control,Vehicle,Control Vehicle
204w10,M,w10,117,2,Control,Vehicle,Control Vehicle
204w5,M,w5,117,2,Control,Vehicle,Control Vehicle
207w10,F,w10,122,2,Control,Vehicle,Control Vehicle
207w5,F,w5,122,2,Control,Vehicle,Control Vehicle
208w10,F,w10,122,2,Control,Vehicle,Control Vehicle
208w5,F,w5,122,2,Control,Vehicle,Control Vehicle
209w10,M,w10,117,2,Control,Vehicle,Control Vehicle
209w5,M,w5,117,2,Control,Vehicle,Control Vehicle
211w10,F,w10,123,2,HFHS,Vehicle,HFHS Vehicle
211w5,F,w5,123,2,HFHS,Vehicle,HFHS Vehicle
212w10,F,w10,123,2,HFHS,Vehicle,HFHS Vehicle
212w5,F,w5,123,2,HFHS,Vehicle,HFHS Vehicle
213w10,F,w10,123,2,HFHS,Vehicle,HFHS Vehicle
213w5,F,w5,123,2,HFHS,Vehicle,HFHS Vehicle
216w10,M,w10,123,2,HFHS,Vehicle,HFHS Vehicle
216w5,M,w5,123,2,HFHS,Vehicle,HFHS Vehicle
217w10,M,w10,123,2,HFHS,Vehicle,HFHS Vehicle
217w5,M,w5,123,2,HFHS,Vehicle,HFHS Vehicle
218w10,F,w10,123,2,HFHS,Vehicle,HFHS Vehicle
218w5,F,w5,123,2,HFHS,Vehicle,HFHS Vehicle
219w10,M,w10,121,2,HFHS,Vehicle,HFHS Vehicle
219w5,M,w5,121,2,HFHS,Vehicle,HFHS Vehicle
221w10,M,w10,121,2,HFHS,Vehicle,HFHS Vehicle
221w5,M,w5,121,2,HFHS,Vehicle,HFHS Vehicle
223w10,F,w10,124,2,HFHS,FOS+GOS,HFHS FOS+GOS
223w5,F,w5,124,2,HFHS,FOS+GOS,HFHS FOS+GOS
224w10,F,w10,124,2,HFHS,FOS+GOS,HFHS FOS+GOS
224w5,F,w5,124,2,HFHS,FOS+GOS,HFHS FOS+GOS
225w10,F,w10,124,2,HFHS,FOS+GOS,HFHS FOS+GOS
225w5,F,w5,124,2,HFHS,FOS+GOS,HFHS FOS+GOS
226w10,M,w10,124,2,HFHS,FOS+GOS,HFHS FOS+GOS
