ID,mouse_ID,cage/Litter,cohort,sex,diet,treatment,legend
X101_HYP,101,105,1,F,Control,Vehicle,Control Vehicle
X105_HYP,105,105,1,M,Control,Vehicle,Control Vehicle
X106_HYP,106,105,1,M,Control,Vehicle,Control Vehicle
X115_HYP,115,104,1,F,Control,Vehicle,Control Vehicle
X116_HYP,116,104,1,M,Control,Vehicle,Control Vehicle
X201_HYP,201,117,2,F,Control,Vehicle,Control Vehicle
X208_HYP,208,122,2,F,Control,Vehicle,Control Vehicle
X209_HYP,209,117,2,M,Control,Vehicle,Control Vehicle
X401_HYP,401,129,4,F,Control,Vehicle,Control Vehicle
X405_HYP,405,129,4,M,Control,Vehicle,Control Vehicle
X408_HYP,408,113,4,F,Control,Vehicle,Control Vehicle
X412_HYP,412,113,4,M,Control,Vehicle,Control Vehicle
X110_HYP,110,110,1,M,HFHS,Vehicle,HFHS Vehicle
X119_HYP,119,107,1,M,HFHS,Vehicle,HFHS Vehicle
X211_HYP,211,123,2,F,HFHS,Vehicle,HFHS Vehicle
X212_HYP,212,123,2,F,HFHS,Vehicle,HFHS Vehicle
X216_HYP,216,123,2,M,HFHS,Vehicle,HFHS Vehicle
X219_HYP,219,121,2,M,HFHS,Vehicle,HFHS Vehicle
X302_HYP,302,125.1,3,F,HFHS,Vehicle,HFHS Vehicle
X305_HYP,305,125.1,3,F,HFHS,Vehicle,HFHS Vehicle
X306_HYP,306,125.2,3,F,HFHS,Vehicle,HFHS Vehicle
X308_HYP,308,125,3,M,HFHS,Vehicle,HFHS Vehicle
X420_HYP,420,126,4,F,HFHS,Vehicle,HFHS Vehicle
X422_HYP,422,126,4,M,HFHS,Vehicle,HFHS Vehicle
X124_HYP,124,106,1,F,HFHS,FOS+GOS,HFHS FOS+GOS
X126_HYP,126,106,1,M,HFHS,FOS+GOS,HFHS FOS+GOS
X225_HYP,225,124,2,F,HFHS,FOS+GOS,HFHS FOS+GOS
X228_HYP,228,124,2,M,HFHS,FOS+GOS,HFHS FOS+GOS
X231_HYP,231,119,2,F,HFHS,FOS+GOS,HFHS FOS+GOS
X232_HYP,232,119,2,F,HFHS,FOS+GOS,HFHS FOS+GOS
X234_HYP,234,119,2,M,HFHS,FOS+GOS,HFHS FOS+GOS
X236_HYP,236,128,2,F,HFHS,FOS+GOS,HFHS FOS+GOS
X238_HYP,238,128,2,F,HFHS,FOS+GOS,HFHS FOS+GOS
X241_HYP,241,128,2,M,HFHS,FOS+GOS,HFHS FOS+GOS
X243_HYP,243,128,2,M,HFHS,FOS+GOS,HFHS FOS+GOS
X315_HYP,315,114,3,M,HFHS,FOS+GOS,HFHS FOS+GOS
X130_HYP,130,115,1,F,HFHS,1472,HFHS 1472
X131_HYP,131,115,1,F,HFHS,1472,HFHS 1472
X133_HYP,133,115,1,M,HFHS,1472,HFHS 1472
X136_HYP,136,111,1,M,HFHS,1472,HFHS 1472
X246_HYP,246,120,2,F,HFHS,1472,HFHS 1472
X248_HYP,248,127,2,F,HFHS,1472,HFHS 1472
X250_HYP,250,127,2,M,HFHS,1472,HFHS 1472
X251_HYP,251,127,2,M,HFHS,1472,HFHS 1472
X435_HYP,435,116,4,F,HFHS,1472,HFHS 1472
X438_HYP,438,116,4,M,HFHS,1472,HFHS 1472
X501_HYP,501,130,5,F,HFHS,1472,HFHS 1472
X507_HYP,507,130,5,M,HFHS,1472,HFHS 1472
