ID,sex,diet,treatment,legend,MSOmics ID
102,F,Control,Vehicle,Control Vehicle,SA100867
105,M,Control,Vehicle,Control Vehicle,SA100868
106,M,Control,Vehicle,Control Vehicle,SA100869
115,F,Control,Vehicle,Control Vehicle,SA100870
116,M,Control,Vehicle,Control Vehicle,SA100871
110,M,HFHS,Vehicle,HFHS Vehicle,SA100872
119,M,HFHS,Vehicle,HFHS Vehicle,SA100873
124,F,HFHS,FOS+GOS,HFHS FOS+GOS,SA100874
126,M,HFHS,FOS+GOS,HFHS FOS+GOS,SA100875
130,F,HFHS,1472,HFHS 1472,SA100876
131,F,HFHS,1472,HFHS 1472,SA100877
133,M,HFHS,1472,HFHS 1472,SA100878
136,M,HFHS,1472,HFHS 1472,SA100879
201,F,Control,Vehicle,Control Vehicle,SA100880
208,F,Control,Vehicle,Control Vehicle,SA100881
209,M,Control,Vehicle,Control Vehicle,SA100882
211,F,HFHS,Vehicle,HFHS Vehicle,SA100883
212,F,HFHS,Vehicle,HFHS Vehicle,SA100884
217,M,HFHS,Vehicle,HFHS Vehicle,SA100885
219,M,HFHS,Vehicle,HFHS Vehicle,SA100886
225,F,HFHS,FOS+GOS,HFHS FOS+GOS,SA100887
228,M,HFHS,FOS+GOS,HFHS FOS+GOS,SA100888
231,F,HFHS,FOS+GOS,HFHS FOS+GOS,SA100889
232,F,HFHS,FOS+GOS,HFHS FOS+GOS,SA100890
234,M,HFHS,FOS+GOS,HFHS FOS+GOS,SA100891
236,F,HFHS,FOS+GOS,HFHS FOS+GOS,SA100892
238,F,HFHS,FOS+GOS,HFHS FOS+GOS,SA100893
241,M,HFHS,FOS+GOS,HFHS FOS+GOS,SA100894
243,M,HFHS,FOS+GOS,HFHS FOS+GOS,SA100895
246,F,HFHS,1472,HFHS 1472,SA100896
248,F,HFHS,1472,HFHS 1472,SA100897
250,M,HFHS,1472,HFHS 1472,SA100898
251,M,HFHS,1472,HFHS 1472,SA100899
302,F,HFHS,Vehicle,HFHS Vehicle,SA100900
305,F,HFHS,Vehicle,HFHS Vehicle,SA100901
306,F,HFHS,Vehicle,HFHS Vehicle,SA100902
308,M,HFHS,Vehicle,HFHS Vehicle,SA100903
315,M,HFHS,FOS+GOS,HFHS FOS+GOS,SA100904
401,F,Control,Vehicle,Control Vehicle,SA100905
405,M,Control,Vehicle,Control Vehicle,SA100906
408,F,Control,Vehicle,Control Vehicle,SA100907
412,M,Control,Vehicle,Control Vehicle,SA100908
420,F,HFHS,Vehicle,HFHS Vehicle,SA100909
422,M,HFHS,Vehicle,HFHS Vehicle,SA100910
435,F,HFHS,1472,HFHS 1472,SA100911
438,M,HFHS,1472,HFHS 1472,SA100912
501,F,HFHS,1472,HFHS 1472,SA100913
507,M,HFHS,1472,HFHS 1472,SA100914
