"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Ubiquitin mediated proteolysis",154,36.305,67,3.1151e-08,7.5065,1.0809e-05,1.0809e-05,0
"mTOR signaling pathway",162,38.191,68,1.3423e-07,6.8721,4.6444e-05,2.3289e-05,0.44772
"Axon guidance",182,42.906,73,4.1035e-07,6.3868,0.00014157,4.7464e-05,0.010969
"Autophagy - animal",173,40.784,69,1.0823e-06,5.9657,0.00037229,7.8803e-05,0.2173
"Regulation of actin cytoskeleton",239,56.344,89,1.1355e-06,5.9448,0.00038947,7.8803e-05,0.56152
"Spinocerebellar ataxia",148,34.891,60,2.879e-06,5.5408,0.00098461,0.0001665,0.0099817
"Endocytosis",276,65.066,98,3.9077e-06,5.4081,0.0013325,0.00019371,0.00087146
"Rap1 signaling pathway",219,51.629,81,4.6281e-06,5.3346,0.0015736,0.00020074,0.05077
"Glutamatergic synapse",124,29.233,51,9.7049e-06,5.013,0.00329,0.00037418,0.15084
"Choline metabolism in cancer",109,25.696,46,1.1771e-05,4.9292,0.0039787,0.00040847,0.051524
"Protein processing in endoplasmic reticulum",181,42.67,68,1.4569e-05,4.8366,0.0049096,0.00045958,0.002336
"Peroxisome",87,20.51,38,2.6329e-05,4.5796,0.0088464,0.00076134,0.00024802
"FoxO signaling pathway",138,32.533,53,6.2961e-05,4.2009,0.021092,0.0016806,0.041457
"Focal adhesion",204,48.092,72,9.0745e-05,4.0422,0.030309,0.0022492,1.4674
"Cell cycle",157,37.012,58,0.00010442,3.9812,0.034773,0.0024156,0.10154
"Circadian entrainment",108,25.461,43,0.00011628,3.9345,0.038605,0.0025218,0.15744
"Nucleocytoplasmic transport",118,27.818,46,0.00012417,3.906,0.0411,0.0025345,0
"Cholinergic synapse",125,29.468,48,0.00013768,3.8611,0.045434,0.0026541,0.06735
"Ras signaling pathway",243,57.287,82,0.00017625,3.7539,0.057986,0.0032189,0.057685
"Oocyte meiosis",127,29.94,48,0.00021464,3.6683,0.0704,0.0036457,0.053922
"Alzheimer disease",408,96.185,127,0.00022064,3.6563,0.072148,0.0036457,0.0087657
"Pathways of neurodegeneration - multiple diseases",513,120.94,155,0.00023178,3.6349,0.07556,0.0036558,0.0044294
"Yersinia infection",141,33.24,52,0.00024451,3.6117,0.079466,0.0036657,0.053339
"Dopaminergic synapse",148,34.891,54,0.00025674,3.5905,0.083184,0.0036657,0.036776
"Renal cell carcinoma",73,17.21,31,0.0002641,3.5782,0.085304,0.0036657,0.013784
"Colorectal cancer",89,20.981,36,0.00028199,3.5498,0.0908,0.0037634,0.038319
"Amyotrophic lateral sclerosis",389,91.706,121,0.00031844,3.497,0.10222,0.0040926,0.0030571
"T cell receptor signaling pathway",126,29.704,47,0.00035324,3.4519,0.11304,0.0043776,0.11952
"Tight junction",171,40.313,60,0.00040353,3.3941,0.12873,0.0046931,0.022176
"EGFR tyrosine kinase inhibitor resistance",84,19.803,34,0.00040574,3.3918,0.12903,0.0046931,0.45237
"Thyroid hormone signaling pathway",131,30.883,48,0.00049367,3.3066,0.15649,0.0053848,0.044834
"ErbB signaling pathway",88,20.746,35,0.00049658,3.304,0.15692,0.0053848,0.22353
"Longevity regulating pathway - multiple species",63,14.852,27,0.00054142,3.2665,0.17055,0.0056931,0.14151
"Fc gamma R-mediated phagocytosis",102,24.046,39,0.00062064,3.2072,0.19488,0.0063342,0.27306
