"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Human papillomavirus infection",362,2.6739,8,0.0050248,2.2989,1,1,0.00027516
"Growth hormone synthesis, secretion and action",121,0.89378,4,0.012143,1.9157,1,1,0.019345
"Human cytomegalovirus infection",260,1.9205,6,0.012205,1.9135,1,1,0.00026509
"ECM-receptor interaction",90,0.66479,3,0.028727,1.5417,1,1,0
"Vascular smooth muscle contraction",160,1.1819,4,0.030374,1.5175,1,1,0.012877
"cAMP signaling pathway",249,1.8393,5,0.036581,1.4367,1,1,0.07749
"Cushing syndrome",175,1.2927,4,0.040198,1.3958,1,1,0.00095952
"Vasopressin-regulated water reabsorption",46,0.33978,2,0.045194,1.3449,1,1,0
"Neuroactive ligand-receptor interaction",445,3.287,7,0.045297,1.3439,1,1,0
"cGMP-PKG signaling pathway",182,1.3444,4,0.045337,1.3435,1,1,0
"Fanconi anemia pathway",52,0.3841,2,0.056299,1.2495,1,1,0
"TNF signaling pathway",118,0.87162,3,0.056488,1.248,1,1,0.00018315
"Motor proteins",198,1.4625,4,0.058406,1.2335,1,1,0
"C-type lectin receptor signaling pathway",124,0.91594,3,0.063642,1.1963,1,1,0.00025063
"Proteoglycans in cancer",211,1.5586,4,0.070363,1.1527,1,1,0.00080402
"Glucagon signaling pathway",130,0.96026,3,0.071197,1.1475,1,1,0.018954
"ATP-dependent chromatin remodeling",136,1.0046,3,0.079138,1.1016,1,1,0
"Estrogen signaling pathway",142,1.0489,3,0.087451,1.0582,1,1,0.000333
"Non-homologous end-joining",13,0.096026,1,0.091938,1.0365,1,1,0
"Spinocerebellar ataxia",148,1.0932,3,0.096119,1.0172,1,1,0
"AMPK signaling pathway",150,1.108,3,0.099084,1.004,1,1,0
"Human immunodeficiency virus 1 infection",246,1.8171,4,0.10823,0.96564,1,1,0.00044888
"Adrenergic signaling in cardiomyocytes",166,1.2262,3,0.12409,0.90627,1,1,0.0044428
"Cortisol synthesis and secretion",84,0.62047,2,0.12764,0.894,1,1,0.0014027
"Calcium signaling pathway",265,1.9574,4,0.13198,0.8795,1,1,0.007992
"Antigen processing and presentation",87,0.64263,2,0.13511,0.8693,1,1,0.019203
"Arrhythmogenic right ventricular cardiomyopathy",88,0.65002,2,0.13762,0.8613,1,1,0
"Gastric acid secretion",89,0.65741,2,0.14015,0.85342,1,1,0.0026395
"Cell adhesion molecules",179,1.3222,3,0.14593,0.83587,1,1,0
"Viral myocarditis",94,0.69434,2,0.1529,0.81558,1,1,0.00071124
"Phagosome",184,1.3591,3,0.15464,0.81066,1,1,0
"Thyroid hormone synthesis",95,0.70173,2,0.15548,0.80832,1,1,0.00027996
"Cellular senescence",187,1.3813,3,0.15995,0.796,1,1,0.00050458
"Glycerolipid metabolism",101,0.74605,2,0.17113,0.76668,1,1,0.011709
"Salivary secretion",104,0.76821,2,0.17905,0.74703,1,1,0.0013986
"Hippo signaling pathway - multiple species",27,0.19944,1,0.18164,0.74079,1,1,0
"Maturity onset diabetes of the young",27,0.19944,1,0.18164,0.74079,1,1,0
"Focal adhesion",204,1.5069,3,0.19104,0.71887,1,1,0
"Choline metabolism in cancer",109,0.80514,2,0.19237,0.71586,1,1,0
"Prostate cancer",111,0.81991,2,0.19774,0.70391,1,1,0.0032787
"Herpes simplex virus 1 infection",216,1.5955,3,0.21386,0.66987,1,1,0.00023132
"Glycosaminoglycan biosynthesis - chondroitin sulfate or dermatan sulfate",33,0.24376,1,0.21735,0.66284,1,1,0
"DNA replication",36,0.26592,1,0.23463,0.62962,1,1,0
"Primary immunodeficiency",36,0.26592,1,0.23463,0.62962,1,1,0
