"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Arrhythmogenic right ventricular cardiomyopathy",88,0.57678,5,0.00026553,3.5759,0.092138,0.092138,5.176e-05
"Viral myocarditis",94,0.6161,4,0.003289,2.4829,1,0.43846,0
"Hypertrophic cardiomyopathy",103,0.67509,4,0.0045644,2.3406,1,0.43846,0
"Dilated cardiomyopathy",106,0.69476,4,0.0050542,2.2963,1,0.43846,0
"Human cytomegalovirus infection",260,1.7041,6,0.0069195,2.1599,1,0.48021,0.001174
"Pentose phosphate pathway",71,0.46536,3,0.011176,1.9517,1,0.64637,0.033384
"Antigen processing and presentation",87,0.57022,3,0.019254,1.7155,1,0.95446,0.019915
"Cardiac muscle contraction",93,0.60955,3,0.022932,1.6396,1,0.99466,0
"Cell adhesion molecules",179,1.1732,4,0.029577,1.529,1,1,0
"Vasopressin-regulated water reabsorption",46,0.3015,2,0.03638,1.4391,1,1,0
"Base excision repair",47,0.30805,2,0.037839,1.4221,1,1,0
"TNF signaling pathway",118,0.77341,3,0.042073,1.376,1,1,0.00018315
"Fanconi anemia pathway",52,0.34082,2,0.045463,1.3423,1,1,0
"Herpes simplex virus 1 infection",216,1.4157,4,0.052849,1.277,1,1,0.00023132
"Allograft rejection",61,0.39981,2,0.060452,1.2186,1,1,0
"Inflammatory bowel disease",62,0.40637,2,0.06221,1.2061,1,1,0
"Graft-versus-host disease",62,0.40637,2,0.06221,1.2061,1,1,0
"Signaling pathways regulating pluripotency of stem cells",140,0.9176,3,0.063843,1.1949,1,1,0.001052
"Basal cell carcinoma",64,0.41948,2,0.065778,1.1819,1,1,0.033333
"Type I diabetes mellitus",70,0.4588,2,0.076877,1.1142,1,1,0
"Human immunodeficiency virus 1 infection",246,1.6124,4,0.077365,1.1115,1,1,0.00089777
"Non-homologous end-joining",13,0.085206,1,0.081984,1.0863,1,1,0
"Hippo signaling pathway",158,1.0356,3,0.084817,1.0715,1,1,0.0066977
"Human papillomavirus infection",362,2.3727,5,0.087933,1.0558,1,1,0.00039308
"Adrenergic signaling in cardiomyocytes",166,1.088,3,0.094978,1.0224,1,1,0
"Autoimmune thyroid disease",80,0.52434,2,0.096557,1.0152,1,1,0
"Cytosolic DNA-sensing pathway",84,0.55056,2,0.10479,0.97966,1,1,0.001747
"Cushing syndrome",175,1.147,3,0.10698,0.9707,1,1,0.0014093
"Prion disease",278,1.8221,4,0.10879,0.96339,1,1,0.0018307
"Peroxisome",87,0.57022,2,0.11109,0.95431,1,1,0
"Pertussis",87,0.57022,2,0.11109,0.95431,1,1,0
"Phagosome",184,1.206,3,0.11954,0.92247,1,1,0
"Cytokine-cytokine receptor interaction",294,1.927,4,0.12639,0.8983,1,1,0
"Valine, leucine and isoleucine degradation",99,0.64888,2,0.13721,0.8626,1,1,0.31822
"Tuberculosis",198,1.2978,3,0.14012,0.8535,1,1,0.00016101
"Fatty acid degradation",102,0.66854,2,0.14395,0.8418,1,1,1.0508
"Huntington disease",314,2.0581,4,0.14996,0.82403,1,1,0
"Melanogenesis",106,0.69476,2,0.15303,0.81523,1,1,0.0063425
"Maturity onset diabetes of the young",27,0.17697,1,0.16288,0.78813,1,1,0
"TGF-beta signaling pathway",111,0.72753,2,0.16453,0.78375,1,1,0.00042955
"Prostate cancer",111,0.72753,2,0.16453,0.78375,1,1,0.0032787
"Toxoplasmosis",112,0.73408,2,0.16685,0.77766,1,1,0.00076805
"Asthma",30,0.19663,1,0.17928,0.74646,1,1,0
"Kaposi sarcoma-associated herpesvirus infection",228,1.4944,3,0.18776,0.7264,1,1,0.00046264
"RNA polymerase",32,0.20974,1,0.19004,0.72116,1,1,0
"Epstein-Barr virus infection",231,1.514,3,0.19274,0.71502,1,1,0.00019157
"Glycosaminoglycan biosynthesis - chondroitin sulfate or dermatan sulfate",33,0.21629,1,0.19537,0.70915,1,1,0
"Aldosterone synthesis and secretion",125,0.81929,2,0.19749,0.70446,1,1,0.0038444
"Cholinergic synapse",125,0.81929,2,0.19749,0.70446,1,1,0.013934
"Glycosaminoglycan biosynthesis - heparan sulfate or heparin",35,0.2294,1,0.20592,0.68631,1,1,0
"Pancreatic secretion",130,0.85206,2,0.20946,0.6789,1,1,0
"Staphylococcus aureus infection",130,0.85206,2,0.20946,0.6789,1,1,0.00067476
"DNA replication",36,0.23596,1,0.21114,0.67543,1,1,0
"Primary immunodeficiency",36,0.23596,1,0.21114,0.67543,1,1,0
"Nitrogen metabolism",37,0.24251,1,0.21633,0.66489,1,1,0.00046253
"Thyroid cancer",37,0.24251,1,0.21633,0.66489,1,1,0.0033333
"Tryptophan metabolism",135,0.88483,2,0.22151,0.65461,1,1,0.0054603
"cAMP signaling pathway",249,1.632,3,0.22332,0.65107,1,1,0.069241
"Relaxin signaling pathway",136,0.89139,2,0.22393,0.6499,1,1,0.039767
"Human T-cell leukemia virus 1 infection",252,1.6517,3,0.22852,0.64108,1,1,0.00017889
"Diabetic cardiomyopathy",256,1.6779,3,0.23548,0.62805,1,1,4.7893e-05
"Salmonella infection",257,1.6845,3,0.23723,0.62484,1,1,0.00073964
"Thermogenesis",261,1.7107,3,0.24424,0.61219,1,1,0.0055098
"Dopaminergic synapse",148,0.97004,2,0.25307,0.59676,1,1,0.0089984
"Intestinal immune network for IgA production",45,0.29494,1,0.25666,0.59065,1,1,0
"Breast cancer",150,0.98315,2,0.25794,0.58848,1,1,0.0014706
"Thiamine metabolism",46,0.3015,1,0.26155,0.58244,1,1,0.0064011
"Systemic lupus erythematosus",153,1.0028,2,0.26526,0.57633,1,1,0
"Folate transport and metabolism",47,0.30805,1,0.26641,0.57444,1,1,0
"Ubiquitin mediated proteolysis",154,1.0094,2,0.2677,0.57236,1,1,0
"Gastric cancer",154,1.0094,2,0.2677,0.57236,1,1,0.0024748
"Glycosaminoglycan degradation",48,0.31461,1,0.27125,0.56664,1,1,0.001773
"Cocaine addiction",56,0.36704,1,0.30879,0.51034,1,1,0.0040123
"JAK-STAT signaling pathway",171,1.1208,2,0.30909,0.50992,1,1,0.0014401
"Nucleotide excision repair",58,0.38015,1,0.31787,0.49775,1,1,0
"Wnt signaling pathway",176,1.1536,2,0.3212,0.49323,1,1,0.061542
"Endometrial cancer",59,0.3867,1,0.32237,0.49164,1,1,0.0038647
"Influenza A",177,1.1601,2,0.32362,0.48997,1,1,0
"Cholesterol metabolism",60,0.39326,1,0.32684,0.48566,1,1,0
"cGMP-PKG signaling pathway",182,1.1929,2,0.33567,0.47409,1,1,0
"beta-Alanine metabolism",64,0.41948,1,0.34443,0.4629,1,1,0.0085022
"Primary bile acid biosynthesis",65,0.42603,1,0.34875,0.45748,1,1,5.7195e-05
"Hepatocellular carcinoma",189,1.2388,2,0.35244,0.45291,1,1,0.0015935
"alpha-Linolenic acid metabolism",69,0.45225,1,0.36578,0.43678,1,1,0.0033937
"Fatty acid elongation",69,0.45225,1,0.36578,0.43678,1,1,1.3916
"Regulation of lipolysis in adipocytes",71,0.46536,1,0.37412,0.42699,1,1,0
"Acute myeloid leukemia",71,0.46536,1,0.37412,0.42699,1,1,0
"Propanoate metabolism",73,0.47846,1,0.38236,0.41753,1,1,0.041779
"RIG-I-like receptor signaling pathway",74,0.48502,1,0.38644,0.41292,1,1,0
"Butanoate metabolism",74,0.48502,1,0.38644,0.41292,1,1,0.033898
"Leishmaniasis",76,0.49813,1,0.39452,0.40393,1,1,0
