"","legend","sex","name","n","G","U","grubbs","p_grubbs"
"1","HFHS Vehicle","F","double_Ghsr_Pomc_cells_among_Ghsr_posit_cells",14,3.35,0.0704,"highest value 50 is an outlier",1.98e-07
"2","HFHS Vehicle","F","triple_posit_cells_among_Ghsr_cells",14,3.18,0.16,"highest value 25 is an outlier",2.85e-05
"3","HFHS FOS+GOS","M","Pomc_puncta_triple_cells",12,2.93,0.146,"highest value 74.21 is an outlier",0.000106
"4","HFHS FOS+GOS","M","double_Lepr_Pomc_cells",12,2.78,0.231,"highest value 114 is an outlier",0.00108
"5","HFHS FOS+GOS","M","N_triple_cells",12,2.78,0.234,"highest value 102 is an outlier",0.00115
"6","HFHS FOS+GOS","M","triple_posit_cells_among_Ghsr_cells",12,2.73,0.26,"highest value 49.03846154 is an outlier",0.002
"7","HFHS Vehicle","M","Pomc_puncta_triple_cells",11,2.62,0.248,"highest value 95.4 is an outlier",0.00298
"8","Control Vehicle","F","double_Ghsr_Pomc_cells",13,2.75,0.319,"highest value 149 is an outlier",0.00337
"9","HFHS FOS+GOS","M","Ghsr_aver_puncta",12,2.63,0.315,"highest value 31.89 is an outlier",0.00537
"10","Control Vehicle","F","triple_posit_cells_among_Lepr_cells",13,2.69,0.348,"highest value 66.4516129 is an outlier",0.00545
"11","Control Vehicle","F","double_Ghsr_Pomc_cells_among_Ghsr_posit_cells",13,2.65,0.364,"highest value 52.0979021 is an outlier",0.00708
"12","HFHS Vehicle","F","double_Ghsr_Pomc_cells",14,2.65,0.419,"highest value 19 is an outlier",0.0108
"13","HFHS FOS+GOS","M","double_Ghsr_Pomc_cells",12,2.49,0.387,"highest value 140 is an outlier",0.0157
"14","HFHS FOS+GOS","F","double_Ghsr_Pomc_cells_among_Pomc_posit_cells",10,2.35,0.319,"highest value 64.44444444 is an outlier",0.0164
"15","HFHS 1472","M","Pomc_puncta_double_Ghsr_Pomc_cells",13,2.52,0.428,"highest value 109 is an outlier",0.018
"16","Control Vehicle","M","double_Lepr_Ghsr_cells_among_Lepr_posit_cells",11,2.39,0.373,"lowest value 46.42857143 is an outlier",0.0203
"17","Control Vehicle","M","Lepr_puncta_triple_cells",11,2.38,0.375,"highest value 40.79 is an outlier",0.0209
"18","HFHS 1472","M","triple_posit_cells_among_Pomc_cells",13,2.49,0.44,"highest value 70.45454545 is an outlier",0.0212
"19","Control Vehicle","F","N_triple_cells",13,2.49,0.442,"highest value 103 is an outlier",0.0217
"20","HFHS Vehicle","F","double_Lepr_Pomc_cells_among_Lepr_posit_cells",14,2.52,0.472,"highest value 43.47826087 is an outlier",0.0227
"21","Control Vehicle","F","Lepr_puncta_double_Lepr_Pomc_cells",13,2.47,0.448,"highest value 50.16 is an outlier",0.0236
"22","Control Vehicle","F","Ghsr_puncta_double_Ghsr_Pomc_cells",13,2.45,0.456,"highest value 70.78 is an outlier",0.0262
"23","HFHS FOS+GOS","M","Ghsr_puncta_double_Lepr_Ghsr_cells",12,2.4,0.428,"highest value 46.16 is an outlier",0.0265
"24","HFHS 1472","F","N_triple_cells",10,2.28,0.36,"highest value 66 is an outlier",0.0272
"25","HFHS 1472","M","double_Lepr_Pomc_cells",13,2.44,0.461,"highest value 107 is an outlier",0.0279
"26","Control Vehicle","F","Ghsr_puncta_double_Lepr_Ghsr_cells",13,2.42,0.47,"lowest value 20.75 is an outlier",0.0312
"27","HFHS FOS+GOS","M","double_Ghsr_Pomc_cells_among_Ghsr_posit_cells",12,2.36,0.446,"highest value 67.30769231 is an outlier",0.0331
"28","HFHS FOS+GOS","M","Posit_Pomc_cells",12,2.35,0.451,"highest value 295 is an outlier",0.0351
"29","HFHS 1472","M","N_triple_cells",13,2.39,0.486,"highest value 90 is an outlier",0.038
"30","HFHS 1472","F","ARC_cells",10,2.22,0.393,"highest value 662 is an outlier",0.0394
