"","legend","sex","name","n","G","U","grubbs","p_grubbs"
"1","Control Vehicle","F","numeric_ARC_Pnoc_puncta_double",13,2.73,0.328,"highest value 47.88 is an outlier",0.00395
"2","HFHS Vehicle","F","numeric_ARC_Pnoc_puncta_double",12,2.6,0.328,"highest value 45.81 is an outlier",0.00654
"3","Control Vehicle","M","numeric_ARC_Nod2_aver_puncta",11,2.52,0.304,"lowest value 4.45 is an outlier",0.00772
"4","HFHS 1472","M","numeric_ARC_Nod2_aver_puncta",15,2.65,0.462,"highest value 7.85 is an outlier",0.0139
"5","Control Vehicle","M","numeric_ARC_Pnoc_aver_puncta",11,2.42,0.356,"highest value 24.71 is an outlier",0.0163
"6","Control Vehicle","F","numeric_ARC_N_double_cells",13,2.4,0.48,"highest value 182 is an outlier",0.035
"7","HFHS FOS+GOS","F","numeric_ARC_Nod2_aver_puncta",12,2.28,0.484,"highest value 7.63 is an outlier",0.0511
"8","HFHS FOS+GOS","F","numeric_ARC_double_Nod2_Pnoc_cells_among_Nod2_posit_cells",12,2.22,0.511,"highest value 56.650246 is an outlier",0.068
"9","HFHS FOS+GOS","F","numeric_ARC_Pnoc_aver_puncta",12,2.21,0.514,"lowest value 13.9 is an outlier",0.0703
"10","Control Vehicle","F","numeric_ARC_Nod2_puncta_double",13,2.22,0.556,"highest value 9.95 is an outlier",0.0833
"11","HFHS FOS+GOS","F","numeric_ARC_Posit_Pnoc_cells",12,2.17,0.531,"highest value 235 is an outlier",0.084
"12","HFHS FOS+GOS","M","numeric_ARC_Pnoc_aver_puncta",15,2.26,0.608,"highest value 24.66 is an outlier",0.094
"13","HFHS Vehicle","F","numeric_ARC_Pnoc_aver_puncta",12,2.13,0.549,"highest value 31.28 is an outlier",0.101
"14","HFHS 1472","M","numeric_ARC_Nod2_puncta_double",15,2.23,0.62,"highest value 9.51 is an outlier",0.108
"15","HFHS 1472","F","numeric_ARC_Pnoc_aver_puncta",12,2.11,0.558,"highest value 25.78 is an outlier",0.109
"16","HFHS Vehicle","M","numeric_Area",11,2.05,0.54,"highest value 135419.4123 is an outlier",0.119
"17","HFHS FOS+GOS","M","numeric_ARC_Pnoc_puncta_double",15,2.2,0.63,"highest value 36.62 is an outlier",0.122
"18","Control Vehicle","F","numeric_ARC_cells",13,2.1,0.603,"highest value 744 is an outlier",0.137
"19","HFHS FOS+GOS","F","numeric_ARC_cells",12,2.01,0.6,"lowest value 421 is an outlier",0.164
"20","Control Vehicle","F","numeric_ARC_Nod2_aver_puncta",13,1.96,0.653,"highest value 7.16 is an outlier",0.222
"21","Control Vehicle","M","numeric_ARC_Pnoc_puncta_double",11,1.88,0.613,"highest value 30.34 is an outlier",0.226
"22","HFHS 1472","M","numeric_Area",15,2.01,0.69,"highest value 149201.8459 is an outlier",0.233
"23","HFHS 1472","F","numeric_ARC_cells",12,1.9,0.641,"lowest value 435 is an outlier",0.237
"24","HFHS 1472","F","numeric_ARC_Pnoc_puncta_double",12,1.9,0.641,"highest value 32.69 is an outlier",0.237
"25","HFHS FOS+GOS","M","numeric_ARC_cells",15,1.99,0.696,"highest value 691 is an outlier",0.25
"26","HFHS Vehicle","F","numeric_Area",12,1.88,0.649,"lowest value 103555.9422 is an outlier",0.254
"27","HFHS Vehicle","M","numeric_ARC_Pnoc_puncta_double",11,1.83,0.632,"lowest value 4 is an outlier",0.264
"28","HFHS 1472","M","numeric_ARC_double_Nod2_Pnoc_cells_among_Pnoc_posit_cells",15,1.97,0.702,"lowest value 9.917355 is an outlier",0.264
"29","HFHS Vehicle","M","numeric_ARC_N_double_cells",11,1.82,0.634,"highest value 94 is an outlier",0.268
"30","HFHS 1472","F","numeric_ARC_Nod2_aver_puncta",12,1.86,0.655,"lowest value 4.33 is an outlier",0.269
