,legend,sex,name,n,G,U,grubbs,p_grubbs
32,HFHS 1472,F,Area,16,2.61,0.516,lowest value 6679.3881 is an outlier,0.0222
47,HFHS Vehicle,F,Area,15,2.32,0.587,lowest value 8075.2801 is an outlier,0.0732
67,HFHS FOS+GOS,F,Area,14,2.03,0.657,lowest value 9522.8158 is an outlier,0.194
74,Control Vehicle,F,Area,13,1.97,0.651,lowest value 9587.2159 is an outlier,0.218
81,HFHS FOS+GOS,M,Area,15,1.99,0.696,highest value 23356.6545 is an outlier,0.247
93,HFHS Vehicle,M,Area,11,1.75,0.662,highest value 19431.5812 is an outlier,0.334
97,HFHS 1472,M,Area,13,1.79,0.711,highest value 21868.885 is an outlier,0.378
107,Control Vehicle,M,Area,12,1.66,0.726,lowest value 12016.5731 is an outlier,0.485
15,HFHS Vehicle,F,Tany_N_cells,15,3.06,0.285,highest value 118 is an outlier,0.000532
55,HFHS 1472,F,Tany_N_cells,16,2.26,0.637,highest value 88 is an outlier,0.108
79,Control Vehicle,F,Tany_N_cells,13,1.95,0.655,highest value 82 is an outlier,0.227
86,HFHS 1472,M,Tany_N_cells,13,1.89,0.678,highest value 77 is an outlier,0.28
88,HFHS FOS+GOS,F,Tany_N_cells,14,1.91,0.697,highest value 96 is an outlier,0.289
101,HFHS Vehicle,M,Tany_N_cells,11,1.66,0.697,highest value 77 is an outlier,0.435
109,Control Vehicle,M,Tany_N_cells,12,1.64,0.732,highest value 92 is an outlier,0.507
121,HFHS FOS+GOS,M,Tany_N_cells,15,1.66,0.79,highest value 84 is an outlier,0.641
18,Control Vehicle,M,Tany_N_double_cells,12,2.75,0.25,highest value 17 is an outlier,0.00161
29,HFHS 1472,M,Tany_N_double_cells,13,2.51,0.43,highest value 31 is an outlier,0.0186
49,Control Vehicle,F,Tany_N_double_cells,13,2.23,0.553,highest value 4 is an outlier,0.0807
57,HFHS FOS+GOS,M,Tany_N_double_cells,15,2.22,0.624,highest value 20 is an outlier,0.113
60,HFHS 1472,F,Tany_N_double_cells,16,2.17,0.665,highest value 7 is an outlier,0.151
83,HFHS FOS+GOS,F,Tany_N_double_cells,14,1.94,0.688,highest value 15 is an outlier,0.264
119,HFHS Vehicle,M,Tany_N_double_cells,11,1.56,0.733,highest value 5 is an outlier,0.568
129,HFHS Vehicle,F,Tany_N_double_cells,15,1.53,0.821,highest value 3 is an outlier,0.874
26,HFHS FOS+GOS,F,Tany_Nod2_aver_puncta,14,2.65,0.419,highest value 16.76 is an outlier,0.0107
28,HFHS 1472,M,Tany_Nod2_aver_puncta,13,2.57,0.405,highest value 11.95 is an outlier,0.0131
43,Control Vehicle,F,Tany_Nod2_aver_puncta,13,2.32,0.513,highest value 8.67 is an outlier,0.0521
66,Control Vehicle,M,Tany_Nod2_aver_puncta,12,1.97,0.614,highest value 7.28 is an outlier,0.186
78,HFHS Vehicle,F,Tany_Nod2_aver_puncta,15,2.02,0.687,highest value 7.97 is an outlier,0.226
114,HFHS 1472,F,Tany_Nod2_aver_puncta,16,1.76,0.779,lowest value 3.24 is an outlier,0.529
116,HFHS FOS+GOS,M,Tany_Nod2_aver_puncta,15,1.72,0.775,highest value 9.93 is an outlier,0.553
126,HFHS Vehicle,M,Tany_Nod2_aver_puncta,11,1.39,0.789,lowest value 2.94 is an outlier,0.851
30,HFHS Vehicle,F,Tany_Nod2_puncta_double,15,2.6,0.482,highest value 16.6 is an outlier,0.0187
59,HFHS FOS+GOS,F,Tany_Nod2_puncta_double,14,2.14,0.621,highest value 31.67 is an outlier,0.134
61,HFHS FOS+GOS,M,Tany_Nod2_puncta_double,15,2.13,0.653,highest value 20.69 is an outlier,0.156
64,Control Vehicle,F,Tany_Nod2_puncta_double,13,2.04,0.626,highest value 8.75 is an outlier,0.171
96,Control Vehicle,M,Tany_Nod2_puncta_double,12,1.76,0.692,highest value 14.58 is an outlier,0.366
113,HFHS 1472,M,Tany_Nod2_puncta_double,13,1.67,0.749,highest value 20.48 is an outlier,0.527
117,HFHS Vehicle,M,Tany_Nod2_puncta_double,11,1.57,0.729,highest value 13.45 is an outlier,0.554
125,HFHS 1472,F,Tany_Nod2_puncta_double,16,1.6,0.818,highest value 16.94 is an outlier,0.792
13,HFHS Vehicle,F,Tany_Pnoc_aver_puncta,15,3.49,0.0657,highest value 60.7248 is an outlier,3.47E-08
17,Control Vehicle,M,Tany_Pnoc_aver_puncta,12,2.77,0.241,highest value 26.94 is an outlier,0.00135
62,HFHS 1472,F,Tany_Pnoc_aver_puncta,16,2.16,0.669,highest value 17.6793 is an outlier,0.158
77,Control Vehicle,F,Tany_Pnoc_aver_puncta,13,1.96,0.654,highest value 12.69 is an outlier,0.224
87,HFHS 1472,M,Tany_Pnoc_aver_puncta,13,1.89,0.679,lowest value 0 is an outlier,0.283
106,HFHS FOS+GOS,M,Tany_Pnoc_aver_puncta,15,1.77,0.759,lowest value 0 is an outlier,0.474
110,HFHS Vehicle,M,Tany_Pnoc_aver_puncta,11,1.6,0.719,highest value 10.76 is an outlier,0.513
130,HFHS FOS+GOS,F,Tany_Pnoc_aver_puncta,14,1.49,0.816,lowest value 0 is an outlier,0.881
12,HFHS Vehicle,F,Tany_Pnoc_puncta_double,15,3.5,0.0649,highest value 60.7248 is an outlier,3.19E-08
16,Control Vehicle,M,Tany_Pnoc_puncta_double,12,2.81,0.219,highest value 26.94 is an outlier,0.000831
24,Control Vehicle,F,Tany_Pnoc_puncta_double,13,2.65,0.364,highest value 17.3 is an outlier,0.00706
85,HFHS 1472,F,Tany_Pnoc_puncta_double,16,1.99,0.719,highest value 18.07 is an outlier,0.277
89,HFHS Vehicle,M,Tany_Pnoc_puncta_double,11,1.8,0.645,highest value 11.36 is an outlier,0.292
91,HFHS 1472,M,Tany_Pnoc_puncta_double,13,1.85,0.69,lowest value 0 is an outlier,0.312
104,HFHS FOS+GOS,F,Tany_Pnoc_puncta_double,14,1.75,0.746,highest value 14.81 is an outlier,0.463
118,HFHS FOS+GOS,M,Tany_Pnoc_puncta_double,15,1.71,0.776,lowest value 0 is an outlier,0.56
58,HFHS 1472,M,Tany_Posit_Nod2_cells,13,2.12,0.593,highest value 51 is an outlier,0.123
92,HFHS Vehicle,M,Tany_Posit_Nod2_cells,11,1.77,0.657,highest value 35 is an outlier,0.321
94,HFHS Vehicle,F,Tany_Posit_Nod2_cells,15,1.89,0.726,highest value 45 is an outlier,0.34
108,Control Vehicle,F,Tany_Posit_Nod2_cells,13,1.7,0.74,lowest value 7 is an outlier,0.489
111,HFHS FOS+GOS,M,Tany_Posit_Nod2_cells,15,1.74,0.767,lowest value 11 is an outlier,0.513
115,HFHS 1472,F,Tany_Posit_Nod2_cells,16,1.75,0.783,lowest value 7 is an outlier,0.552
120,Control Vehicle,M,Tany_Posit_Nod2_cells,12,1.57,0.755,highest value 46 is an outlier,0.612
135,HFHS FOS+GOS,F,Tany_Posit_Nod2_cells,14,1.31,0.859,lowest value 8 is an outlier,1
31,Control Vehicle,M,Tany_Posit_Pnoc_cells,12,2.45,0.405,highest value 17 is an outlier,0.0199
40,HFHS 1472,M,Tany_Posit_Pnoc_cells,13,2.36,0.498,highest value 33 is an outlier,0.0438
51,HFHS Vehicle,F,Tany_Posit_Pnoc_cells,15,2.27,0.605,highest value 6 is an outlier,0.0906
98,Control Vehicle,F,Tany_Posit_Pnoc_cells,13,1.78,0.713,highest value 5 is an outlier,0.384
103,HFHS FOS+GOS,F,Tany_Posit_Pnoc_cells,14,1.77,0.74,highest value 16 is an outlier,0.436
105,HFHS FOS+GOS,M,Tany_Posit_Pnoc_cells,15,1.78,0.757,highest value 23 is an outlier,0.466
131,HFHS 1472,F,Tany_Posit_Pnoc_cells,16,1.52,0.835,highest value 7 is an outlier,0.944
134,HFHS Vehicle,M,Tany_Posit_Pnoc_cells,11,1.24,0.83,highest value 5 is an outlier,1
