Sex,Age,Legend,name,n,G,U,grubbs,p_grubbs
M,PND35,HFHS FOS+GOS,bw,13,2.81,0.287,lowest value 16.6 is an outlier,0.00184
M,PND56,HFHS FOS+GOS,bw,13,2.68,0.351,lowest value 18.7 is an outlier,0.00576
F,PND1,HFHS Vehicle,bw,12,2.61,0.327,highest value 1.7 is an outlier,0.00646
M,PND42,HFHS FOS+GOS,bw,13,2.62,0.378,lowest value 17.6 is an outlier,0.00883
M,PND49,HFHS FOS+GOS,bw,13,2.61,0.383,lowest value 18.4 is an outlier,0.00951
F,PND14,HFHS Vehicle,bw,12,2.51,0.377,lowest value 3.2 is an outlier,0.0136
M,PND77,HFHS FOS+GOS,bw,13,2.54,0.418,lowest value 23.4 is an outlier,0.0157
F,PND7,HFHS Vehicle,bw,12,2.45,0.406,lowest value 2.4 is an outlier,0.02
M,PND28,HFHS FOS+GOS,bw,13,2.41,0.475,lowest value 12.8 is an outlier,0.0329
M,PND84,HFHS FOS+GOS,bw,13,2.31,0.516,lowest value 24.7 is an outlier,0.054
F,PND56,Control Vehicle,bw,12,2.25,0.499,lowest value 13.7 is an outlier,0.0598
F,PND35,Control Vehicle,bw,12,2.25,0.499,lowest value 9.5 is an outlier,0.06
F,PND14,HFHS FOS+GOS,bw,12,2.25,0.5,highest value 8.6 is an outlier,0.0604
F,PND28,HFHS Vehicle,bw,12,2.18,0.528,lowest value 9.4 is an outlier,0.0815
F,PND28,HFHS FOS+GOS,bw,12,2.18,0.53,lowest value 12.2 is an outlier,0.0832
M,PND63,HFHS FOS+GOS,bw,13,2.21,0.561,lowest value 20 is an outlier,0.0883
F,PND42,HFHS 1472,bw,13,2.2,0.563,lowest value 10 is an outlier,0.0902
M,PND70,Control Vehicle,bw,12,2.15,0.54,lowest value 21 is an outlier,0.0921
M,PND84,Control Vehicle,bw,12,2.15,0.543,lowest value 23 is an outlier,0.0946
M,PND77,Control Vehicle,bw,12,2.13,0.549,lowest value 21.2 is an outlier,0.101
F,PND1,HFHS FOS+GOS,bw,12,2.12,0.554,highest value 1.7 is an outlier,0.105
F,PND42,HFHS FOS+GOS,bw,12,2.11,0.559,highest value 20 is an outlier,0.111
M,PND63,Control Vehicle,bw,12,2.11,0.559,lowest value 19.5 is an outlier,0.111
M,PND1,Control Vehicle,bw,12,2.08,0.573,highest value 1.6 is an outlier,0.127
F,PND1,Control Vehicle,bw,12,2.07,0.574,lowest value 1 is an outlier,0.128
F,PND63,HFHS FOS+GOS,bw,12,2.06,0.577,highest value 22.2 is an outlier,0.133
M,PND14,Control Vehicle,bw,12,2.05,0.584,highest value 8 is an outlier,0.141
M,PND21,Control Vehicle,bw,12,2.04,0.585,highest value 9 is an outlier,0.143
M,PND70,HFHS FOS+GOS,bw,13,2.08,0.611,lowest value 21.9 is an outlier,0.147
M,PND1,HFHS 1472,bw,12,2.03,0.593,lowest value 1.1 is an outlier,0.153
M,PND28,Control Vehicle,bw,12,2.01,0.598,highest value 14.7 is an outlier,0.161
M,PND56,HFHS 1472,bw,12,2.01,0.598,lowest value 18.8 is an outlier,0.161
M,PND56,Control Vehicle,bw,12,2.01,0.6,lowest value 18.1 is an outlier,0.164
M,PND63,HFHS 1472,bw,12,1.99,0.605,lowest value 20 is an outlier,0.172
F,PND7,Control Vehicle,bw,12,1.99,0.606,lowest value 2 is an outlier,0.173
M,PND28,HFHS 1472,bw,12,1.99,0.609,lowest value 10.5 is an outlier,0.178
M,PND35,HFHS Vehicle,bw,12,1.98,0.611,highest value 24.5 is an outlier,0.181
F,PND49,HFHS FOS+GOS,bw,12,1.97,0.615,highest value 19.5 is an outlier,0.189
F,PND63,Control Vehicle,bw,12,1.96,0.617,highest value 20.3 is an outlier,0.192
F,PND70,HFHS FOS+GOS,bw,12,1.96,0.618,highest value 22.5 is an outlier,0.193
