"Legend","name","n","G","U","grubbs","p_grubbs"
"HFHS 1472","gonWAT",7,2.25,0.0192,"highest value 1.1152 is an outlier",6.1e-05
"HFHS 1472","gonWAT_BW",7,2.22,0.0414,"highest value 0.035291139 is an outlier",0.00042
"HFHS 1472","glucose_liver",7,2.22,0.0459,"lowest value 6135 is an outlier",0.000545
"HFHS 1472","ALT_liver",7,2.19,0.0643,"lowest value 7136 is an outlier",0.00128
"HFHS 1472","MesWAT",7,2.18,0.0787,"highest value 0.6305 is an outlier",0.00213
"HFHS 1472","MesWAT_BW",7,2.15,0.103,"highest value 0.019952532 is an outlier",0.00422
"HFHS 1472","ALT_serum",7,2.12,0.122,"highest value 70.8 is an outlier",0.00649
"HFHS 1472","protein_liver",7,2.12,0.125,"lowest value 93 is an outlier",0.00686
"HFHS Vehicle","protein_serum",7,2.12,0.128,"lowest value 1.4 is an outlier",0.00737
"HFHS 1472","Colon",7,2.09,0.15,"lowest value 6.2 is an outlier",0.0109
"HFHS FOS+GOS","gonWAT",7,2.08,0.155,"highest value 0.6622 is an outlier",0.012
"HFHS 1472","glucose_serum",7,2.06,0.173,"lowest value 54.93 is an outlier",0.0158
"HFHS Vehicle","Caecum",7,1.99,0.229,"lowest value 0.133 is an outlier",0.0328
"Control Vehicle","AST_serum",7,1.99,0.23,"highest value 228 is an outlier",0.0329
"HFHS Vehicle","HDL_serum",7,1.98,0.235,"lowest value 1.18 is an outlier",0.0349
"Control Vehicle","glucose_serum",7,1.96,0.249,"lowest value 39.8 is an outlier",0.0407
"Control Vehicle","SmallIntestine_BW",7,1.96,0.254,"highest value 1.622807018 is an outlier",0.0427
"Control Vehicle","cholesterol_liver",7,1.96,0.254,"highest value 3802 is an outlier",0.0429
"Control Vehicle","MesWAT_BW",7,1.94,0.265,"highest value 0.011236948 is an outlier",0.0477
"Control Vehicle","protein_serum",7,1.94,0.265,"lowest value 2.37 is an outlier",0.0479
"Control Vehicle","triglycerides_serum",7,1.94,0.27,"highest value 57.12 is an outlier",0.0504
"HFHS FOS+GOS","ALT_serum",7,1.93,0.275,"lowest value 12.6 is an outlier",0.0527
"HFHS FOS+GOS","protein_liver",7,1.93,0.279,"lowest value 191 is an outlier",0.0548
"HFHS Vehicle","Colon",7,1.92,0.285,"lowest value 6.5 is an outlier",0.0581
"HFHS Vehicle","cholesterol_serum",7,1.91,0.288,"lowest value 70.96 is an outlier",0.0593
"HFHS Vehicle","cholesterol_liver",7,1.91,0.292,"highest value 3876 is an outlier",0.0616
"Control Vehicle","cholesterol_serum",7,1.91,0.294,"highest value 124.32 is an outlier",0.063
"Control Vehicle","Liver",7,1.9,0.3,"highest value 1.5084 is an outlier",0.0663
"HFHS 1472","Liver_BW",7,1.89,0.304,"lowest value 0.038449367 is an outlier",0.0685
"Control Vehicle","Colon",7,1.89,0.308,"lowest value 6.2 is an outlier",0.0707
"HFHS FOS+GOS","gonWAT_BW",7,1.88,0.314,"highest value 0.020312883 is an outlier",0.075
"HFHS FOS+GOS","triglycerides_liver",7,1.88,0.316,"highest value 30751 is an outlier",0.0762
"HFHS FOS+GOS","ALT_liver",7,1.87,0.318,"lowest value 19394 is an outlier",0.0775
"HFHS Vehicle","SmallIntestine",7,1.87,0.321,"lowest value 34 is an outlier",0.0795
"HFHS FOS+GOS","cholesterol_serum",7,1.87,0.322,"lowest value 72.92 is an outlier",0.08
"Control Vehicle","Caecum",7,1.87,0.322,"highest value 0.3463 is an outlier",0.0802
"HFHS Vehicle","triglycerides_liver",7,1.86,0.326,"highest value 40376 is an outlier",0.0824
"Control Vehicle","glucose_liver",7,1.86,0.329,"highest value 45849 is an outlier",0.0848
"Control Vehicle","BAT",7,1.85,0.335,"highest value 0.0633 is an outlier",0.0891
"Control Vehicle","BAT_BW",7,1.85,0.337,"highest value 0.002542169 is an outlier",0.0902
"HFHS FOS+GOS","glucose_liver",7,1.84,0.345,"highest value 46403 is an outlier",0.0959
"HFHS 1472","SmallIntestine_BW",7,1.81,0.36,"lowest value 1.170886076 is an outlier",0.108
"HFHS Vehicle","BW",7,1.81,0.363,"lowest value 23.4 is an outlier",0.11
"Control Vehicle","Liver_BW",7,1.81,0.365,"lowest value 0.041986667 is an outlier",0.111
"Control Vehicle","corticosterone",7,1.8,0.368,"highest value 195.9305 is an outlier",0.114
"Control Vehicle","protein_liver",7,1.79,0.376,"highest value 269 is an outlier",0.121
"HFHS 1472","Colon_BW",7,1.79,0.376,"highest value 0.341880342 is an outlier",0.121
"HFHS FOS+GOS","cholesterol_liver",7,1.79,0.377,"highest value 2661 is an outlier",0.122
"HFHS FOS+GOS","SmallIntestine",7,1.79,0.378,"highest value 52 is an outlier",0.123
"HFHS FOS+GOS","protein_serum",7,1.78,0.385,"lowest value 2 is an outlier",0.129
"HFHS 1472","Caecum_BW",7,1.78,0.387,"lowest value 0.005718354 is an outlier",0.131
"HFHS FOS+GOS","Liver",7,1.76,0.396,"highest value 1.966 is an outlier",0.14
"HFHS Vehicle","BAT_BW",7,1.75,0.404,"lowest value 0.001249097 is an outlier",0.147
"Control Vehicle","MesWAT",7,1.75,0.406,"highest value 0.2798 is an outlier",0.149
"HFHS Vehicle","SmallIntestine_BW",7,1.74,0.411,"highest value 1.666666667 is an outlier",0.154
"HFHS 1472","BW",7,1.74,0.414,"highest value 31.6 is an outlier",0.157
"HFHS Vehicle","triglycerides_serum",7,1.73,0.419,"lowest value 26.24 is an outlier",0.162
"HFHS Vehicle","Liver_BW",7,1.73,0.421,"highest value 0.055461538 is an outlier",0.164
"HFHS FOS+GOS","Caecum_BW",7,1.72,0.427,"lowest value 0.013389535 is an outlier",0.171
"HFHS Vehicle","Caecum_BW",7,1.7,0.438,"highest value 0.013547009 is an outlier",0.183
"HFHS FOS+GOS","LDL_serum",7,1.7,0.439,"highest value 0.38 is an outlier",0.184
"HFHS 1472","HDL_serum",7,1.7,0.441,"highest value 2.42 is an outlier",0.187
"HFHS Vehicle","LDL_serum",7,1.69,0.443,"highest value 0.51 is an outlier",0.189
"HFHS 1472","Liver",7,1.69,0.444,"highest value 1.4671 is an outlier",0.19
"HFHS 1472","Caecum",7,1.69,0.444,"highest value 0.2913 is an outlier",0.19
"Control Vehicle","LDL_serum",7,1.69,0.446,"highest value 0.52 is an outlier",0.192
"HFHS FOS+GOS","HDL_serum",7,1.69,0.447,"highest value 2.18 is an outlier",0.193
"HFHS 1472","LDL_serum",7,1.69,0.447,"lowest value 0.24 is an outlier",0.193
"HFHS FOS+GOS","SmallIntestine_BW",7,1.68,0.45,"highest value 1.863799283 is an outlier",0.198
"HFHS FOS+GOS","BW",7,1.66,0.465,"highest value 34.4 is an outlier",0.216
"Control Vehicle","LDL_HDL_ratio_serum",7,1.66,0.466,"highest value 0.263 is an outlier",0.217
"HFHS FOS+GOS","Colon_BW",7,1.66,0.467,"highest value 0.347826087 is an outlier",0.218
"HFHS FOS+GOS","LDL_HDL_ratio_serum",7,1.64,0.475,"highest value 0.224 is an outlier",0.229
"HFHS Vehicle","Colon_BW",7,1.64,0.478,"highest value 0.28957529 is an outlier",0.234
