"Legend","name","n","G","U","grubbs","p_grubbs"
"HFHS 1472","PND9",7,2.21,0.0498,"highest value 36 is an outlier",0.00067
"HFHS Vehicle","PND2_5",7,2.21,0.0503,"highest value 13 is an outlier",0.000687
"HFHS 1472","PND16",7,2.13,0.116,"highest value 19 is an outlier",0.00566
"HFHS FOS+GOS","PND3",7,2.12,0.123,"lowest value 3.5 is an outlier",0.00658
"HFHS 1472","PND14",7,2.1,0.141,"highest value 17 is an outlier",0.00934
"HFHS FOS+GOS","PND13_5",7,2.09,0.147,"highest value 13 is an outlier",0.0104
"HFHS Vehicle","PND20_5",7,2.09,0.15,"highest value 13.5 is an outlier",0.0109
"HFHS 1472","PND19",7,2.09,0.151,"highest value 21.5 is an outlier",0.0111
"Control Vehicle","PND11_5",7,2.09,0.151,"highest value 12.5 is an outlier",0.0112
"HFHS 1472","PND15_5",7,2.08,0.163,"highest value 12.5 is an outlier",0.0135
"HFHS 1472","PND20",7,2.07,0.165,"highest value 21 is an outlier",0.0139
"Control Vehicle","PND18",7,2.07,0.168,"lowest value 6 is an outlier",0.0146
"HFHS 1472","PND11_5",7,2.07,0.168,"highest value 12.5 is an outlier",0.0148
"HFHS FOS+GOS","PND5_5",7,2.05,0.179,"lowest value 3 is an outlier",0.0174
"Control Vehicle","PND9",7,2.04,0.188,"highest value 16.5 is an outlier",0.0197
"HFHS 1472","PND21",7,2.04,0.19,"highest value 23.5 is an outlier",0.0201
"Control Vehicle","PND17_5",7,2.04,0.193,"highest value 18 is an outlier",0.0211
"Control Vehicle","PND20",7,2.02,0.203,"lowest value 4 is an outlier",0.024
"HFHS 1472","PND7_5",7,2.02,0.208,"lowest value 1.5 is an outlier",0.0254
"HFHS FOS+GOS","PND4_5",7,2,0.219,"lowest value 4 is an outlier",0.029
"HFHS FOS+GOS","PND3_5",7,2,0.222,"highest value 6 is an outlier",0.0302
"HFHS 1472","PND4_5",7,2,0.224,"lowest value 4 is an outlier",0.031
"HFHS Vehicle","PND19",7,1.99,0.231,"highest value 20.5 is an outlier",0.0335
"HFHS FOS+GOS","PND14",7,1.98,0.24,"lowest value 2 is an outlier",0.0367
"HFHS 1472","PND13_5",7,1.97,0.242,"highest value 10.5 is an outlier",0.0379
"Control Vehicle","PND3_5",7,1.97,0.245,"highest value 9.5 is an outlier",0.039
"HFHS Vehicle","PND5",7,1.97,0.246,"highest value 16 is an outlier",0.0395
"HFHS Vehicle","PND10_5",7,1.97,0.248,"lowest value 3 is an outlier",0.0401
"Control Vehicle","PND15",7,1.96,0.254,"lowest value 4 is an outlier",0.043
"Control Vehicle","PND15_5",7,1.95,0.262,"highest value 15 is an outlier",0.0462
"HFHS 1472","PND12_5",7,1.93,0.273,"highest value 10 is an outlier",0.0518
"Control Vehicle","PND14_5",7,1.93,0.279,"highest value 15 is an outlier",0.0545
"Control Vehicle","PND4",7,1.92,0.28,"lowest value 1 is an outlier",0.0551
"HFHS Vehicle","PND15_5",7,1.92,0.285,"lowest value 4.5 is an outlier",0.0581
"HFHS FOS+GOS","PND7_5",7,1.89,0.306,"highest value 8 is an outlier",0.0695
"HFHS Vehicle","PND19_5",7,1.88,0.314,"highest value 13 is an outlier",0.0745
"HFHS 1472","PND22",7,1.88,0.316,"lowest value 3 is an outlier",0.0757
"Control Vehicle","PND2",7,1.88,0.316,"lowest value 1.5 is an outlier",0.0763
"HFHS Vehicle","PND20",7,1.87,0.318,"highest value 23 is an outlier",0.0775
"HFHS FOS+GOS","PND20",7,1.86,0.326,"lowest value 1 is an outlier",0.0829
"HFHS FOS+GOS","PND20_5",7,1.86,0.328,"highest value 12 is an outlier",0.0842
"HFHS Vehicle","PND14",7,1.85,0.332,"highest value 23 is an outlier",0.0869
"Control Vehicle","PND19_5",7,1.85,0.334,"lowest value 4 is an outlier",0.088
"HFHS FOS+GOS","PND21_5",7,1.85,0.335,"highest value 9 is an outlier",0.0884
"Control Vehicle","PND4_5",7,1.85,0.336,"highest value 12 is an outlier",0.0898
"HFHS FOS+GOS","PND8",7,1.84,0.341,"highest value 7 is an outlier",0.0934
"HFHS Vehicle","PND0_5",7,1.84,0.342,"lowest value 1 is an outlier",0.094
"HFHS FOS+GOS","PND5",7,1.83,0.352,"highest value 7 is an outlier",0.101
"Control Vehicle","PND11",7,1.82,0.358,"lowest value 1 is an outlier",0.106
"Control Vehicle","PND16_5",7,1.82,0.358,"highest value 14 is an outlier",0.106
"HFHS FOS+GOS","PND1_5",7,1.81,0.364,"lowest value 3 is an outlier",0.111
"Control Vehicle","PND21_5",7,1.8,0.368,"highest value 6.5 is an outlier",0.115
"Control Vehicle","PND22",7,1.8,0.368,"highest value 4.5 is an outlier",0.115
"HFHS 1472","PND12",7,1.79,0.376,"highest value 19.5 is an outlier",0.121
"Control Vehicle","PND2_5",7,1.79,0.38,"lowest value 2 is an outlier",0.124
"HFHS Vehicle","PND12_5",7,1.79,0.38,"lowest value 4 is an outlier",0.124
"HFHS 1472","PND7",7,1.79,0.38,"lowest value 5 is an outlier",0.124
"Control Vehicle","PND18_5",7,1.78,0.387,"highest value 16.5 is an outlier",0.13
"HFHS Vehicle","PND5_5",7,1.78,0.387,"lowest value 3.5 is an outlier",0.13
"HFHS 1472","PND5",7,1.77,0.388,"lowest value 4 is an outlier",0.132
"HFHS 1472","PND10",7,1.77,0.391,"highest value 13 is an outlier",0.134
"HFHS 1472","PND21_5",7,1.77,0.392,"highest value 6 is an outlier",0.136
"HFHS Vehicle","PND4_5",7,1.76,0.395,"lowest value 4.5 is an outlier",0.138
"HFHS FOS+GOS","PND10",7,1.76,0.395,"highest value 8 is an outlier",0.138
"Control Vehicle","PND21",7,1.76,0.399,"highest value 11.5 is an outlier",0.142
"Control Vehicle","PND13_5",7,1.75,0.405,"highest value 13.5 is an outlier",0.148
"HFHS 1472","PND18_5",7,1.75,0.406,"highest value 14 is an outlier",0.149
"HFHS Vehicle","PND18_5",7,1.74,0.412,"highest value 12.5 is an outlier",0.155
"HFHS Vehicle","PND17",7,1.74,0.413,"highest value 17.5 is an outlier",0.156
"HFHS 1472","PND5_5",7,1.74,0.413,"lowest value 2 is an outlier",0.156
"HFHS FOS+GOS","PND10_5",7,1.73,0.416,"highest value 8.5 is an outlier",0.159
"Control Vehicle","PND10",7,1.72,0.423,"highest value 10 is an outlier",0.166
"HFHS 1472","PND17",7,1.71,0.431,"highest value 18 is an outlier",0.175
"HFHS 1472","PND4",7,1.71,0.432,"highest value 12.5 is an outlier",0.177
"HFHS Vehicle","PND16",7,1.71,0.434,"lowest value 2.5 is an outlier",0.179
"HFHS FOS+GOS","PND15",7,1.7,0.437,"highest value 11 is an outlier",0.182
"HFHS FOS+GOS","PND17_5",7,1.7,0.438,"highest value 12 is an outlier",0.183
"HFHS 1472","PND22_5",7,1.7,0.438,"lowest value 1 is an outlier",0.183
"Control Vehicle","PND8_5",7,1.69,0.442,"highest value 11.5 is an outlier",0.188
"HFHS 1472","PND2",7,1.69,0.442,"lowest value 0 is an outlier",0.188
"HFHS FOS+GOS","PND19",7,1.68,0.449,"lowest value 1 is an outlier",0.196
"HFHS Vehicle","PND17_5",7,1.68,0.451,"lowest value 4 is an outlier",0.198
"HFHS 1472","PND14_5",7,1.68,0.451,"highest value 11 is an outlier",0.198
"HFHS 1472","PND1_5",7,1.68,0.451,"lowest value 2.5 is an outlier",0.199
"HFHS 1472","PND11",7,1.68,0.454,"highest value 16 is an outlier",0.202
"HFHS Vehicle","PND15",7,1.67,0.459,"highest value 18 is an outlier",0.208
"Control Vehicle","PND1_5",7,1.67,0.46,"lowest value 2.5 is an outlier",0.21
"HFHS 1472","PND3",7,1.67,0.46,"lowest value 4.5 is an outlier",0.21
"Control Vehicle","PND5_5",7,1.66,0.462,"highest value 12 is an outlier",0.212
"HFHS Vehicle","PND6",7,1.66,0.462,"highest value 11 is an outlier",0.212
"HFHS Vehicle","PND14_5",7,1.66,0.465,"highest value 10 is an outlier",0.216
"HFHS Vehicle","PND13_5",7,1.66,0.466,"highest value 10.5 is an outlier",0.217
"HFHS 1472","PND18",7,1.65,0.473,"highest value 17 is an outlier",0.226
"Control Vehicle","PND3",7,1.64,0.475,"highest value 7 is an outlier",0.229
"Control Vehicle","PND12",7,1.64,0.475,"highest value 8.5 is an outlier",0.229
"HFHS FOS+GOS","PND1",7,1.64,0.475,"lowest value 3.5 is an outlier",0.229
"HFHS 1472","PND3_5",7,1.64,0.475,"highest value 6 is an outlier",0.229
"HFHS 1472","PND2_5",7,1.64,0.475,"lowest value 2 is an outlier",0.23
"Control Vehicle","PND0_5",7,1.64,0.479,"highest value 10 is an outlier",0.235
"HFHS 1472","PND15",7,1.64,0.48,"highest value 17.5 is an outlier",0.236
"Control Vehicle","PND7_5",7,1.63,0.483,"highest value 14 is an outlier",0.24
"HFHS FOS+GOS","PND9_5",7,1.63,0.485,"highest value 8 is an outlier",0.242
"HFHS 1472","PND9_5",7,1.63,0.485,"lowest value 4 is an outlier",0.242
"Control Vehicle","PND19",7,1.61,0.495,"highest value 10.5 is an outlier",0.257
"HFHS FOS+GOS","PND6",7,1.61,0.495,"lowest value 4 is an outlier",0.257
"HFHS FOS+GOS","PND9",7,1.61,0.496,"lowest value 4.5 is an outlier",0.258
"HFHS 1472","PND10_5",7,1.61,0.497,"highest value 8 is an outlier",0.26
"Control Vehicle","PND10_5",7,1.61,0.498,"highest value 12 is an outlier",0.262
"HFHS Vehicle","PND3",7,1.59,0.51,"highest value 7 is an outlier",0.28
"HFHS Vehicle","PND18",7,1.58,0.512,"highest value 19 is an outlier",0.282
"Control Vehicle","PND12_5",7,1.58,0.514,"lowest value 1 is an outlier",0.286
"HFHS Vehicle","PND4",7,1.58,0.514,"highest value 9 is an outlier",0.286
"HFHS Vehicle","PND1_5",7,1.58,0.517,"lowest value 3.5 is an outlier",0.29
"HFHS 1472","PND0_5",7,1.58,0.517,"highest value 4.8 is an outlier",0.291
"Control Vehicle","PND13",7,1.57,0.52,"highest value 9 is an outlier",0.296
"HFHS FOS+GOS","PND18_5",7,1.56,0.528,"highest value 12 is an outlier",0.308
"HFHS Vehicle","PND7_5",7,1.56,0.528,"highest value 7 is an outlier",0.309
"Control Vehicle","PND14",7,1.55,0.533,"highest value 9 is an outlier",0.317
"HFHS 1472","PND6_5",7,1.54,0.538,"lowest value 4 is an outlier",0.326
"HFHS FOS+GOS","PND12_5",7,1.54,0.54,"highest value 9 is an outlier",0.328
"HFHS 1472","PND1",7,1.53,0.544,"lowest value 2 is an outlier",0.337
"HFHS FOS+GOS","PND18",7,1.53,0.546,"highest value 13 is an outlier",0.339
