"Legend","name","n","G","U","grubbs","p_grubbs"
"HFHS 1472","PND1",7,2.26,0.00848,"highest value 71.5325 is an outlier",7.9e-06
"HFHS 1472","PND4",7,2.25,0.0152,"highest value 64.61 is an outlier",3.41e-05
"HFHS 1472","PND5",7,2.24,0.0208,"highest value 164.7555 is an outlier",7.44e-05
"HFHS 1472","PND2",7,2.19,0.0632,"highest value 61.3795 is an outlier",0.00122
"HFHS 1472","PND3",7,2.14,0.106,"highest value 47.073 is an outlier",0.00452
"HFHS 1472","PND7",7,2.14,0.107,"highest value 99.2225 is an outlier",0.00464
"HFHS 1472","PND22",7,2.14,0.107,"highest value 102.453 is an outlier",0.00464
"HFHS Vehicle","PND2",7,2.12,0.123,"highest value 50.765 is an outlier",0.00661
"Control Vehicle","PND19",7,2.11,0.133,"highest value 45.738 is an outlier",0.0081
"HFHS Vehicle","PND16",7,2.07,0.17,"highest value 97.3765 is an outlier",0.0151
"HFHS FOS+GOS","PND17",7,2.04,0.19,"highest value 77.9935 is an outlier",0.0201
"HFHS FOS+GOS","PND19",7,2.03,0.201,"lowest value 23.998 is an outlier",0.0233
"HFHS FOS+GOS","PND9",7,2.01,0.212,"lowest value 5.9995 is an outlier",0.0266
"HFHS Vehicle","PND6",7,1.95,0.264,"highest value 53.0725 is an outlier",0.0473
"Control Vehicle","PND17",7,1.94,0.266,"highest value 46.827 is an outlier",0.0481
"Control Vehicle","PND7",7,1.91,0.292,"lowest value 18.513 is an outlier",0.0618
"HFHS FOS+GOS","PND12",7,1.89,0.303,"highest value 60.918 is an outlier",0.068
"Control Vehicle","PND16",7,1.89,0.308,"lowest value 15.609 is an outlier",0.0712
"HFHS Vehicle","PND13",7,1.88,0.315,"lowest value 23.998 is an outlier",0.0751
"HFHS Vehicle","PND8",7,1.85,0.335,"lowest value 23.075 is an outlier",0.089
"HFHS Vehicle","PND18",7,1.85,0.337,"lowest value 17.0755 is an outlier",0.09
"HFHS FOS+GOS","PND5",7,1.85,0.337,"highest value 54.9185 is an outlier",0.0901
"Control Vehicle","PND20",7,1.84,0.339,"highest value 46.101 is an outlier",0.0913
"Control Vehicle","PND15",7,1.84,0.343,"highest value 47.553 is an outlier",0.0945
"Control Vehicle","PND4",7,1.83,0.347,"highest value 34.848 is an outlier",0.0972
"HFHS Vehicle","PND11",7,1.8,0.372,"lowest value 17.537 is an outlier",0.117
"HFHS FOS+GOS","PND4",7,1.77,0.391,"highest value 49.3805 is an outlier",0.135
"Control Vehicle","PND5",7,1.76,0.395,"highest value 37.752 is an outlier",0.138
"HFHS FOS+GOS","PND21",7,1.75,0.407,"lowest value 8.307 is an outlier",0.149
"HFHS Vehicle","PND14",7,1.74,0.409,"lowest value 22.6135 is an outlier",0.152
"HFHS Vehicle","PND10",7,1.74,0.41,"lowest value 20.306 is an outlier",0.153
"HFHS FOS+GOS","PND16",7,1.74,0.41,"highest value 59.995 is an outlier",0.153
"Control Vehicle","PND9",7,1.73,0.417,"highest value 41.745 is an outlier",0.16
