"Sex","Legend","name","n","G","U","grubbs","p_grubbs"
"F","Control Vehicle","IpGTT_basal_0min",12,NA,NA,"highest value 0 is an outlier",0
"F","HFHS Vehicle","IpGTT_basal_0min",12,NA,NA,"highest value 0 is an outlier",0
"F","HFHS FOS+GOS","IpGTT_basal_0min",12,NA,NA,"highest value 0 is an outlier",0
"F","HFHS 1472","IpGTT_basal_0min",13,NA,NA,"highest value 0 is an outlier",0
"M","Control Vehicle","IpGTT_basal_0min",12,NA,NA,"highest value 0 is an outlier",0
"M","HFHS Vehicle","IpGTT_basal_0min",12,NA,NA,"highest value 0 is an outlier",0
"M","HFHS FOS+GOS","IpGTT_basal_0min",13,NA,NA,"highest value 0 is an outlier",0
"M","HFHS 1472","IpGTT_basal_0min",12,NA,NA,"highest value 0 is an outlier",0
"M","HFHS Vehicle","IpGTT_90min",12,2.98,0.122,"highest value 13.8 is an outlier",4.19e-05
"M","HFHS Vehicle","IpGTT_60min",12,2.91,0.162,"highest value 16.9 is an outlier",0.000179
"M","HFHS Vehicle","AUC_crude",12,2.81,0.219,"highest value 1827 is an outlier",0.000815
"M","Control Vehicle","IpGTT_basal_120min",12,2.76,0.244,"lowest value -2.1 is an outlier",0.00143
"M","HFHS 1472","Basal_Glucose",12,2.7,0.277,"lowest value 5.2 is an outlier",0.00273
"M","HFHS 1472","IpGTT_0min",12,2.7,0.277,"lowest value 5.2 is an outlier",0.00273
"F","HFHS 1472","IpGTT_15min",13,2.72,0.333,"lowest value 8.4 is an outlier",0.00424
"M","HFHS Vehicle","IpGTT_basal_60min",12,2.61,0.323,"highest value 6.8 is an outlier",0.00611
"M","HFHS Vehicle","IpGTT_120min",12,2.58,0.339,"highest value 10.6 is an outlier",0.00788
"F","HFHS FOS+GOS","Basal_Glucose",12,2.57,0.343,"lowest value 5.5 is an outlier",0.00837
"F","HFHS FOS+GOS","IpGTT_0min",12,2.57,0.343,"lowest value 5.5 is an outlier",0.00837
"F","HFHS FOS+GOS","IpGTT_basal_60min",12,2.56,0.349,"lowest value -3 is an outlier",0.00916
"M","HFHS Vehicle","IpGTT_basal_90min",12,2.54,0.36,"highest value 3.7 is an outlier",0.0107
"F","HFHS 1472","IpGTT_basal_15min",13,2.58,0.397,"lowest value 1.3 is an outlier",0.0117
"M","HFHS Vehicle","AUC_vs_basal",12,2.48,0.389,"highest value 12615 is an outlier",0.0161
"F","HFHS 1472","IpGTT_basal_30min",13,2.5,0.435,"highest value 10.9 is an outlier",0.0198
"F","HFHS FOS+GOS","IpGTT_basal_90min",12,2.39,0.434,"lowest value -3.2 is an outlier",0.0284
"M","HFHS 1472","IpGTT_30min",12,2.38,0.439,"highest value 15.4 is an outlier",0.0303
"M","HFHS Vehicle","IpGTT_basal_120min",12,2.38,0.44,"highest value 0.5 is an outlier",0.0305
"F","HFHS FOS+GOS","AUC_vs_basal",12,2.38,0.44,"lowest value 11746 is an outlier",0.0308
"M","Control Vehicle","IpGTT_basal_90min",12,2.37,0.443,"lowest value -1 is an outlier",0.0317
"F","HFHS Vehicle","IpGTT_basal_120min",12,2.35,0.451,"lowest value -3.5 is an outlier",0.0351
"F","Control Vehicle","IpGTT_basal_60min",12,2.35,0.454,"highest value 4.6 is an outlier",0.0361
"F","HFHS Vehicle","AUC_crude",12,2.34,0.459,"lowest value 801.8 is an outlier",0.0385
"F","Control Vehicle","IpGTT_basal_120min",12,2.33,0.459,"lowest value -2.2 is an outlier",0.0386
"M","Control Vehicle","IpGTT_30min",12,2.31,0.473,"lowest value 9.7 is an outlier",0.045
"F","HFHS Vehicle","IpGTT_30min",12,2.3,0.475,"lowest value 6.4 is an outlier",0.0462
"F","HFHS 1472","IpGTT_30min",13,2.33,0.512,"highest value 17.9 is an outlier",0.0512
"F","HFHS Vehicle","Basal_Glucose",12,2.28,0.485,"highest value 9.5 is an outlier",0.0513
"F","HFHS Vehicle","IpGTT_0min",12,2.28,0.485,"highest value 9.5 is an outlier",0.0513
"M","HFHS Vehicle","IpGTT_30min",12,2.26,0.495,"highest value 17.7 is an outlier",0.0574
"F","HFHS FOS+GOS","AUC.",12,2.25,0.5,"lowest value 9175 is an outlier",0.0606
"F","Control Vehicle","IpGTT_120min",12,2.24,0.501,"lowest value 5.6 is an outlier",0.0616
"F","HFHS FOS+GOS","IpGTT_basal_30min",12,2.23,0.509,"lowest value -1.5 is an outlier",0.0665
"M","HFHS 1472","AUC.",12,2.22,0.512,"highest value 20697 is an outlier",0.0693
"M","HFHS FOS+GOS","IpGTT_90min",13,2.26,0.54,"highest value 10.9 is an outlier",0.0705
"M","HFHS FOS+GOS","IpGTT_basal_30min",13,2.25,0.542,"highest value 8.9 is an outlier",0.0722
"M","Control Vehicle","AUC.",12,2.2,0.518,"highest value 17563 is an outlier",0.0735
"F","HFHS 1472","AUC_crude",13,2.24,0.549,"lowest value 930 is an outlier",0.0776
"M","HFHS FOS+GOS","Basal_Glucose",13,2.21,0.558,"lowest value 5.9 is an outlier",0.0856
"M","HFHS FOS+GOS","IpGTT_0min",13,2.21,0.558,"lowest value 5.9 is an outlier",0.0856
"F","HFHS Vehicle","IpGTT_basal_30min",12,2.17,0.533,"lowest value -0.3 is an outlier",0.0857
"F","HFHS FOS+GOS","IpGTT_120min",12,2.11,0.557,"lowest value 4.8 is an outlier",0.109
"M","HFHS Vehicle","IpGTT_basal_30min",12,2.1,0.561,"highest value 7.6 is an outlier",0.113
"F","HFHS FOS+GOS","IpGTT_60min",12,2.09,0.566,"lowest value 6 is an outlier",0.119
"F","Control Vehicle","IpGTT_basal_90min",12,2.08,0.57,"lowest value -2.1 is an outlier",0.123
"M","HFHS Vehicle","AUC.",12,2.08,0.571,"highest value 18089 is an outlier",0.125
"F","Control Vehicle","IpGTT_60min",12,2.07,0.573,"highest value 11.3 is an outlier",0.128
"M","Control Vehicle","IpGTT_60min",12,2.07,0.574,"highest value 12.6 is an outlier",0.129
"F","HFHS 1472","AUC_vs_basal",13,2.1,0.603,"lowest value 12078 is an outlier",0.137
"F","Control Vehicle","IpGTT_90min",12,2.03,0.593,"highest value 9.8 is an outlier",0.154
"M","HFHS 1472","IpGTT_60min",12,2.02,0.595,"highest value 13.5 is an outlier",0.156
"F","HFHS FOS+GOS","IpGTT_15min",12,2.01,0.601,"highest value 20.7 is an outlier",0.166
"M","HFHS 1472","AUC_crude",12,2,0.603,"highest value 1558 is an outlier",0.169
"M","Control Vehicle","IpGTT_basal_30min",12,2,0.604,"lowest value 2.3 is an outlier",0.17
"M","HFHS FOS+GOS","IpGTT_basal_90min",13,2.03,0.628,"highest value 2.5 is an outlier",0.174
"M","HFHS 1472","IpGTT_basal_30min",12,1.99,0.607,"lowest value 0.4 is an outlier",0.174
"F","Control Vehicle","AUC.",12,1.97,0.615,"highest value 19489 is an outlier",0.189
"F","HFHS Vehicle","IpGTT_120min",12,1.97,0.617,"lowest value 4.4 is an outlier",0.192
"F","HFHS FOS+GOS","IpGTT_30min",12,1.96,0.621,"lowest value 7.5 is an outlier",0.198
"F","HFHS Vehicle","IpGTT_15min",12,1.95,0.622,"lowest value 7.7 is an outlier",0.2
"F","HFHS FOS+GOS","IpGTT_basal_15min",12,1.91,0.636,"highest value 12.9 is an outlier",0.228
"M","HFHS 1472","IpGTT_basal_15min",12,1.91,0.637,"lowest value 3.1 is an outlier",0.229
"F","HFHS Vehicle","AUC_vs_basal",12,1.9,0.641,"lowest value 11998 is an outlier",0.236
"F","Control Vehicle","IpGTT_basal_30min",12,1.9,0.642,"lowest value 0.9 is an outlier",0.239
"M","HFHS Vehicle","Basal_Glucose",12,1.89,0.644,"lowest value 7.1 is an outlier",0.244
"M","HFHS Vehicle","IpGTT_0min",12,1.89,0.644,"lowest value 7.1 is an outlier",0.244
