sex,legend,name,n,G,U,grubbs,p_grubbs
F,Control Vehicle,L_DOPA,6,2.04,6.95E-05,highest value 109.58 is an outlier,5.43E-09
F,Control Vehicle,L_DOPA_DOPAMINE,6,2.04,0.000146,highest value 0.01 is an outlier,2.39E-08
M,Control Vehicle,5HT,6,2,0.0353,lowest value 512.3 is an outlier,0.00142
F,Control Vehicle,dopamine,6,1.93,0.105,lowest value 6556.14 is an outlier,0.0128
M,HFHS FOS+GOS,L_DOPA,7,2.08,0.162,highest value 282.43 is an outlier,0.0134
F,HFHS Vehicle,DOPAC,6,1.92,0.117,lowest value 2052.28 is an outlier,0.0159
M,HFHS FOS+GOS,L_DOPA_DOPAMINE,7,2.06,0.176,highest value 0.03 is an outlier,0.0164
F,HFHS 1472,5HIAA_5HT,7,2.06,0.176,lowest value 0.6504 is an outlier,0.0166
F,HFHS Vehicle,DOPAC_HVA,6,1.91,0.12,highest value 2.22 is an outlier,0.0169
M,HFHS FOS+GOS,DOPAC_HVA,7,2.05,0.18,highest value 1.7763 is an outlier,0.0175
M,Control Vehicle,5HIAA_5HT,6,1.89,0.142,highest value 1.0039 is an outlier,0.0239
F,HFHS Vehicle,5HIAA_5HT,6,1.89,0.145,highest value 0.8811 is an outlier,0.0249
F,HFHS Vehicle,noradrenaline,6,1.85,0.178,highest value 388.05 is an outlier,0.0379
M,Control Vehicle,DOPAC_HVA,6,1.84,0.184,highest value 1.913 is an outlier,0.0406
F,HFHS Vehicle,5-HIAA,6,1.83,0.195,highest value 627.29 is an outlier,0.046
M,Control Vehicle,HVA,6,1.83,0.196,highest value 2066.7 is an outlier,0.0466
F,HFHS Vehicle,5HT,6,1.82,0.201,highest value 785.92 is an outlier,0.049
M,HFHS FOS+GOS,noradrenaline,7,1.92,0.283,highest value 406.91 is an outlier,0.0568
M,HFHS Vehicle,5-HIAA,6,1.8,0.223,highest value 528.61 is an outlier,0.0607
F,HFHS 1472,L_DOPA,7,1.91,0.291,highest value 142.28 is an outlier,0.0609
F,HFHS FOS+GOS,L_DOPA_DOPAMINE,6,1.8,0.224,lowest value 2e-04 is an outlier,0.0611
F,Control Vehicle,5-HIAA,6,1.8,0.225,highest value 572.58 is an outlier,0.062
F,HFHS FOS+GOS,DOPAC_HVA,6,1.79,0.233,highest value 2.4019 is an outlier,0.0665
M,HFHS Vehicle,L_DOPA_DOPAMINE,6,1.78,0.239,lowest value 0 is an outlier,0.0701
M,Control Vehicle,noradrenaline,6,1.76,0.261,lowest value 257.58 is an outlier,0.0843
F,HFHS Vehicle,L_DOPA_DOPAMINE,6,1.75,0.262,lowest value 1e-04 is an outlier,0.085
F,HFHS 1472,DOPAC,7,1.85,0.333,highest value 4411.67 is an outlier,0.0874
F,HFHS 1472,L_DOPA_DOPAMINE,7,1.82,0.355,highest value 0.0121 is an outlier,0.103
M,HFHS FOS+GOS,dopamine,7,1.79,0.377,lowest value 7273.94 is an outlier,0.122
F,HFHS FOS+GOS,noradrenaline,6,1.69,0.313,highest value 348.77 is an outlier,0.124
M,HFHS 1472,noradrenaline,6,1.69,0.316,lowest value 295.87 is an outlier,0.127
F,HFHS FOS+GOS,L_DOPA,6,1.68,0.323,lowest value 1.72 is an outlier,0.133
F,Control Vehicle,DOPAC_HVA,6,1.67,0.331,highest value 2.2877 is an outlier,0.14
M,HFHS Vehicle,DOPAC_HVA,6,1.67,0.335,highest value 1.868 is an outlier,0.143
F,Control Vehicle,noradrenaline,6,1.66,0.341,highest value 376.33 is an outlier,0.149
F,Control Vehicle,5HT,6,1.66,0.341,lowest value 560.18 is an outlier,0.149
M,HFHS FOS+GOS,DOPAC_DOPAMINE,7,1.74,0.413,highest value 0.3229 is an outlier,0.156
M,HFHS FOS+GOS,5HIAA_5HT,7,1.74,0.413,highest value 0.7681 is an outlier,0.156
F,HFHS Vehicle,L_DOPA,6,1.63,0.365,lowest value 0.72 is an outlier,0.174
M,Control Vehicle,5-HIAA,6,1.62,0.369,highest value 714.08 is an outlier,0.177
F,Control Vehicle,DOPAC_DOPAMINE,6,1.62,0.371,highest value 0.367 is an outlier,0.18
M,HFHS 1472,DOPAC_HVA,6,1.62,0.373,lowest value 0.899 is an outlier,0.182
F,HFHS 1472,dopamine,7,1.7,0.44,highest value 11766.25 is an outlier,0.185
M,HFHS Vehicle,DOPAC_DOPAMINE,6,1.6,0.384,highest value 0.3019 is an outlier,0.193
F,HFHS FOS+GOS,DOPAC_DOPAMINE,6,1.6,0.385,lowest value 0.2358 is an outlier,0.195
M,HFHS Vehicle,L_DOPA,6,1.58,0.398,lowest value 0.27 is an outlier,0.209
M,HFHS 1472,DOPAC,6,1.58,0.402,highest value 3447.15 is an outlier,0.213
F,HFHS FOS+GOS,HVA_DOPAMINE,6,1.57,0.41,highest value 0.2062 is an outlier,0.224
M,HFHS 1472,5HIAA_5HT,6,1.56,0.414,lowest value 0.5693 is an outlier,0.228
F,HFHS 1472,5-HIAA,7,1.64,0.478,lowest value 453.82 is an outlier,0.233
M,HFHS 1472,DOPAC_DOPAMINE,6,1.56,0.42,highest value 0.308 is an outlier,0.235
M,HFHS FOS+GOS,HVA_DOPAMINE,7,1.63,0.481,highest value 0.236 is an outlier,0.237
M,HFHS Vehicle,noradrenaline,6,1.55,0.425,highest value 347.6 is an outlier,0.242
F,Control Vehicle,HVA_DOPAMINE,6,1.54,0.428,highest value 0.1881 is an outlier,0.246
F,HFHS 1472,HVA,7,1.61,0.494,highest value 2485.26 is an outlier,0.256
F,HFHS Vehicle,DOPAC_DOPAMINE,6,1.53,0.441,lowest value 0.229 is an outlier,0.263
F,HFHS FOS+GOS,5-HIAA,6,1.52,0.445,highest value 553.41 is an outlier,0.268
F,HFHS FOS+GOS,5HIAA_5HT,6,1.51,0.45,lowest value 0.5732 is an outlier,0.274
M,HFHS 1472,HVA_DOPAMINE,6,1.51,0.451,highest value 0.2101 is an outlier,0.276
M,HFHS FOS+GOS,HVA,7,1.58,0.515,lowest value 1660.69 is an outlier,0.287
F,HFHS Vehicle,HVA,6,1.49,0.465,lowest value 1306.59 is an outlier,0.295
F,HFHS Vehicle,dopamine,6,1.46,0.492,lowest value 8963.16 is an outlier,0.335
F,Control Vehicle,HVA,6,1.44,0.5,highest value 1759.49 is an outlier,0.348
M,Control Vehicle,L_DOPA,6,1.44,0.502,highest value 227.45 is an outlier,0.352
F,HFHS 1472,DOPAC_DOPAMINE,7,1.51,0.554,highest value 0.3749 is an outlier,0.355
F,HFHS 1472,DOPAC_HVA,7,1.51,0.559,highest value 2.1322 is an outlier,0.363
F,HFHS FOS+GOS,dopamine,6,1.42,0.519,lowest value 9360.51 is an outlier,0.38
M,HFHS Vehicle,5HIAA_5HT,6,1.41,0.521,lowest value 0.6867 is an outlier,0.383
M,HFHS 1472,L_DOPA_DOPAMINE,6,1.41,0.524,highest value 0.013 is an outlier,0.387
M,HFHS Vehicle,DOPAC,6,1.4,0.527,lowest value 1891.05 is an outlier,0.392
M,HFHS 1472,dopamine,6,1.39,0.537,highest value 11381.15 is an outlier,0.411
M,Control Vehicle,dopamine,6,1.39,0.539,lowest value 6736.43 is an outlier,0.414
F,HFHS 1472,HVA_DOPAMINE,7,1.45,0.592,lowest value 0.1357 is an outlier,0.429
M,HFHS 1472,HVA,6,1.37,0.549,highest value 2210.46 is an outlier,0.433
F,HFHS Vehicle,HVA_DOPAMINE,6,1.36,0.554,lowest value 0.123 is an outlier,0.442
