"Sex","Legend","name","n","G","U","grubbs","p_grubbs"
"M","HFHS FOS+GOS","Caecum_BW",7,2.17,0.0825,"highest value 0.05717 is an outlier",0.0024
"M","HFHS FOS+GOS","Caecum",7,2.17,0.0848,"highest value 1.6809 is an outlier",0.00257
"M","HFHS FOS+GOS","Liver",7,2.16,0.0918,"highest value 1.0556 is an outlier",0.00314
"M","Control Vehicle","MesWAT",6,1.98,0.0607,"lowest value 0.0586 is an outlier",0.00423
"M","HFHS 1472","MesWAT",6,1.94,0.0933,"highest value 0.2094 is an outlier",0.0101
"M","HFHS 1472","MesWAT_BW",6,1.93,0.11,"highest value 0.00784 is an outlier",0.0142
"F","HFHS 1472","GonWAT_BW",7,2.06,0.173,"highest value 0.02217 is an outlier",0.0158
"M","Control Vehicle","Caecum_BW",6,1.9,0.131,"highest value 0.01681 is an outlier",0.0202
"M","HFHS 1472","BAT",6,1.9,0.133,"highest value 0.0826 is an outlier",0.0208
"F","HFHS Vehicle","Caecum",6,1.9,0.136,"highest value 0.2304 is an outlier",0.0217
"M","HFHS 1472","Caecum_BW",6,1.89,0.141,"highest value 0.01163 is an outlier",0.0236
"M","Control Vehicle","gonWAT",6,1.89,0.142,"lowest value 0.1676 is an outlier",0.0239
"F","HFHS Vehicle","Colon_BW",6,1.88,0.148,"lowest value 0.26244 is an outlier",0.026
"M","HFHS 1472","gonWAT",6,1.88,0.152,"highest value 0.5818 is an outlier",0.0275
"F","HFHS 1472","gonWAT",7,2.01,0.217,"highest value 0.4324 is an outlier",0.0284
"F","Control Vehicle","SmallIntestine",6,1.86,0.166,"lowest value 29 is an outlier",0.0327
"M","Control Vehicle","Caecum",6,1.86,0.166,"highest value 0.4657 is an outlier",0.0328
"M","HFHS 1472","SmallIntestine_BW",6,1.86,0.166,"highest value 1.42222 is an outlier",0.0329
"M","HFHS 1472","BAT_BW",6,1.86,0.169,"highest value 0.00309 is an outlier",0.0342
"M","HFHS 1472","GonWAT_BW",6,1.85,0.176,"highest value 0.02179 is an outlier",0.0372
"M","Control Vehicle","SmallIntestine_BW",6,1.84,0.185,"highest value 1.35965 is an outlier",0.0411
"F","HFHS 1472","Caecum",7,1.96,0.256,"highest value 0.2788 is an outlier",0.0435
"F","HFHS 1472","Liver_BW",7,1.94,0.268,"lowest value 0.02733 is an outlier",0.0494
"F","Control Vehicle","Colon",6,1.81,0.21,"highest value 7 is an outlier",0.0538
"F","HFHS 1472","Caecum_BW",7,1.92,0.286,"highest value 0.01315 is an outlier",0.0587
"M","Control Vehicle","SmallIntestine",6,1.78,0.239,"lowest value 31 is an outlier",0.0701
"M","Control Vehicle","MesWAT_BW",6,1.77,0.246,"lowest value 0.00224 is an outlier",0.0747
"F","HFHS Vehicle","SmallIntestine_BW",6,1.77,0.248,"highest value 1.68421 is an outlier",0.0756
"M","HFHS 1472","Liver",6,1.77,0.248,"lowest value 0.7488 is an outlier",0.076
"F","Control Vehicle","SmallIntestine_BW",6,1.76,0.26,"highest value 1.77966 is an outlier",0.0836
"F","HFHS 1472","Liver",7,1.85,0.335,"highest value 0.9513 is an outlier",0.0889
"M","HFHS FOS+GOS","Colon_BW",7,1.85,0.337,"highest value 0.28364 is an outlier",0.09
"F","Control Vehicle","Liver_BW",6,1.74,0.27,"lowest value 0.02945 is an outlier",0.0909
"M","HFHS 1472","Liver_BW",6,1.74,0.271,"highest value 0.038 is an outlier",0.0916
"M","Control Vehicle","GonWAT_BW",6,1.73,0.278,"lowest value 0.0064 is an outlier",0.0962
"F","Control Vehicle","BAT",6,1.73,0.28,"highest value 0.0936 is an outlier",0.0979
"M","HFHS FOS+GOS","MesWAT",7,1.82,0.353,"highest value 0.2847 is an outlier",0.102
"M","Control Vehicle","Liver",6,1.71,0.296,"lowest value 0.6465 is an outlier",0.11
"M","HFHS Vehicle","BAT_BW",6,1.71,0.301,"highest value 0.00371 is an outlier",0.114
"F","Control Vehicle","BAT_BW",6,1.7,0.303,"highest value 0.00411 is an outlier",0.116
"F","HFHS FOS+GOS","SmallIntestine",5,1.58,0.217,"highest value 35 is an outlier",0.116
"F","HFHS Vehicle","MesWAT_BW",6,1.7,0.31,"lowest value 0.00323 is an outlier",0.122
"F","HFHS Vehicle","Caecum_BW",6,1.68,0.319,"highest value 0.01043 is an outlier",0.13
"M","HFHS Vehicle","MesWAT_BW",6,1.68,0.324,"highest value 0.00727 is an outlier",0.133
"F","HFHS Vehicle","BAT",6,1.67,0.333,"lowest value 0.0453 is an outlier",0.142
"M","HFHS FOS+GOS","SmallIntestine_BW",7,1.75,0.408,"highest value 1.37546 is an outlier",0.151
"F","HFHS Vehicle","Liver",6,1.65,0.347,"highest value 0.9339 is an outlier",0.155
"F","HFHS 1472","MesWAT",7,1.73,0.419,"highest value 0.1678 is an outlier",0.162
"F","HFHS Vehicle","MesWAT",6,1.64,0.355,"lowest value 0.0613 is an outlier",0.163
"F","HFHS FOS+GOS","BAT",5,1.53,0.27,"lowest value 0.0372 is an outlier",0.163
"M","Control Vehicle","BAT_BW",6,1.63,0.361,"highest value 0.003 is an outlier",0.169
"F","HFHS Vehicle","SmallIntestine",6,1.63,0.362,"highest value 34 is an outlier",0.17
"M","HFHS Vehicle","gonWAT",6,1.63,0.366,"lowest value 0.1798 is an outlier",0.174
"M","HFHS Vehicle","MesWAT",6,1.62,0.37,"lowest value 0.0725 is an outlier",0.179
"F","HFHS FOS+GOS","BAT_BW",5,1.51,0.29,"lowest value 0.00168 is an outlier",0.183
"F","HFHS FOS+GOS","Caecum_BW",5,1.51,0.29,"highest value 0.02319 is an outlier",0.183
"F","HFHS FOS+GOS","Colon",5,1.5,0.297,"highest value 7.4 is an outlier",0.19
"F","HFHS Vehicle","GonWAT_BW",6,1.6,0.382,"highest value 0.01241 is an outlier",0.191
"M","HFHS 1472","Caecum",6,1.6,0.385,"highest value 0.2954 is an outlier",0.195
"M","HFHS FOS+GOS","MesWAT_BW",7,1.68,0.45,"highest value 0.00968 is an outlier",0.197
"M","HFHS 1472","Colon_BW",6,1.6,0.387,"highest value 0.30222 is an outlier",0.197
"M","Control Vehicle","Colon_BW",6,1.59,0.39,"highest value 0.2807 is an outlier",0.2
"M","Control Vehicle","Colon",6,1.59,0.396,"highest value 7 is an outlier",0.207
"M","HFHS Vehicle","BAT",6,1.58,0.404,"highest value 0.0864 is an outlier",0.216
"F","HFHS 1472","Colon",7,1.66,0.467,"lowest value 5.4 is an outlier",0.218
"F","HFHS Vehicle","Colon",6,1.56,0.414,"lowest value 5.8 is an outlier",0.229
"F","HFHS FOS+GOS","Caecum",5,1.46,0.334,"highest value 0.5148 is an outlier",0.23
"F","HFHS Vehicle","BAT_BW",6,1.56,0.417,"lowest value 0.0023 is an outlier",0.232
"F","HFHS 1472","MesWAT_BW",7,1.64,0.478,"highest value 0.00792 is an outlier",0.233
"M","HFHS Vehicle","Liver",6,1.55,0.423,"lowest value 0.8029 is an outlier",0.24
"M","HFHS Vehicle","SmallIntestine",6,1.55,0.424,"highest value 34 is an outlier",0.24
"F","HFHS FOS+GOS","Colon_BW",5,1.45,0.345,"highest value 0.33333 is an outlier",0.242
"F","HFHS FOS+GOS","SmallIntestine_BW",5,1.44,0.351,"highest value 1.63158 is an outlier",0.249
"M","HFHS FOS+GOS","BAT",7,1.6,0.502,"highest value 0.0836 is an outlier",0.268
"F","HFHS 1472","BAT",7,1.6,0.504,"lowest value 0.0301 is an outlier",0.27
"M","HFHS Vehicle","GonWAT_BW",6,1.52,0.448,"lowest value 0.00716 is an outlier",0.271
"M","HFHS FOS+GOS","BAT_BW",7,1.58,0.512,"highest value 0.00311 is an outlier",0.282
"F","HFHS 1472","Colon_BW",7,1.58,0.515,"highest value 0.32609 is an outlier",0.287
"F","Control Vehicle","Liver",6,1.5,0.46,"lowest value 0.5889 is an outlier",0.289
"M","HFHS 1472","Colon",6,1.48,0.477,"lowest value 5.5 is an outlier",0.313
"M","HFHS FOS+GOS","Liver_BW",7,1.55,0.533,"lowest value 0.03185 is an outlier",0.316
"F","Control Vehicle","Caecum",6,1.46,0.491,"highest value 0.3034 is an outlier",0.334
"M","HFHS Vehicle","Caecum",6,1.45,0.495,"lowest value 0.2144 is an outlier",0.34
"F","HFHS FOS+GOS","MesWAT_BW",5,1.35,0.429,"lowest value 0.00193 is an outlier",0.348
"M","HFHS Vehicle","Liver_BW",6,1.43,0.51,"highest value 0.03935 is an outlier",0.364
"M","Control Vehicle","BAT",6,1.42,0.518,"lowest value 0.0567 is an outlier",0.378
"F","HFHS 1472","BAT_BW",7,1.48,0.574,"lowest value 0.00164 is an outlier",0.393
"F","Control Vehicle","GonWAT_BW",6,1.4,0.531,"lowest value 0.0046 is an outlier",0.4
"M","HFHS FOS+GOS","Colon",7,1.47,0.579,"highest value 7.8 is an outlier",0.402
"F","HFHS FOS+GOS","Liver_BW",5,1.3,0.47,"highest value 0.04287 is an outlier",0.407
"F","HFHS FOS+GOS","gonWAT",5,1.3,0.47,"highest value 0.3791 is an outlier",0.408
"F","Control Vehicle","Caecum_BW",6,1.39,0.539,"highest value 0.01473 is an outlier",0.414
"M","HFHS Vehicle","Caecum_BW",6,1.38,0.541,"highest value 0.01278 is an outlier",0.417
"F","Control Vehicle","gonWAT",6,1.38,0.541,"lowest value 0.0814 is an outlier",0.418
"F","Control Vehicle","Colon_BW",6,1.37,0.548,"lowest value 0.29126 is an outlier",0.431
"F","HFHS Vehicle","gonWAT",6,1.37,0.549,"lowest value 0.1034 is an outlier",0.432
"M","HFHS Vehicle","Colon",6,1.35,0.561,"lowest value 6.3 is an outlier",0.455
"M","HFHS FOS+GOS","gonWAT",7,1.43,0.605,"lowest value 0.1539 is an outlier",0.457
"M","HFHS Vehicle","SmallIntestine_BW",6,1.34,0.57,"highest value 1.41631 is an outlier",0.472
"F","HFHS FOS+GOS","MesWAT",5,1.25,0.512,"lowest value 0.0429 is an outlier",0.474
"M","Control Vehicle","Liver_BW",6,1.32,0.584,"highest value 0.03845 is an outlier",0.5
"F","HFHS FOS+GOS","GonWAT_BW",5,1.22,0.532,"highest value 0.01715 is an outlier",0.507
"F","HFHS 1472","SmallIntestine",7,1.39,0.627,"lowest value 30 is an outlier",0.507
"F","HFHS 1472","SmallIntestine_BW",7,1.38,0.63,"highest value 1.68478 is an outlier",0.516
"M","HFHS 1472","SmallIntestine",6,1.29,0.6,"highest value 33 is an outlier",0.533
"M","HFHS FOS+GOS","GonWAT_BW",7,1.36,0.641,"lowest value 0.00552 is an outlier",0.542
"M","HFHS FOS+GOS","SmallIntestine",7,1.35,0.648,"lowest value 34 is an outlier",0.56
"F","HFHS FOS+GOS","Liver",5,1.17,0.571,"lowest value 0.706 is an outlier",0.575
"F","HFHS Vehicle","Liver_BW",6,1.23,0.638,"highest value 0.04226 is an outlier",0.619
"M","HFHS Vehicle","Colon_BW",6,1.15,0.684,"lowest value 0.24373 is an outlier",0.736
"F","Control Vehicle","MesWAT",5,NA,NA,NA,NA
"F","Control Vehicle","MesWAT_BW",5,NA,NA,NA,NA
