Sex,Legend,name,n,G,U,grubbs,p_grubbs
M,HFHS 1472,FirstMealSize,12,3.17,0.00463,highest value 30.48 is an outlier,3.16E-12
M,Control Vehicle,FirstMealSize,12,3.17,0.00547,highest value 24.62 is an outlier,7.24E-12
M,HFHS Vehicle,FPT_TotalCumulative_CTDiet_OD,12,3.15,0.0153,highest value 4.8 is an outlier,1.23E-09
M,HFHS Vehicle,AverageMealSize.g.,12,3.13,0.0314,highest value 15.75 is an outlier,4.56E-08
M,HFHS 1472,FPT_TotalCumulative_HFHSDiet_ON_divided_OD,12,3.12,0.0328,highest value 48300 is an outlier,5.65E-08
M,HFHS 1472,TotalIntake.g.,12,3.11,0.0391,highest value 32.38 is an outlier,1.38E-07
M,HFHS FOS+GOS,SPT_CumulativeDrinkIntake_Saccharin_OD,13,3.2,0.0754,highest value 14 is an outlier,1.06E-06
M,HFHS 1472,AverageMealSize.g.,12,3.08,0.0604,highest value 4.21 is an outlier,1.22E-06
F,Control Vehicle,CentreTime.,12,3.05,0.0763,highest value 37.6 is an outlier,3.95E-06
F,Control Vehicle,TimeThigmotaxis20.,12,3.05,0.0764,lowest value 62.3 is an outlier,3.96E-06
M,HFHS FOS+GOS,AverageMealSize.g.,13,3.15,0.104,highest value 4.55 is an outlier,6.39E-06
M,HFHS Vehicle,FPT_TotalCumulative_HFHS_OD,12,3.03,0.0918,highest value 14.7 is an outlier,1.00E-05
F,HFHS 1472,SPT_CumulativeDrinkIntake_Water_OD,13,3.13,0.115,highest value 8.5 is an outlier,1.10E-05
M,Control Vehicle,SPT_CumulativeDrinkIntake_Water_OD,12,3.02,0.094,highest value 8 is an outlier,1.13E-05
F,HFHS 1472,AverageMealSize.g.,13,3.12,0.121,highest value 2.65 is an outlier,1.47E-05
F,HFHS 1472,TimeThigmotaxis20.,13,3.08,0.146,lowest value 70.7 is an outlier,4.15E-05
F,HFHS 1472,CentreTime.,13,3.07,0.148,highest value 29.3 is an outlier,4.45E-05
M,HFHS 1472,FPT_TotalCumulative_CTDiet_OD,12,2.97,0.126,highest value 0.5 is an outlier,4.93E-05
M,HFHS 1472,TimeThigmotaxis10.,12,2.96,0.133,lowest value 0 is an outlier,6.55E-05
F,HFHS 1472,TotalIntake.g.,13,3.05,0.16,highest value 8.4 is an outlier,7.00E-05
M,HFHS FOS+GOS,FirstMealSize,13,3.05,0.163,highest value 17.34 is an outlier,7.54E-05
M,HFHS FOS+GOS,SPT_TotalCumulative_SaccharinDiet_24h,13,3.02,0.175,highest value 16 is an outlier,0.000115
M,Control Vehicle,AverageMealSize.g.,12,2.93,0.149,highest value 4.58 is an outlier,0.000116
