symbol,sex,statistic_diet,p.adj_diet,statistic_treatment_FOSGOS,p.adj_treatment_FOSGOS,statistic_treatment_1472,p.adj_treatment_1472,restoration_FOSGOS,restoration_1472
0610010K14Rik,F,-0.750253621,0.486,-1.001333373,1,-0.521268983,1,not restored,not restored
0610010K14Rik,M,1.449425152,0.2,-0.727957715,0.974,0.618657877,0.974,not restored,not restored
0610030E20Rik,F,0.677753357,0.514,-0.14451129,1,0.280836506,1,not restored,not restored
0610030E20Rik,M,-0.925092204,0.377,-0.037879672,1,-0.326287551,1,not restored,not restored
0610040J01Rik,F,-0.697426659,0.506,1.562224172,0.447,1.549169104,0.447,not restored,not restored
0610040J01Rik,M,0.562418806,0.588,-1.273957295,0.726,-0.680484432,0.954,not restored,not restored
1110002E22Rik,F,0.895996548,0.392,-0.789412826,0.904,0.675762836,0.904,not restored,not restored
1110002E22Rik,M,-3.116166128,0.011,1.363389622,0.609,1.002209731,0.68,not restored,not restored
1110004F10Rik,F,0.603080793,0.561,0.094616473,0.926,1.085199422,0.924,not restored,not restored
1110004F10Rik,M,-0.066302469,0.949,-0.063450467,1,0.22675654,1,not restored,not restored
1110017D15Rik,F,-0.994431688,0.359,0.98874032,0.706,2.17460874,0.166,not restored,not restored
1110017D15Rik,M,1.325168134,0.226,-1.378247485,0.507,-1.506599977,0.507,not restored,not restored
1110032F04Rik,F,2.333649266,0.049,-0.137832134,0.893,-1.133805861,0.849,not restored,not restored
1110032F04Rik,M,-1.516242178,0.163,0.785129791,1,0.139182003,1,not restored,not restored
1110038F14Rik,F,0.093570692,0.929,0.37000735,0.831,-1.156294686,0.831,not restored,not restored
1110038F14Rik,M,2.015370724,0.092,0.26120853,1,-0.21929143,1,not restored,not restored
1110059E24Rik,F,1.7596308,0.134,-0.030859598,1,-0.484862602,1,not restored,not restored
1110059E24Rik,M,-0.55626977,0.601,0.006788689,1,-0.262631678,1,not restored,not restored
1110059G10Rik,F,1.434733538,0.195,1.624325985,0.384,1.67050922,0.384,not restored,not restored
1110059G10Rik,M,0.106903819,0.919,-0.295469383,1,-0.486853367,1,not restored,not restored
1110065P20Rik,F,-0.332983579,0.749,-0.835221688,0.862,0.346823286,0.862,not restored,not restored
1110065P20Rik,M,0.997405461,0.36,-0.107378537,1,0.612258053,1,not restored,not restored
1190005I06Rik,F,0.523857909,0.617,-0.870058445,1,-0.011328289,1,not restored,not restored
1190005I06Rik,M,-0.072138579,0.944,0.233723426,1,0.505190115,1,not restored,not restored
1500009L16Rik,F,2.081632673,0.086,0.218758815,1,1.440682555,0.543,not restored,not restored
1500009L16Rik,M,-0.17531067,0.866,-0.979303995,1,-0.156381907,1,not restored,not restored
1500011B03Rik,F,-0.638461967,0.547,0.928422102,1,0.475180372,1,not restored,not restored
1500011B03Rik,M,1.228039515,0.26,-0.007888021,1,0.576222818,1,not restored,not restored
1600012H06Rik,F,-0.519251338,0.619,1.971753396,0.157,2.949362139,0.073,not restored,not restored
1600012H06Rik,M,-2.070978949,0.066,0.770410291,1,0.926068319,1,not restored,not restored
1600014C10Rik,F,0.595121045,0.569,-0.46063544,0.686,-1.56005261,0.462,not restored,not restored
1600014C10Rik,M,1.46514855,0.178,-0.166768528,1,-0.833085422,1,not restored,not restored
1600029O15Rik,F,0.976448893,0.352,0.571793293,0.583,-1.178208949,0.556,not restored,not restored
1600029O15Rik,M,-0.415500911,0.687,-0.866229263,0.68,-1.621940178,0.414,not restored,not restored
1700001C19Rik,F,-0.951774359,0.385,1.183832182,0.58,1.767095474,0.348,not restored,not restored
1700001C19Rik,M,-0.762232504,0.468,0.163843005,1,-0.228103796,1,not restored,not restored
1700001K19Rik,F,-2.352041148,0.049,0.095678399,1,0.940318962,1,not restored,not restored
1700001K19Rik,M,1.485084911,0.184,-0.573474087,1,-0.259215216,1,not restored,not restored
1700001O22Rik,F,-0.284996361,0.785,0.581366978,0.577,2.394823328,0.114,not restored,not restored
