Name,Cage/Litter,Mouse_ID,Cohort,Sex,Diet,Treatment,real_intake,crumbling,TotalIntake(g),NumberMeals,AverageMealSize(g),AverageMealDuration(g),IntervalBtwMeals(min),EatingRate,LatencyFirstMeal,FirstMealSize,FaecalPellets,LocomotorActivity12h,Rears12h,Rearing_Centre,Rearing_ExternalZone10%,Rearing_ExternalZone20%,CentreTime%,TimeThigmotaxis10%,TimeThigmotaxis20%,CentreDistance_Percentage,DistanceThigmotaxis10%,DistanceThigmotaxis20%,SPT_Ratio,SPT_Ratio_OD,SPT_Ratio_ON,SPT_PreferenceScore,SPT_PreferenceScore_Percentage,SPT_PreferenceScore_OD,SPT_PreferenceScore_ON,SPT_CumulativeDrinkIntake_Water,SPT_CumulativeDrinkIntake_Saccharin,SPT_CumulativeDrinkIntake_Water_OD,SPT_CumulativeDrinkIntake_Saccharin_OD,SPT_CumulativeDrinkIntake_Water_ON,SPT_CumulativeDrinkIntake_Saccharin_ON,SPT_TotalCumulative_WaterDiet_12h,SPT_TotalCumulative_WaterDiet_24h,SPT_TotalCumulative_WaterDiet_36h,SPT_TotalCumulative_WaterDiet_48h,SPT_TotalCumulative_SaccharinDiet_12h,SPT_TotalCumulative_SaccharinDiet_24h,SPT_TotalCumulative_SaccharinDiet_36h,SPT_TotalCumulative_SaccharinDiet_48h,FPT_PreferenceScore,FPT_PreferenceScore_Percentage,FPT_PreferenceScore_OD,FPT_PreferenceScore_Percentage_OD,FPT_PreferenceScore_ON,FPT_PreferenceScore_Percentage_ON,FPT_TotalCumulative_CTDiet,FPT_TotalCumulative_HFHSDiet,FPT_TotalCumulative_CTDiet_OD,FPT_TotalCumulative_HFHS_OD,FPT_TotalCumulative_CTDiet_ON,FPT_TotalCumulative_HFHSDiet_ON,FPT_TotalCumulative_HFHSDiet_ON_divided_OD,FPT_TotalCumulative_CTDiet_12h,FPT_TotalCumulative_CTDiet_24h,FPT_TotalCumulative_CTDiet_36h,FPT_TotalCumulative_CTDiet_48h,FPT_TotalCumulative_HFHSDiet_12h,FPT_TotalCumulative_HFHSDiet_24h,FPT_TotalCumulative_HFHSDiet_36h,FPT_TotalCumulative_HFHSDiet_48h
CT_CT_C1_L105_P101_F,105,101,1,F,Control,Vehicle,1.7,0,1.7,3,0.26,13.7,498.95,0.32,106.42,0.3,26,13838.9,3416,133,1211,3070,1.6,74.3,98.5,22.8,32.8,77.1,0.71,1,0.6,0.42,42,0.5,0.375,7,5,2,2,5,3,4,4.5,5.5,7,2,3,4,5,0.97,96.51,0.83,83.33333,0.97,96.9230769,0.3,8.3,0.4,2,0.2,6.3,315,0.1,0.1,0.2,0.3,3.4,4.3,7.2,8.3
CT_CT_C1_L105_P102_F,105,102,1,F,Control,Vehicle,1.22,1.2,2.44,4,0.47,26,314.63,0.3,5.75,0.74,17,27755.2,4028,662,2200,3376,9.2,49,90.8,37,21.8,63,1,1.5,0.8,0.5,50,0.6,0.444444444,7,7,2,3,5,4,4,5,6,7,3,4,5,7,0.96,95.65,1,100,0.94,94.3396226,0.3,6.6,0,1.6,0.3,5,312.5,0.1,0.1,0.3,0.3,3.1,3.9,5.8,6.6
CT_CT_C1_L104_P113_F,104,113,1,F,Control,Vehicle,1.88,0,2.08,7,0.22,16.26,589.78,0.23,3.03,0.24,16,24324,4405,605,1149,1870,6.6,51.6,93.4,32.6,24.4,67.4,5.33,3,10,0.84,84,0.75,0.909090909,3,16,2,6,1,10,2,3,2,3,5,8,13,16,0.98,97.71,0.92,92.30769,0.98,98.1424149,0.8,34.1,0.2,2.4,0.6,31.7,1320.833333,0.4,0.5,0.7,0.8,5.4,5.7,32,34.1
CT_CT_C1_L104_P115_F,104,115,1,F,Control,Vehicle,1.44,0,1.44,4,0.3,23.35,296.5,0.21,212.5,0.42,22,13634.9,3331,542,993,1846,2.4,73.5,97.6,27,34.8,73.1,2.44,3,2,0.71,71,0.75,0.666666667,4.5,11,2,6,2.5,5,2,2.5,3,4.5,3,6,8,11,0.96,96.39,0.63,62.5,1,100,0.6,16,0.6,1,0,15,1500,0,0.3,0.3,0.6,6.8,7.1,15.3,16
CT_CT_C2_L117_P201_F,117,201,2,F,Control,Vehicle,0.96,0.8,1.76,2,0.37,34.24,11.73,0.18,23.88,0.32,17,20280.1,4941,150,1833,4382,2.4,67.8,97.6,29,22.7,71,0.67,0.5,0.75,0.4,40,0.333333333,0.428571429,6,4,2,1,4,3,3,3.5,4.5,6,2,3,4,4,0.99,99.05,1,100,0.99,98.958333,0.2,20.9,0,1.9,0.2,19,1000,0.1,0.1,0.2,0.2,7.7,9.1,20.4,20.9
CT_CT_C2_L117_P202_F,117,202,2,F,Control,Vehicle,1.68,0.8,2.44,3,0.44,29.81,64.83,0.25,48.6,0.26,31,30874.3,4476,515,2904,3499,4.3,65.5,95.6,33.2,28.5,66.8,,,,,0,,,,,,4.5,,8.5,8,,,,6,8,10.5,13,0.93,92.86,0.95,94.736842,0.92,91.891892,0.8,10.4,0.2,3.6,0.6,6.8,188.8888889,0.5,0.5,0.6,0.8,2.9,4.1,8,10.4
CT_CT_C2_L122_P207_F,122,207,2,F,Control,Vehicle,,1.8,3.9,9,1,37.7,315,0.44,3.02,1.1,28,18335.2,3818,176,988,3452,2.7,62,97.3,26.1,35.2,73.8,0.83,1,0.66666667,0.45,45,0.5,0.4,6,5,7,7,3,2,3,5,5,6,2,5,5,5,0.95,95.21,0.92,92.307692,0.96,95.679012,0.9,17.9,0.2,2.4,0.7,15.5,645.8333333,0.5,0.5,0.7,0.9,3.7,4.7,16.5,17.9
CT_CT_C2_L122_P208_F,122,208,2,F,Control,Vehicle,2.84,0,2.78,6,0.44,28,468.22,0.26,2.78,0.36,28,15549,2751,127,1097,2248,2.3,74.7,97.7,30.4,23.9,69.7,3.82,3.5,4,0.79,79,0.777777778,0.8,5.5,21,2,7,3.5,14,3,4.5,5,5.5,9.5,14,18.5,21,0.94,93.79,1,100,0.92,92.307692,1,15.1,0,3.1,1,12,387.0967742,0.6,0.6,1,1,6.6,8.8,14.2,15.1
CT_CT_C4_L129_P401_F,129,401,4,F,Control,Vehicle,1.12,0,1.12,0,0,0,,,720,0,25,26786.8,4895,460,880,4738,7.8,44.3,92.2,46.4,12.6,53.5,1,0.66666667,1.14285714,0.5,50,0.4,0.533333333,5,5,1.5,1,3.5,4,3,3.5,4,5,2,3,5,5,0.91,90.8,0.61,61.111111,0.94,94.482759,1.5,14.8,0.7,1.1,0.8,13.7,1245.454545,0.8,1.5,1.5,1.5,2.1,3.2,14.8,14.8
CT_CT_C4_L129_P402_F,129,402,4,F,Control,Vehicle,1.26,1.9,3.18,7,0.35,14.55,354.95,0.4,42.9,0.56,22,22461.1,3014,370,2103,2262,8.9,59.1,91.1,36.4,24.4,63.6,1.13,1,0.875,0.47,47.06,0.5,0.466666667,4.5,4,0.5,0.5,4,3.5,3,3,4,4.5,2,2.5,4,4,0.91,91.14,0.96,96.153846,0.89,88.679245,0.7,7.2,0.1,2.5,0.6,4.7,188,0.2,0.2,0.6,0.7,2.7,3.9,5.9,7.2
CT_CT_C4_L113_P408_F,113,408,4,F,Control,Vehicle,2.24,0,2.24,2,0.8,84.49,459.17,0.16,21.18,1.36,26,22276.3,4310,298,1158,3932,37.6,23.5,62.3,42,15,58,1.36,1.5,0.53333333,0.42,42.42,0.6,0.347826087,9.5,7,2,3,7.5,4,4,5.5,9,9.5,2,3,5,7,0.92,91.67,0.89,89.473684,0.92,92.307692,0.7,7.7,0.2,1.7,0.5,6,352.9411765,0.4,0.4,0.5,0.7,2.5,3.1,6.6,7.7
CT_CT_C4_L113_P409_F,113,409,4,F,Control,Vehicle,0.92,1.7,2.62,4,0.5,24.14,527.1,0.35,68.95,0.54,32,29330.8,4429,533,3539,3105,5.2,70.2,94.8,29,32.6,71,0.87,0.8,1.375,0.54,53.57,0.444444444,0.578947368,6.5,7.5,2.5,2,4,5.5,3,4,5,6.5,3.5,4,6,7.5,0.94,93.65,0.6,60,0.95,95.041322,0.8,11.8,0.2,0.3,0.6,11.5,3833.333333,0.2,0.4,0.8,0.8,4.1,4.4,11.8,11.8
HFHS_CT_C2_L123_P211_F,123,211,2,F,HFHS,Vehicle,7.82,6.2,14.1,6,2.32,29.82,523.1,1.29,16.88,7.96,13,16667.5,3103,622,969,2843,8.6,54.6,91.4,30.5,20.9,69.6,1.43,4,1,0.59,59,0.8,0.5,7,10,1,4,6,6,4,4,6,7,5,6,7,10,0.98,98.13,0.97,96.774194,0.98,98.312236,0.5,26.3,0.1,3,0.4,23.3,776.6666667,0.3,0.4,0.5,0.5,7.6,10.4,26.1,26.3
HFHS_CT_C2_L123_P212_F,123,212,2,F,HFHS,Vehicle,1.46,4.9,6.02,2,2.96,63.79,110.35,0.77,0,5.46,16,17844.5,2279,486,1576,1977,5.9,75,94.1,30.7,32.7,69.3,2.75,,1.75,0.73,73,1,0.636363636,6,16.5,0,6,6,10.5,4,4,6,6,5.5,8,13,16.5,0.97,97.41,0.92,92,0.98,98.067633,0.6,22.6,0.2,2.3,0.4,20.3,882.6086957,0.1,0.2,0.5,0.6,7,8.6,21.9,22.6
HFHS_CT_C2_L123_P213_F,123,213,2,F,HFHS,Vehicle,3.82,1.5,5.32,4,1.14,23.5,92.55,0.81,32.42,1.12,25,31376,4529,487,1270,4222,9.8,47.3,90.2,37.9,19.7,62.1,3,,2,0.75,75,1,0.666666667,3,9,0,3,3,6,2,2,3,3,3.5,4.5,7,9,0.97,97,0.9,89.830508,0.99,98.755187,0.9,29.1,0.6,5.3,0.3,23.8,449.0566038,0,0.2,0.5,0.9,13.4,14.8,25.2,29.1
HFHS_CT_C2_L123_P218_F,123,218,2,F,HFHS,Vehicle,2.5,0.7,3.2,4,0.54,7.2,351.97,1.25,122,0.24,24,15385.5,2601,130,971,2284,2.7,70.8,97.2,29,29.3,71.1,2.8,2,3.33333333,0.74,74,0.666666667,0.769230769,2.5,7,1,2,1.5,5,1,1.5,2,2.5,2.5,3.5,6,7,0.99,98.62,0.89,89.473684,0.99,99.261993,0.4,28.6,0.2,1.7,0.2,26.9,1582.352941,0.2,0.3,0.3,0.4,8.8,9.8,27.9,28.6
