Name,Cage/Litter,Cohort,Sex,Diet,Treatment,Age,food_intake,energy_intake
CT_CT_C1_L105_F,105,1,F,Control,Vehicle,22,1.85,6.7
CT_CT_C1_L105_M,105,1,M,Control,Vehicle,22,0.68,2.5
CT_CT_C1_L104_F,104,1,F,Control,Vehicle,22,1.2,4.4
CT_CT_C1_L104_M,104,1,M,Control,Vehicle,22,1.77,6.4
CT_CT_C2_L117_F,117,2,F,Control,Vehicle,22,1.55,5.6
CT_CT_C2_L117_M,117,2,M,Control,Vehicle,22,1.77,6.4
CT_CT_C2_L122_F,122,2,F,Control,Vehicle,22,2.23,8.1
CT_CT_C4_L129_F,129,4,F,Control,Vehicle,22,3.1,11.3
CT_CT_C4_L129_M,129,4,M,Control,Vehicle,22,2.33,8.4
CT_CT_C4_L113_F,113,4,F,Control,Vehicle,22,2.37,8.6
CT_CT_C4_L113_M,113,4,M,Control,Vehicle,22,1.2,4.4
HFHS_CT_C1_L110_M,110,1,M,HFHS,Vehicle,22,1.48,6.8302
HFHS_CT_C1_L107_M,107,1,M,HFHS,Vehicle,22,1.2,5.54
HFHS_CT_C2_L121_F,121,2,F,HFHS,Vehicle,22,1.7,7.85
HFHS_CT_C2_L123_F,123,2,F,HFHS,Vehicle,22,2.55,11.77
HFHS_CT_C2_L123_M,123,2,M,HFHS,Vehicle,22,1.9,8.77
HFHS_CT_C2_L121_M,121,2,M,HFHS,Vehicle,22,2.33,10.73
HFHS_CT_C3_L125.1_F,125.1,3,F,HFHS,Vehicle,22,2.03,9.38
HFHS_CT_C3_L125.2_F,125.2,3,F,HFHS,Vehicle,22,2.07,9.54
HFHS_CT_C3_L125_M,125,3,M,HFHS,Vehicle,22,2.03,9.38
HFHS_CT_C4_L126_F,126,4,F,HFHS,Vehicle,22,2.4,11.08
HFHS_CT_C4_L126_F,126,4,M,HFHS,Vehicle,22,2.03,9.35
HFHS_FOS+GOS_C1_L106_F,106,1,F,HFHS,FOS+GOS,22,2.57,11.85
HFHS_FOS+GOS_C1_L106_M,106,1,M,HFHS,FOS+GOS,22,2.3,10.61
HFHS_FOS+GOS_C2_L124_F,124,2,F,HFHS,FOS+GOS,22,2.3,10.61
HFHS_FOS+GOS_C2_L124_M,124,2,M,HFHS,FOS+GOS,22,2.18,10.04
HFHS_FOS+GOS_C2_L119_F,119,2,F,HFHS,FOS+GOS,22,2,9.23
HFHS_FOS+GOS_C2_L119_M,119,2,M,HFHS,FOS+GOS,22,2.75,12.69
HFHS_FOS+GOS_C2_L128_F,128,2,F,HFHS,FOS+GOS,22,2.43,11.23
HFHS_FOS+GOS_C2_L128_M,128,2,M,HFHS,FOS+GOS,22,1.34,6.18
HFHS_FOS+GOS_C3_L114_F,114,3,F,HFHS,FOS+GOS,22,2.4,11.08
HFHS_FOS+GOS_C3_L114_M,114,3,M,HFHS,FOS+GOS,22,2.23,10.31
HFHS_1472_C1_L115_F,115,1,F,HFHS,1472,22,1.58,7.27
HFHS_1472_C1_L115_M,115,1,M,HFHS,1472,22,1.5,6.92
HFHS_1472_C1_L111_F,111,1,F,HFHS,1472,22,2.65,12.23
HFHS_1472_C1_L111_M,111,1,M,HFHS,1472,22,3.65,16.84
HFHS_1472_C2_L120_F,120,2,F,HFHS,1472,22,0.6,2.77
HFHS_1472_C2_L127_F,127,2,F,HFHS,1472,22,2.05,9.46
HFHS_1472_C2_L127_M,127,2,M,HFHS,1472,22,2.25,10.38
HFHS_1472_C4_L116_F,116,4,F,HFHS,1472,22,2.3,10.61
HFHS_1472_C4_L116_M,116,4,M,HFHS,1472,22,2.17,10
HFHS_1472_C5_L130_F,130,5,F,HFHS,1472,22,1.95,9
HFHS_1472_C5_L130_M,130,5,M,HFHS,1472,22,2.05,9.46
CT_CT_C1_L105_F,105,1,F,Control,Vehicle,23,2.1,7.6
CT_CT_C1_L105_M,105,1,M,Control,Vehicle,23,0.3,1.1
CT_CT_C1_L104_F,104,1,F,Control,Vehicle,23,1.5,5.4
CT_CT_C1_L104_M,104,1,M,Control,Vehicle,23,1.87,6.8
CT_CT_C2_L117_F,117,2,F,Control,Vehicle,23,,0
CT_CT_C2_L117_M,117,2,M,Control,Vehicle,23,2.5,9.1
CT_CT_C2_L122_F,122,2,F,Control,Vehicle,23,2.57,9.3
CT_CT_C4_L129_F,129,4,F,Control,Vehicle,23,2.87,10.4
CT_CT_C4_L129_M,129,4,M,Control,Vehicle,23,2.18,7.9
CT_CT_C4_L113_F,113,4,F,Control,Vehicle,23,1.27,4.6
CT_CT_C4_L113_M,113,4,M,Control,Vehicle,23,1.9,6.9
HFHS_CT_C1_L110_M,110,1,M,HFHS,Vehicle,23,1.96,9.0454
HFHS_CT_C1_L107_M,107,1,M,HFHS,Vehicle,23,1.5,6.92
HFHS_CT_C2_L121_F,121,2,F,HFHS,Vehicle,23,1.13,5.23
HFHS_CT_C2_L123_F,123,2,F,HFHS,Vehicle,23,2.55,11.77
HFHS_CT_C2_L123_M,123,2,M,HFHS,Vehicle,23,1.85,8.54
HFHS_CT_C2_L121_M,121,2,M,HFHS,Vehicle,23,2.15,9.92
HFHS_CT_C3_L125.1_F,125.1,3,F,HFHS,Vehicle,23,1.67,7.69
HFHS_CT_C3_L125.2_F,125.2,3,F,HFHS,Vehicle,23,2.2,10.15
HFHS_CT_C3_L125_M,125,3,M,HFHS,Vehicle,23,2.5,11.54
HFHS_CT_C4_L126_F,126,4,F,HFHS,Vehicle,23,1.97,9.08
HFHS_CT_C4_L126_F,126,4,M,HFHS,Vehicle,23,2.13,9.81
HFHS_FOS+GOS_C1_L106_F,106,1,F,HFHS,FOS+GOS,23,4.3,19.84
HFHS_FOS+GOS_C1_L106_M,106,1,M,HFHS,FOS+GOS,23,1.73,8
HFHS_FOS+GOS_C2_L124_F,124,2,F,HFHS,FOS+GOS,23,1.83,8.46
HFHS_FOS+GOS_C2_L124_M,124,2,M,HFHS,FOS+GOS,23,1.95,9
HFHS_FOS+GOS_C2_L119_F,119,2,F,HFHS,FOS+GOS,23,1.9,8.77
HFHS_FOS+GOS_C2_L119_M,119,2,M,HFHS,FOS+GOS,23,1.85,8.54
HFHS_FOS+GOS_C2_L128_F,128,2,F,HFHS,FOS+GOS,23,1.73,8
HFHS_FOS+GOS_C2_L128_M,128,2,M,HFHS,FOS+GOS,23,1.64,7.57
HFHS_FOS+GOS_C3_L114_F,114,3,F,HFHS,FOS+GOS,23,4.9,22.61
HFHS_FOS+GOS_C3_L114_M,114,3,M,HFHS,FOS+GOS,23,2.5,11.54
HFHS_1472_C1_L115_F,115,1,F,HFHS,1472,23,1.73,7.96
HFHS_1472_C1_L115_M,115,1,M,HFHS,1472,23,2.45,11.31
HFHS_1472_C1_L111_F,111,1,F,HFHS,1472,23,2.05,9.46
HFHS_1472_C1_L111_M,111,1,M,HFHS,1472,23,1.7,7.85
HFHS_1472_C2_L120_F,120,2,F,HFHS,1472,23,1.03,4.73
HFHS_1472_C2_L127_F,127,2,F,HFHS,1472,23,2.25,10.38
HFHS_1472_C2_L127_M,127,2,M,HFHS,1472,23,2,9.23
HFHS_1472_C4_L116_F,116,4,F,HFHS,1472,23,2.57,11.85
HFHS_1472_C4_L116_M,116,4,M,HFHS,1472,23,2.3,10.61
HFHS_1472_C5_L130_F,130,5,F,HFHS,1472,23,2.23,10.27
HFHS_1472_C5_L130_M,130,5,M,HFHS,1472,23,1.85,8.54
CT_CT_C1_L105_F,105,1,F,Control,Vehicle,24,2.55,9.3
CT_CT_C1_L105_M,105,1,M,Control,Vehicle,24,1.2,4.4
CT_CT_C1_L104_F,104,1,F,Control,Vehicle,24,2,7.3
CT_CT_C1_L104_M,104,1,M,Control,Vehicle,24,2.13,7.7
CT_CT_C2_L117_F,117,2,F,Control,Vehicle,24,,
CT_CT_C2_L117_M,117,2,M,Control,Vehicle,24,1.8,6.5
CT_CT_C2_L122_F,122,2,F,Control,Vehicle,24,2.4,8.7
CT_CT_C4_L129_F,129,4,F,Control,Vehicle,24,1.03,3.8
CT_CT_C4_L129_M,129,4,M,Control,Vehicle,24,1.58,5.7
CT_CT_C4_L113_F,113,4,F,Control,Vehicle,24,1.83,6.7
CT_CT_C4_L113_M,113,4,M,Control,Vehicle,24,1.58,5.7
HFHS_CT_C1_L110_M,110,1,M,HFHS,Vehicle,24,2.02,9.3223
HFHS_CT_C1_L107_M,107,1,M,HFHS,Vehicle,24,2,9.23
HFHS_CT_C2_L121_F,121,2,F,HFHS,Vehicle,24,0.97,4.46
HFHS_CT_C2_L123_F,123,2,F,HFHS,Vehicle,24,1.8,8.31
HFHS_CT_C2_L123_M,123,2,M,HFHS,Vehicle,24,1.93,8.88
HFHS_CT_C2_L121_M,121,2,M,HFHS,Vehicle,24,2.05,9.46
HFHS_CT_C3_L125.1_F,125.1,3,F,HFHS,Vehicle,24,1.93,8.92
HFHS_CT_C3_L125.2_F,125.2,3,F,HFHS,Vehicle,24,2.17,10
HFHS_CT_C3_L125_M,125,3,M,HFHS,Vehicle,24,1.47,6.77
HFHS_CT_C4_L126_F,126,4,F,HFHS,Vehicle,24,2.53,11.69
HFHS_CT_C4_L126_F,126,4,M,HFHS,Vehicle,24,2.5,11.54
HFHS_FOS+GOS_C1_L106_F,106,1,F,HFHS,FOS+GOS,24,3.07,14.15
HFHS_FOS+GOS_C1_L106_M,106,1,M,HFHS,FOS+GOS,24,2.13,9.85
HFHS_FOS+GOS_C2_L124_F,124,2,F,HFHS,FOS+GOS,24,2.93,13.54
HFHS_FOS+GOS_C2_L124_M,124,2,M,HFHS,FOS+GOS,24,1.9,8.77
HFHS_FOS+GOS_C2_L119_F,119,2,F,HFHS,FOS+GOS,24,1.63,7.5
HFHS_FOS+GOS_C2_L119_M,119,2,M,HFHS,FOS+GOS,24,2.2,10.15
HFHS_FOS+GOS_C2_L128_F,128,2,F,HFHS,FOS+GOS,24,2.1,9.69
HFHS_FOS+GOS_C2_L128_M,128,2,M,HFHS,FOS+GOS,24,1.76,8.12
HFHS_FOS+GOS_C3_L114_F,114,3,F,HFHS,FOS+GOS,24,3.3,15.23
HFHS_FOS+GOS_C3_L114_M,114,3,M,HFHS,FOS+GOS,24,2.47,11.38
HFHS_1472_C1_L115_F,115,1,F,HFHS,1472,24,1.93,8.88
HFHS_1472_C1_L115_M,115,1,M,HFHS,1472,24,2,9.23
HFHS_1472_C1_L111_F,111,1,F,HFHS,1472,24,2.15,9.92
HFHS_1472_C1_L111_M,111,1,M,HFHS,1472,24,2,9.23
HFHS_1472_C2_L120_F,120,2,F,HFHS,1472,24,0.75,3.46
HFHS_1472_C2_L127_F,127,2,F,HFHS,1472,24,2.3,10.61
HFHS_1472_C2_L127_M,127,2,M,HFHS,1472,24,2.25,10.38
HFHS_1472_C4_L116_F,116,4,F,HFHS,1472,24,1.87,8.61
HFHS_1472_C4_L116_M,116,4,M,HFHS,1472,24,1.83,8.46
HFHS_1472_C5_L130_F,130,5,F,HFHS,1472,24,,
HFHS_1472_C5_L130_M,130,5,M,HFHS,1472,24,,
CT_CT_C1_L105_F,105,1,F,Control,Vehicle,25,2,7.3
CT_CT_C1_L105_M,105,1,M,Control,Vehicle,25,1.7,6.2
CT_CT_C1_L104_F,104,1,F,Control,Vehicle,25,2.4,8.7
CT_CT_C1_L104_M,104,1,M,Control,Vehicle,25,2.23,8.1
CT_CT_C2_L117_F,117,2,F,Control,Vehicle,25,1.6,5.8
CT_CT_C2_L117_M,117,2,M,Control,Vehicle,25,2.43,8.8
CT_CT_C2_L122_F,122,2,F,Control,Vehicle,25,1.87,6.8
CT_CT_C4_L129_F,129,4,F,Control,Vehicle,25,2.33,8.5
CT_CT_C4_L129_M,129,4,M,Control,Vehicle,25,1.83,6.6
CT_CT_C4_L113_F,113,4,F,Control,Vehicle,25,1.9,6.9
CT_CT_C4_L113_M,113,4,M,Control,Vehicle,25,1.64,6
HFHS_CT_C1_L110_M,110,1,M,HFHS,Vehicle,25,2.3,10.6145
HFHS_CT_C1_L107_M,107,1,M,HFHS,Vehicle,25,2.4,11.08
HFHS_CT_C2_L121_F,121,2,F,HFHS,Vehicle,25,1.73,8
HFHS_CT_C2_L123_F,123,2,F,HFHS,Vehicle,25,1.9,8.77
HFHS_CT_C2_L123_M,123,2,M,HFHS,Vehicle,25,1.8,8.31
HFHS_CT_C2_L121_M,121,2,M,HFHS,Vehicle,25,2.38,10.96
HFHS_CT_C3_L125.1_F,125.1,3,F,HFHS,Vehicle,25,1.8,8.31
HFHS_CT_C3_L125.2_F,125.2,3,F,HFHS,Vehicle,25,2.17,10
HFHS_CT_C3_L125_M,125,3,M,HFHS,Vehicle,25,2.13,9.85
HFHS_CT_C4_L126_F,126,4,F,HFHS,Vehicle,25,2.1,9.69
HFHS_CT_C4_L126_F,126,4,M,HFHS,Vehicle,25,1.63,7.5
HFHS_FOS+GOS_C1_L106_F,106,1,F,HFHS,FOS+GOS,25,0.53,2.46
HFHS_FOS+GOS_C1_L106_M,106,1,M,HFHS,FOS+GOS,25,2.3,10.61
HFHS_FOS+GOS_C2_L124_F,124,2,F,HFHS,FOS+GOS,25,1.37,6.31
HFHS_FOS+GOS_C2_L124_M,124,2,M,HFHS,FOS+GOS,25,1.7,7.85
HFHS_FOS+GOS_C2_L119_F,119,2,F,HFHS,FOS+GOS,25,1.83,8.42
HFHS_FOS+GOS_C2_L119_M,119,2,M,HFHS,FOS+GOS,25,2.4,11.08
HFHS_FOS+GOS_C2_L128_F,128,2,F,HFHS,FOS+GOS,25,1.83,8.46
HFHS_FOS+GOS_C2_L128_M,128,2,M,HFHS,FOS+GOS,25,1.84,8.49
HFHS_FOS+GOS_C3_L114_F,114,3,F,HFHS,FOS+GOS,25,3.2,14.77
HFHS_FOS+GOS_C3_L114_M,114,3,M,HFHS,FOS+GOS,25,2.43,11.23
HFHS_1472_C1_L115_F,115,1,F,HFHS,1472,25,1.7,7.85
HFHS_1472_C1_L115_M,115,1,M,HFHS,1472,25,2.05,9.46
HFHS_1472_C1_L111_F,111,1,F,HFHS,1472,25,2.25,10.38
HFHS_1472_C1_L111_M,111,1,M,HFHS,1472,25,2,9.23
HFHS_1472_C2_L120_F,120,2,F,HFHS,1472,25,1.13,5.19
HFHS_1472_C2_L127_F,127,2,F,HFHS,1472,25,1.7,7.85
HFHS_1472_C2_L127_M,127,2,M,HFHS,1472,25,2.18,10.04
HFHS_1472_C4_L116_F,116,4,F,HFHS,1472,25,2.47,11.38
HFHS_1472_C4_L116_M,116,4,M,HFHS,1472,25,2.1,9.69
HFHS_1472_C5_L130_F,130,5,F,HFHS,1472,25,3.68,16.96
HFHS_1472_C5_L130_M,130,5,M,HFHS,1472,25,2.35,10.85
CT_CT_C1_L105_F,105,1,F,Control,Vehicle,26,2.3,8.3
CT_CT_C1_L105_M,105,1,M,Control,Vehicle,26,1.46,5.3
CT_CT_C1_L104_F,104,1,F,Control,Vehicle,26,1.93,7
CT_CT_C1_L104_M,104,1,M,Control,Vehicle,26,2.13,7.7
CT_CT_C2_L117_F,117,2,F,Control,Vehicle,26,1.95,7.1
CT_CT_C2_L117_M,117,2,M,Control,Vehicle,26,1,3.6
CT_CT_C2_L122_F,122,2,F,Control,Vehicle,26,1.87,6.8
CT_CT_C4_L129_F,129,4,F,Control,Vehicle,26,1.23,4.5
CT_CT_C4_L129_M,129,4,M,Control,Vehicle,26,1.53,5.5
CT_CT_C4_L113_F,113,4,F,Control,Vehicle,26,1.37,5
CT_CT_C4_L113_M,113,4,M,Control,Vehicle,26,2.18,7.9
HFHS_CT_C1_L110_M,110,1,M,HFHS,Vehicle,26,2.3,10.6145
HFHS_CT_C1_L107_M,107,1,M,HFHS,Vehicle,26,1.93,8.92
HFHS_CT_C2_L121_F,121,2,F,HFHS,Vehicle,26,1.67,7.69
HFHS_CT_C2_L123_F,123,2,F,HFHS,Vehicle,26,3.05,14.08
HFHS_CT_C2_L123_M,123,2,M,HFHS,Vehicle,26,2,9.23
HFHS_CT_C2_L121_M,121,2,M,HFHS,Vehicle,26,3.3,15.23
HFHS_CT_C3_L125.1_F,125.1,3,F,HFHS,Vehicle,26,1.97,9.08
HFHS_CT_C3_L125.2_F,125.2,3,F,HFHS,Vehicle,26,1.63,7.54
HFHS_CT_C3_L125_M,125,3,M,HFHS,Vehicle,26,2.33,10.77
HFHS_CT_C4_L126_F,126,4,F,HFHS,Vehicle,26,2.2,10.15
HFHS_CT_C4_L126_F,126,4,M,HFHS,Vehicle,26,2.43,11.19
HFHS_FOS+GOS_C1_L106_F,106,1,F,HFHS,FOS+GOS,26,0.93,4.31
HFHS_FOS+GOS_C1_L106_M,106,1,M,HFHS,FOS+GOS,26,2.63,12.15
HFHS_FOS+GOS_C2_L124_F,124,2,F,HFHS,FOS+GOS,26,2.17,10
HFHS_FOS+GOS_C2_L124_M,124,2,M,HFHS,FOS+GOS,26,1.8,8.31
HFHS_FOS+GOS_C2_L119_F,119,2,F,HFHS,FOS+GOS,26,1.9,8.77
HFHS_FOS+GOS_C2_L119_M,119,2,M,HFHS,FOS+GOS,26,2.4,11.08
HFHS_FOS+GOS_C2_L128_F,128,2,F,HFHS,FOS+GOS,26,1.9,8.77
HFHS_FOS+GOS_C2_L128_M,128,2,M,HFHS,FOS+GOS,26,2.28,10.52
HFHS_FOS+GOS_C3_L114_F,114,3,F,HFHS,FOS+GOS,26,3.9,18
HFHS_FOS+GOS_C3_L114_M,114,3,M,HFHS,FOS+GOS,26,3.17,14.61
HFHS_1472_C1_L115_F,115,1,F,HFHS,1472,26,1.83,8.42
HFHS_1472_C1_L115_M,115,1,M,HFHS,1472,26,1.95,9
HFHS_1472_C1_L111_F,111,1,F,HFHS,1472,26,2.1,9.69
HFHS_1472_C1_L111_M,111,1,M,HFHS,1472,26,2.4,11.08
HFHS_1472_C2_L120_F,120,2,F,HFHS,1472,26,1.38,6.35
HFHS_1472_C2_L127_F,127,2,F,HFHS,1472,26,1.8,8.31
HFHS_1472_C2_L127_M,127,2,M,HFHS,1472,26,2.65,12.23
HFHS_1472_C4_L116_F,116,4,F,HFHS,1472,26,1.8,8.31
HFHS_1472_C4_L116_M,116,4,M,HFHS,1472,26,2.37,10.92
HFHS_1472_C5_L130_F,130,5,F,HFHS,1472,26,0.2,0.92
HFHS_1472_C5_L130_M,130,5,M,HFHS,1472,26,1.85,8.54
CT_CT_C1_L105_F,105,1,F,Control,Vehicle,27,1.45,5.3
CT_CT_C1_L105_M,105,1,M,Control,Vehicle,27,1.96,7.1
CT_CT_C1_L104_F,104,1,F,Control,Vehicle,27,2.07,7.5
CT_CT_C1_L104_M,104,1,M,Control,Vehicle,27,2,7.3
CT_CT_C2_L117_F,117,2,F,Control,Vehicle,27,2.35,8.5
CT_CT_C2_L117_M,117,2,M,Control,Vehicle,27,1.83,6.7
CT_CT_C2_L122_F,122,2,F,Control,Vehicle,27,2.1,7.6
CT_CT_C4_L129_F,129,4,F,Control,Vehicle,27,2.23,8.1
CT_CT_C4_L129_M,129,4,M,Control,Vehicle,27,2.23,8.1
CT_CT_C4_L113_F,113,4,F,Control,Vehicle,27,1.43,5.2
CT_CT_C4_L113_M,113,4,M,Control,Vehicle,27,1.84,6.7
HFHS_CT_C1_L110_M,110,1,M,HFHS,Vehicle,27,4.9,22.6135
HFHS_CT_C1_L107_M,107,1,M,HFHS,Vehicle,27,2.07,9.54
HFHS_CT_C2_L121_F,121,2,F,HFHS,Vehicle,27,1.93,8.92
HFHS_CT_C2_L123_F,123,2,F,HFHS,Vehicle,27,1.8,8.31
HFHS_CT_C2_L123_M,123,2,M,HFHS,Vehicle,27,2.2,10.15
HFHS_CT_C2_L121_M,121,2,M,HFHS,Vehicle,27,2.78,12.81
HFHS_CT_C3_L125.1_F,125.1,3,F,HFHS,Vehicle,27,2.4,11.08
HFHS_CT_C3_L125.2_F,125.2,3,F,HFHS,Vehicle,27,2.63,12.15
HFHS_CT_C3_L125_M,125,3,M,HFHS,Vehicle,27,3,13.85
HFHS_CT_C4_L126_F,126,4,F,HFHS,Vehicle,27,3.9,18
HFHS_CT_C4_L126_F,126,4,M,HFHS,Vehicle,27,2.73,12.58
HFHS_FOS+GOS_C1_L106_F,106,1,F,HFHS,FOS+GOS,27,0.97,4.46
HFHS_FOS+GOS_C1_L106_M,106,1,M,HFHS,FOS+GOS,27,3,13.85
HFHS_FOS+GOS_C2_L124_F,124,2,F,HFHS,FOS+GOS,27,2.5,11.54
HFHS_FOS+GOS_C2_L124_M,124,2,M,HFHS,FOS+GOS,27,1.9,8.77
HFHS_FOS+GOS_C2_L119_F,119,2,F,HFHS,FOS+GOS,27,3.08,14.19
HFHS_FOS+GOS_C2_L119_M,119,2,M,HFHS,FOS+GOS,27,2.35,10.85
