Name,Cage/Litter,Mouse_ID,Cohort,Sex,Diet,Treatment,gonWAT,MesWAT,BAT,Liver,Caecum,SmallIntestine,Colon,GonWAT_BW,MesWAT_BW,BAT_BW,Liver_BW,Caecum_BW,SmallIntestine_BW,Colon_BW
CT_CT_C1_L105_P101_F,105,101,1,F,Control,Vehicle,0.2952,0.166,0.0936,0.8803,0.1599,33,7,0.01295,0.00728,0.00411,0.03861,0.00701,1.44737,0.30702
CT_CT_C1_L105_P105_M,105,105,1,M,Control,Vehicle,0.2341,0.1036,0.06,0.9018,0.2706,33,6.3,0.00897,0.00397,0.0023,0.03455,0.01037,1.26437,0.24138
CT_CT_C1_L105_P106_M,105,106,1,M,Control,Vehicle,0.2603,0.1103,0.0651,0.906,0.2616,33.5,7,0.00964,0.00409,0.00241,0.03356,0.00969,1.24074,0.25926
CT_CT_C1_L104_P115_F,104,115,1,F,Control,Vehicle,0.0814,0.0458,0.0432,0.744,0.198,31.5,5.8,0.0046,0.00259,0.00244,0.04203,0.01119,1.77966,0.32768
CT_CT_C1_L104_P116_M,104,116,1,M,Control,Vehicle,0.2328,0.1102,0.0685,0.6465,0.188,31,6.4,0.01021,0.00483,0.003,0.02836,0.00825,1.35965,0.2807
CT_CT_C2_L117_P201_F,117,201,2,F,Control,Vehicle,0.219,,0.0587,0.7399,0.1617,29,6,0.01165,,0.00312,0.03936,0.0086,1.54255,0.31915
CT_CT_C2_L122_P208_F,122,208,2,F,Control,Vehicle,0.1664,0.1058,0.061,0.8803,0.3034,33,6,0.00808,0.00514,0.00296,0.04273,0.01473,1.60194,0.29126
CT_CT_C2_L117_P209_M,117,209,2,M,Control,Vehicle,0.2337,0.0972,0.0729,0.8108,0.4657,35,6.4,0.00844,0.00351,0.00263,0.02927,0.01681,1.26354,0.23105
CT_CT_C4_L129_P401_F,129,401,4,F,Control,Vehicle,0.2661,0.181,0.0713,1.0016,0.2708,32,6.3,0.01261,0.00858,0.00338,0.04747,0.01283,1.51659,0.29858
CT_CT_C4_L129_P405_M,129,405,4,M,Control,Vehicle,0.1676,0.0586,0.0669,0.9394,0.3043,34,6.8,0.0064,0.00224,0.00255,0.03585,0.01161,1.29771,0.25954
CT_CT_C4_L113_P408_F,113,408,4,F,Control,Vehicle,0.1346,0.121,0.0561,0.5889,0.2166,32,6.3,0.00673,0.00605,0.00281,0.02945,0.01083,1.6,0.315
