"module_number"	"module_name"	"x101w10"	"x101w5"	"x102w10"	"x102w5"	"x103w10"	"x103w5"	"x104w10"	"x104w5"	"x105w10"	"x105w5"	"x106w10"	"x106w5"	"x109w10"	"x109w5"	"x110w10"	"x110w5"	"x113w10"	"x113w5"	"x115w10"	"x116w10"	"x116w5"	"x117w10"	"x117w5"	"x119w10"	"x119w5"	"x121w10"	"x121w5"	"x122w10"	"x122w5"	"x124w10"	"x124w5"	"x125w10"	"x125w5"	"x126w10"	"x126w5"	"x128w10"	"x128w5"	"x130w10"	"x130w5"	"x131w10"	"x131w5"	"x132w10"	"x132w5"	"x133w10"	"x133w5"	"x134w10"	"x134w5"	"x135w10"	"x135w5"	"x136w10"	"x136w5"	"x137w10"	"x137w5"	"x201w10"	"x201w5"	"x202w10"	"x202w5"	"x204w10"	"x204w5"	"x207w10"	"x207w5"	"x208w10"	"x208w5"	"x209w10"	"x209w5"	"x211w10"	"x211w5"	"x212w10"	"x212w5"	"x213w10"	"x213w5"	"x216w10"	"x216w5"	"x217w10"	"x217w5"	"x218w10"	"x218w5"	"x219w10"	"x219w5"	"x221w10"	"x221w5"	"x223w10"	"x223w5"	"x224w10"	"x224w5"	"x225w10"	"x225w5"	"x226w10"	"x226w5"	"x227w10"	"x227w5"	"x228w10"	"x228w5"	"x231w10"	"x231w5"	"x232w10"	"x232w5"	"x233w10"	"x233w5"	"x234w10"	"x234w5"	"x235w10"	"x235w5"	"x236w10"	"x236w5"	"x237w10"	"x237w5"	"x238w10"	"x238w5"	"x239w10"	"x239w5"	"x241w10"	"x243w10"	"x243w5"	"x245w10"	"x245w5"	"x246w10"	"x246w5"	"x247w10"	"x247w5"	"x248w10"	"x248w5"	"x250w10"	"x250w5"	"x251w10"	"x251w5"	"x252w10"	"x252w5"	"x302w10"	"x302w5"	"x303w10"	"x303w5"	"x304w10"	"x304w5"	"x305w10"	"x305w5"	"x306w10"	"x306w5"	"x308w10"	"x308w5"	"x310w10"	"x310w5"	"x311w5"	"x312w10"	"x312w5"	"x314w10"	"x314w5"	"x315w10"	"x315w5"	"x401w10"	"x401w5"	"x402w10"	"x402w5"	"x405w10"	"x405w5"	"x407w10"	"x407w5"	"x408w10"	"x408w5"	"x409w10"	"x409w5"	"x412w10"	"x412w5"	"x413w10"	"x413w5"	"x419w10"	"x419w5"	"x420w10"	"x420w5"	"x421w10"	"x421w5"	"x422w10"	"x423w10"	"x423w5"	"x435w10"	"x435w5"	"x436w10"	"x436w5"	"x438w10"	"x438w5"	"x439w10"	"x439w5"	"x501w10"	"x501w5"	"x503w10"	"x503w5"	"x506w10"	"x506w5"	"x104dam"	"x105dam"	"x106dam"	"x107dam"	"x110dam"	"x111dam"	"x113dam"	"x114dam"	"x115dam"	"x115w5repeat"	"x116dam"	"x117dam"	"x118dam"	"x119dam"	"x120dam"	"x121dam"	"x122dam"	"x123dam"	"x124dam"	"x125dam"	"x126dam"	"x127dam"	"x128dam"	"x129dam"	"x130dam"	"x131dam"	"x133dam"	"x135dam"	"x136dam"	"x241w5repeat"	"x311w10pos"	"x422w5repeat"	"x507w10"	"x507w5"	"x508w10"	"x508w5"	"xnegblank"
"MGB015"	"p-Cresol synthesis"	74220.06	64579.79	35904.96	52616.96	21870.71	15677.76	37184.94	28469.28	26993.42	47239.18	33776.93	19039.25	20260.09	25286.64	47710.14	37592.23	61444.95	24560.56	5732.27	23718.5	9332.18	6539.89	4647.46	40827.21	12569.33	14549.4	14248.4	18483.31	11302.12	29130.35	2840.72	21494.92	28562.29	14608.96	36681.04	17063.83	31529.99	19333.33	33848.75	16843.58	28283.01	18209.08	15409.25	13018.17	23788.25	25311.4	25871.41	30161.47	36467.52	34416.08	25583.16	54553.51	19746.33	2153.1	6697.5	33967.08	5405.15	9889.59	17816.57	14105.55	4541.25	21874.48	9637.6	5135.29	27243.75	31555.62	31657.73	21552.03	27003.32	10212.39	28431.68	12984.47	20227.97	30614.74	24148	11625.22	21377.71	24458.39	33847.95	7164.56	42768.43	12273.44	30782.04	59867.11	21324.13	75626.75	54854.1	10069.08	68421.89	45473.43	28218.86	25109.26	22331.53	17821.44	32427.8	54025.44	22325.76	40363.07	24909.89	40555.73	13939.19	6289.5	14278.53	23125.75	15021.26	10199.03	36941.51	49325.42	26302.64	45939.47	17002.27	70013.28	21899.4	17463.67	7043.41	16721.97	24041.3	15587.33	25028.75	14250.75	78079.79	16338.15	12258.87	10934.93	39194.21	12098.85	32439.97	24277.67	38944.07	49144.73	42073.33	37163.93	32908.38	16229.05	13140.71	17716.18	29534.03	18814.41	16012.97	29485.77	9138.11	26211.96	31917.14	5392.02	7410.61	3780.5	10131.09	5771.62	13086.94	13517.79	22069.12	10538.32	26515.6	16852.71	8863.31	19294.97	7688.91	15061.89	13665.92	68196.52	14678.32	58374.49	19238.08	23107.69	13527.34	17619.58	35165.61	26904.61	86289.46	15707.12	33224.22	21313.86	169836.86	24923.45	45858.72	33248.2	37233.95	29859.35	85314.84	25784.24	23249.18	17447.73	84996.38	32774.15	114016.6	29313.12	62210.95	19719.64	6349.59	9904.1	7525.61	11369.26	17329.56	14630.04	6694.34	34757.06	18251.51	9274.93	34050.82	8587.35	28580.47	8628.61	8900.2	9407.84	10274.89	17312.93	19818.94	14339.75	23671.08	7427.72	13732.83	10452.13	22729.96	6623.11	20301.48	16081.56	17233.89	6404.23	19547.45	15032.67	8259.22	9836.53	7021.73	12071.5	NA
"MGB037"	"Inositol synthesis"	77865.47	82855.2	50066.46	73037.46	29890.8	53224.67	76709.1	58950.87	70327.67	63055.93	103676.93	50148	79028	24862.23	180979.97	26944.56	80036.97	38260.4	7390.77	39578	20146.43	10321.56	15175.63	44431.3	9251.17	16070.9	14398.73	24396.47	14777.94	32339.36	3795.8	32129.5	48771.04	21597.54	42215.63	16144.33	28246.17	19705.33	31694.5	20535.33	22787.33	15973.17	20215.5	17687.67	32695.5	30265.9	18551	29354.97	28847.43	26172.33	19471	45022.67	17015.83	2194.6	15558.33	37384.83	10450.4	15198.76	28998.4	17088.3	14570	51497.73	28209.6	10532.87	66639.57	36325.03	31859.07	22778.7	15154.57	6960.73	17815	16443.63	19693.4	26722.83	29196	20841.47	16566.37	29346.37	35967.63	7597.13	37593.5	21211.77	29815.8	104340.44	23077.3	97572.33	52199.26	17668.83	67123.8	68867.77	34599.69	30545.27	19583.13	21639.03	37144.8	54650.02	19959.76	56402.9	24793.89	60032.73	20030.51	9516.84	22726.37	29720	15697.5	10582.2	31580.67	52241	25465.23	108626.8	24592.03	101372.94	37890.73	11672.17	4471.67	13229.97	19457.47	9805.33	20623.07	18522.33	85383.7	14024.4	12386.03	9633.27	42511.3	11106.6	36197.63	21738.47	49549.4	27376.07	31515	24957.03	26912.3	9765.3	27421.7	9320.77	26649.53	11535.76	20975.64	32687.77	8608.44	25028.8	40166.3	11059.1	17583.53	7318.5	32401	9685.03	44285.03	12827.3	22620.04	18369.16	26198.6	29938.54	48532.9	16388.23	32506.74	19861.14	36288.17	91945.27	14768.83	76699.83	53188.83	28128.01	40515.67	20112.83	16896.27	25696.27	59306.3	15611.53	18416.97	19904.27	177341.7	14743.7	52334.97	18237.43	79674.44	22657.6	95300.5	19545.9	33924.6	13794.23	90267.2	27824.4	123223.26	21997.87	87703.13	14802.8	23069.41	19218.19	14219.27	9700.17	11584.31	12190.7	15002.17	37601.23	10290.57	14720.43	24262.73	19574.53	31883.47	16934.43	4820.77	9510.76	21094.97	11602.93	26701.87	7929.16	19483.5	4479.14	15269	24348.87	17802.21	20442.69	13685.9	9559.99	20720.64	10980.07	27310.04	12954.83	9264.97	7372.53	11326.07	8884	NA
"MGB016"	"p-Cresol degradation"	5	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MGB038"	"Inositol degradation"	2623.65	2401.85	2889.48	2142.23	3500.9	2355.25	8095.05	3793.6	5589.2	3583.55	3920.05	2090	7565.5	7984.7	20728.9	7728.7	7414.82	1520.2	681.8	9300	4073.3	2338.2	2152.9	5650.15	837.75	2075.12	775.45	104.9	156.47	376.1	25.4	963	1065.77	385.35	1243.4	3073.5	1805.5	5483	2695	5132.5	1499	3424	11117.5	7604	12399	10296.2	1574	6489.9	3235.3	5781.5	1182	11064	1072.5	357.3	1684.5	7686.5	841.7	1839.3	1516.2	1031.57	789.5	2016.2	2142.3	759.1	6041.2	10961.6	3732.7	4103.1	1719.2	1676.7	1941	5426.9	4257.7	7093	4956	3275.9	4883.6	9961.6	3826.4	2189.4	4897.5	169.8	1816.73	635.47	1554.57	1235.83	4723.63	220.25	3990.23	461.97	5500.43	402.72	835.32	716.6	2377.57	4078.38	1717.63	2298.2	2130.53	5942.7	1552	360.17	1287.6	612.5	801.5	438.1	4169.17	1110	3133.03	1126.15	1604.93	1081.3	698.7	51.5	32.67	1893.4	101.57	78	3048.37	2365.5	9789.1	1829.7	2570.1	1619.8	7106.9	1797.3	7502.9	3357	9880.7	1572.45	6637.5	5981.35	7091.4	1064.9	4113.35	892.8	2994.85	1351.55	4905.9	2024.3	1695.3	2026.15	189.9	170.3	687.6	121	1665.5	218.1	547.1	2786.4	4419.6	2622	3615.3	7921.1	5057.7	3595.2	2902.2	4689.57	2451.5	23614.3	2381.5	18966.5	3401.5	7482.92	4353	6596	2749.8	5156.47	5373.9	4789.1	3027.9	2127.47	16928.35	1416.6	13225.57	2982.63	11487.3	1957.8	12357.33	801.7	6787.8	1356.2	11517.27	4449.45	11323.88	3626.6	31106.9	2738.65	632.7	1498.1	334.3	3708	1632.15	1394.1	708.25	775.2	1622.45	543.8	1571.7	1815.6	67.9	245.8	781.05	703.3	2158.15	640.8	491.1	810	439.75	519.9	699	2006.6	441.35	3170.26	2399.2	936.5	304.9	973.2	597.6	1030.25	2186.9	1145.6	4195.45	1626.25	NA
"MGB039"	"g-Hydroxybutyric acid (GHB) degradation"	170	493	12	38.33	66	26	66	161	41	436	121	31	186	120	614.67	745.33	818.67	301	82	403	278	240.33	173.33	69	8	39.17	498.33	18	64.67	19.33	6.33	64.67	444.67	4.67	364	42	43	43	45	139	40	125	18	16	NA	50	30	129	18	162	26	634	9	19.67	156.33	505	233	70.33	193.67	47.17	7	30	4	50.67	560	263	479	356.33	420	191	401	340	575	558	746	103	336	230	26	117	50	15.67	1486.5	127	730.5	403	4211.83	25	2507.83	34.67	4550.66	93	460.5	209	707.17	783.5	1294.83	930.67	726.49	2550.66	551.34	148.67	1086.5	212.5	93.67	315.33	3905.67	576.17	1617.83	505.67	913.66	224.34	494.33	NA	15	28	66	11	86.67	1869.83	134	171	82	87	190	102	186.5	166	196.33	28	685.33	387.33	722.33	120	153	100	134	189.33	60.67	14	63.67	6	24	44.33	229.33	40	45	30	26	384.33	487.67	297.66	240	94.67	174	298.83	242.67	346.51	292	1154.5	447.33	1337	706	353.01	404.67	2.5	NA	84.67	8	42	NA	218.67	433.5	NA	476.67	442.83	529.67	185	512.83	186	409.33	148	132.17	6	495.33	NA	170	22	179.34	275	15.84	171	407.34	26	198.67	11.67	45.67	104	483	198.66	5	13	138.34	31.33	264.67	58	18	244.66	102.33	55.67	54.67	222.01	187.34	163.33	51.67	170	14	85	60	12	59	5	20	28	NA
"MGB033"	"Quinolinic acid degradation"	208839.47	180087.56	101876.35	138932.35	98199.44	92927.27	166512.91	126513.05	161089.76	131304.64	267542.39	93488.75	177069.26	85877.83	412272.71	114200.59	215493.51	84897.59	19665.91	93292	50289.64	30994.08	32224.69	124171.44	29411	44004.43	32637.1	45146.22	28809.77	63703.27	9017.46	71920.75	105837.9	42750.57	111644.43	56136.99	99419.99	73836.99	89589.75	60569.74	74601.51	70360.75	93171.25	61013.51	116380.25	105324.6	104299.24	118882.21	119167.65	108991.24	68753.99	181615.52	48047.99	5271.39	39306.5	105059.74	28757.85	37067.88	62216.1	44157.78	28815.25	105491.84	59197.4	23886.56	141169.13	109760.55	93008.1	80697.3	74354.86	28565.08	77187.52	44554.7	67093.33	93117.73	82378.5	51541.46	86964.32	105401.34	81151.17	29808.46	125868.27	42995.41	71616.6	191707.26	60761.03	201061.41	120445.06	34108.74	181526.63	144559.23	94710.45	82897.23	59200.25	47183.03	76654.53	118563.33	59388.05	96906.1	80529.75	130821.1	60864.04	18974.84	57370.8	57269.25	43508.26	24469.3	92268.35	122500.25	76438	201010.7	57193.7	224962.42	78336.6	40551.01	17628.08	62385.21	71189.54	43671.49	73022.96	47141.75	176482.56	53608.85	50925.3	35579.9	162014.44	35954.65	115687.7	77785.31	129160.61	118287.6	142465.5	102985.02	116073.95	45339.95	61203.04	46281.15	79159.79	67841.86	59027.71	83720.69	31868.42	67116.19	75048.21	22546.66	44256.04	15811	74064.76	20827.05	82519.53	54022.19	89561.06	51515.48	104242.4	85242.82	97384.34	80566.83	64261.12	70997.29	77008.26	283740.66	60236.48	235782.48	130084.74	95076.37	91944.01	65913.24	84777.42	106103.75	296321.69	70578.05	79974.96	56062	403592.29	87488.05	148143.29	130632.34	181485.43	98088.15	249106.18	70482.61	87615.65	51995.09	216139.15	95434.35	254800.56	81058.56	268311.17	68349.71	40673.14	51296.02	34274.41	35376.77	54530.47	43743.81	42884.51	66226.08	48643.39	27448.39	96177.35	44563.28	51003.21	36959.91	38872.67	45851.13	55406.96	42126.89	49643.54	59634.75	53093.75	26380.96	36832.99	54655.56	49152.07	49337.71	62492.34	34729.21	37147.97	29293.1	51738.06	41322	35119.46	35813.79	33916.6	37959	NA
"MGB055"	"Propionate synthesis III"	102871.96	122015.05	76384.19	94796.19	44900.7833333333	43524.9266666667	84511.2333333333	71110.06	64137.9266666667	102735.973333333	62954.89	44783.75	52164.5833333333	54501.6733333333	129353.376666667	69942.7466666667	108898.2	41647.1	10182.41	64758.5	27092.64	16807.58	12706.19	90476.6166666667	19743.51	30135.4233333333	20610.7566666667	32434.71	16108.91	51726.28	4177.78333333333	33731.25	48941.06	26548.07	44797.6066666667	31856.49	34485.01	45593.49	45973.75	43706.74	34556.49	32253.26	55337.25	41852.01	86617.25	68272.2666666667	35510.9166666667	57389.5433333333	57740.3066666667	52043.4066666667	35547.5	92355.3433333333	36275.49	3876.4	16513.99	63278.4066666667	10623.35	19003.5466666667	36027.2666666667	25182.44	8713.25	40317.5066666667	24001.7333333333	9687.22666666667	67868.2766666667	70731.04	56945.11	34123.3	30234.36	14816.4233333333	33642.8333333333	29382.3566666667	51079.85	50432.5733333333	57352.3333333333	27169.6266666667	37895.31	65380.4766666667	62957.3566666667	14575.2733333333	65757.9166666667	18193.41	42405.96	117147.076666667	28896.0233333333	115904.583333333	68875.2233333333	16408.24	75204.7933333333	67200.0666666667	34597.9466666667	26941.4	22718.43	22967.8733333333	55751.69	67707.67	21056.89	60112.6	23127.9133333333	40446.2566666667	15423.3633333333	7620.84333333333	14913.1433333333	35509.25	17492.0833333333	11594.1333333333	33230.1666666667	54778.75	26601.6833333333	66092.8666666667	22508.05	78866.5866666667	19854.09	27271.01	9204.25	25743.0433333333	36177.45	20303.99	33961.1	19007.4066666667	141730.716666667	26309.1833333333	23427.29	19477.41	72542.95	21564.65	67552.69	43570.51	73239.1	61427.61	62623.3333333333	53257.54	53750.95	18675.1166666667	25522.9666666667	21694.3266666667	47943.29	23678.88	34679.3866666667	40611.41	15268.42	46127.5333333333	53086.7	9831.65	14844.7066666667	6658.5	23258.25	8705.04	31654.8733333333	21699.2	38511.07	30547.3133333333	42117.9	63283.4866666667	34814.85	32960.84	22717.62	41189.7933333333	27477.5933333333	181806.826666667	25946.49	160210.49	44079.24	61920.02	44505.8433333333	44953.24	41817.91	43137.5666666667	118348.866666667	32530.04	38581.1266666667	33736.8166666667	301743.3	30833.2166666667	105637.45	41057.65	91779.42	44477.65	178588.51	39699.1	67019.65	28584.09	160121.956666667	55360.85	205175.223333333	46021.7266666667	197423.19	28858.5333333333	13229.2966666667	16140.02	8195.57666666667	12360.76	24175.48	22854.3	13695.3433333333	53040.9233333333	23907.36	18720.39	46303.1733333333	15696.4566666667	41443.3766666667	12991.39	7626.66	11773.4633333333	17084.7933333333	18740.2233333333	34223.7266666667	13691.73	33229.25	6910.30333333333	17024.5	24938.8933333333	32609.7466666667	18431.2166666667	25071.5166666667	21829.3866666667	27032.97	8636.11	35452.57	23068.3233333333	14531.2933333333	13700.4566666667	24951.4433333333	17249.1666666667	NA
"MGB034"	"Isovaleric acid synthesis I (KADH pathway)"	209119.36	176431.57	102414.08	142001.58	75271.93	89804.51	135369.62	116621.39	116334.01	118259.72	177382.22	92991.25	168957.67	75733.29	369599.61	96737.95	177333.27	88862.63	16255.54	89693.25	44507.61	27429.7	30673.59	110744.53	25523.09	34402.47	26561.01	37225.55	20711.1	54120.94	7053.79	55193.83	79943.66	33970.74	83623.85	48604.24	101713	57515.32	91872.5	50003.24	70904.5	57617.51	65692.5	45651.43	98624.25	79779.55	82077.08	103966.19	95319.36	85858.49	69658.33	148978.43	41256.99	4230.2	34903.41	85387.66	24788.55	29372.43	58396.47	35789.44	29563.75	77801.54	50583.45	17515.41	107747.23	83812.98	80371.72	76752.73	68284.39	24979.04	76055.59	39900.68	59486.51	78849.49	76574	36779.36	66541.08	77132	75427.17	21790.1	108146.09	32760.41	57057.69	161622.35	50504.12	160227.4	101326.21	27898.82	143576.62	113094.66	80305.1	53293.83	42456.6	32192.47	55723.69	91180.04	46450.79	75064.55	58182.32	101956.46	44906.28	13974.02	45327.32	40457.25	34900.25	17104.65	74370.6	83804	58837.7	132635.85	42737.37	139570.72	52610.46	37586.51	15223.34	48509.36	56115.36	36602.24	52194.32	39403.91	130834.07	42754.05	38705.98	27968.79	128936.18	28707.2	91272.68	60370.16	140479.05	111611.36	110944.08	93095.8	90829.43	48698.6	83219.24	43165.62	60120.14	58326.51	51270.78	108018.66	24670.47	76531.28	58646.12	18008.99	32926.79	12757.75	51632.17	16035.54	62566.45	41187.76	70779.58	43075.48	83209.7	73401.25	75100.88	60737.12	50217.65	57127.04	73537.34	237421.29	50369.57	192732.57	98280.99	76957.37	85578.01	52822.66	73937.71	84856.8	233507.93	50059.48	74578.94	41149.55	313989.48	70612.55	114681.78	93388.28	144578.47	75291.95	188908.83	60904.77	67654.28	45537.17	155637.58	78896.6	187240.85	62974.16	194779.42	57796.12	33229.58	45023.79	25426.49	45109.93	45394.29	39774.22	33142.26	48479.33	44419.62	27642.36	77056.46	46353.3	35546.63	24700.78	31512.3	33527.85	41044.86	36906.97	38943.14	45222.82	44123.25	20386.2	28403.91	43599.16	43519.08	34068.22	48748.63	34856.38	31812.62	19435.39	44685.49	32324.33	30746.69	29823.54	26104.97	31533.25	NA
"MGB056"	"Propionate degradation I"	874	2481	68	125	277	133.5	581.5	823	323	2206	409	161.5	267	92.5	453.5	281.5	2689	784	265	76	622	NA	NA	345.5	NA	13	6.5	51.5	37.5	10.5	19	32.5	43.5	16.5	67	NA	NA	NA	NA	695	30	NA	NA	NA	NA	1133	689	184	92	18.5	NA	299.5	14.5	NA	3	6.5	NA	2	78.5	31.5	NA	22	7	11	12.5	172	55	4.5	3	2.5	126.5	54	219	76	10	65.5	904.5	42.5	6.5	11.5	56	4.5	95.5	97	17.5	57.5	218.5	NA	398.5	15.5	119	69	231	64	16.5	170.25	63	1135	2.5	63.5	91	46	214	119	139	8	164	152.5	151.5	84.5	12	201.5	83.5	NA	NA	304	75	NA	30	62	57.5	37	NA	6	NA	10	2	22	21	NA	2236	4.5	786	333.5	812	88	159	126	179	6	319.5	85	38.5	12	6.5	3	3	NA	163	313.5	1354.5	70	913.5	140	22	468	46.5	67	4	124	553.5	66	149.5	285	66.5	7.5	10.5	809	135	189	5	47	291	53	9	NA	NA	NA	35	NA	50	NA	16.5	37.5	1621	18.5	636	254.5	261	1422.5	48.5	28.5	898	58.5	42	83.5	517.5	485	608.5	8	27	509	4.5	103	40.5	33.5	59.5	397.5	342.5	17.5	185	2.5	163	260.33	143.5	1084	140	20	377.5	49	49	186.5	6.5	435.5	NA
"MGB035"	"Isovaleric acid synthesis II (KADC pathway)"	143640.49	94042.02	55461.31	72823.06	56414.73	52533.09	87040.72	67412.1	84099.67	59281.38	143534.38	52840.5	106980.67	47210.36	237797.91	70504.69	121025.31	50983.53	10904.97	45605.5	25518.63	18132.02	18238.39	57205.48	15183.25	21556.95	15768.11	19609.24	14127.48	26604.25	4866.23	37140.84	54858.94	20371.53	59191.06	35688.83	63609.33	42212.83	54483.5	33510.33	43802.17	39526.5	45243.5	29781.17	49377	53220.7	64002.33	78804.57	64905.8	64381.83	46379.83	107508.84	23299.33	2561.3	22985.16	55023.33	15940.2	19496.12	34980.04	23382.9	18378.5	59008.03	33512.8	13277.11	75013.71	52893.1	53927.2	49397.26	51658.37	18141.86	54818.34	23826.9	35147.36	52865.16	42839	28246.57	52346.44	52590.28	39139.89	16786.07	74738.84	22213.81	35121.9	95150.97	31458.56	96342.17	58820.63	17651.58	96719.07	72702.8	50706.42	40024.21	32121.3	22657.76	38136.9	52352.06	30768.96	47776.04	43044.18	77648.02	37768.86	10903.17	35663.6	27398.5	22320.01	11392.26	47632.84	58798.34	41911.36	112230.99	30305.42	116373.82	46333.36	23492.67	11618.66	35190.07	41967.23	29182.83	39349.71	24781.16	73861.27	30749.7	29842.6	20906.3	89888.23	20153.8	60069.4	44556.47	79906.53	85035.95	83032.66	69054	67861.06	37389.4	39120.36	31098.8	42156.68	45698.53	30322.41	56765.47	17171.48	39216.48	33400.57	12220.13	24072.59	8670	37268.67	11528.6	45733.76	29132.39	49874.11	26606.48	59365.8	40521.28	53195.53	47091.52	36080.88	35769.75	46592.67	141417.97	32670.82	114468.16	73521.83	46118.61	48072.01	34067.83	57392.14	61697.64	187817.73	37657.1	54052.57	27695.64	187147.68	54574.6	75211.07	83538.14	102999.65	55230.3	124800.67	40102.87	40497.96	28099.03	93864.44	52091.95	105911.38	44080.77	125346.89	41650.82	25087.06	31468.91	18701.15	31622.84	34456.17	25992.27	29054.26	27174.2	33645.97	14582.13	57393.7	27641.58	19860.57	19553.97	24486.07	25932.62	31833.16	25709.13	23394.43	39382.32	26646.91	17012.41	19730.17	31552.29	26892.87	26382.09	39576.87	22305.64	15680.74	15161.2	24871.27	21113.25	20816.07	22933.43	14749.45	22228.75	NA
