ID,sex,legend,diet,treatment,cohort,cage,noradrenaline,L_DOPA,DOPAC,dopamine,5HIAA,HVA,5HT,DOPAC_DOPAMINE,HVA_DOPAMINE,5HIAA_5HT,L_DOPA_DOPAMINE,DOPAC_HVA,active_ghrelin,corticosterone
101,F,Control Vehicle,Control,Vehicle,1,105,270.21,,2991.84,9802.83,431.55,1307.79,609.34,0.3052,0.1334,0.7082,,2.2877,0.089625,17.89683
105,M,Control Vehicle,Control,Vehicle,1,105,340.01,0.38,1477.59,6736.43,536.27,1397.93,693.2,0.2193,0.2075,0.7736,0,1.057,0.374931,126.5804
106,M,Control Vehicle,Control,Vehicle,1,105,257.58,83.61,1771.38,7138.63,339.37,1274.98,,0.2481,0.1786,0.6624,0.012,1.389,0.545433,90.31185
110,M,HFHS Vehicle,HFHS,Vehicle,1,110,347.6,144.45,2390.39,10731.27,528.61,1805.97,711.01,0.2228,0.1683,0.7435,0.013,1.324,0.203718,15.993
115,F,Control Vehicle,Control,Vehicle,1,104,322.48,0.42,2366.52,9608.32,498.97,1608.02,672.46,0.2463,0.1674,0.742,0,1.4717,0.263346,30.53577
116,M,Control Vehicle,Control,Vehicle,1,104,375.53,143.65,2727.83,10081.99,714.08,2066.7,711.33,0.2706,0.205,,0.014,1.32,0.439668,42.72816
119,M,HFHS Vehicle,HFHS,Vehicle,1,107,326.88,69.79,2070.94,8062.47,468.97,1629.89,622.29,0.2569,0.2022,0.7536,0.009,1.271,0.401907,12.6723
124,F,HFHS FOS+GOS,HFHS,FOS+GOS,1,106,308.14,122.99,4056.97,11789.89,522.81,2115.62,725.1,0.3441,0.1794,0.721,0.0104,1.9176,0.279756,19.75278
126,M,HFHS FOS+GOS,HFHS,FOS+GOS,1,106,330.43,,2575.68,8798.67,516.35,1926.44,672.25,0.2927,0.2189,0.7681,,1.337,0.285225,33.83745
130,F,HFHS 1472,HFHS,1472,1,115,337.42,142.28,4411.67,11766.25,634.65,2485.26,783.95,0.3749,0.2112,0.8096,0.0121,1.7751,0.743799,56.09778
